"Date","Price","Open","High","Low","Change %"
"06/04/2025","4.281","4.258","4.296","4.224","0.33%"
"06/03/2025","4.267","4.303","4.316","4.260","-0.05%"
"06/02/2025","4.269","4.238","4.301","4.196","-0.58%"
"05/30/2025","4.294","4.297","4.306","4.255","-1.83%"
"05/29/2025","4.374","4.338","4.376","4.337","0.76%"
"05/28/2025","4.341","4.287","4.347","4.264","0.58%"
"05/27/2025","4.316","4.345","4.351","4.295","-1.84%"
"05/26/2025","4.397","4.376","4.426","4.328","-1.26%"
"05/23/2025","4.453","4.411","4.457","4.393","-0.45%"
"05/22/2025","4.473","4.490","4.513","4.472","0.65%"
"05/21/2025","4.444","4.403","4.466","4.401","0.59%"
"05/20/2025","4.418","4.471","4.496","4.400","-2.36%"
"05/19/2025","4.525","4.508","4.533","4.475","1.43%"
"05/16/2025","4.461","4.465","4.487","4.450","-1.74%"
"05/15/2025","4.540","4.551","4.583","4.537","1.16%"
"05/14/2025","4.488","4.465","4.507","4.465","1.29%"
"05/13/2025","4.431","4.432","4.461","4.412","2.03%"
"05/12/2025","4.343","4.305","4.355","4.245","1.16%"
"05/09/2025","4.293","4.278","4.294","4.273","1.13%"
"05/08/2025","4.245","4.234","4.261","4.226","-0.72%"
"05/07/2025","4.276","4.311","4.321","4.275","-1.27%"
"05/06/2025","4.331","4.309","4.334","4.301","1.38%"
"05/05/2025","4.272","4.280","4.294","4.256","2.20%"
"05/02/2025","4.180","4.183","4.237","4.163","0.92%"
"05/01/2025","4.142","4.102","4.163","4.102","0.73%"
"04/30/2025","4.112","4.153","4.158","4.104","-0.87%"
"04/29/2025","4.148","4.130","4.220","4.120","0.83%"
"04/28/2025","4.114","4.146","4.173","4.109","-1.98%"
"04/24/2025","4.197","4.256","4.256","4.196","-0.24%"
"04/23/2025","4.207","4.211","4.222","4.159","-0.38%"
"04/22/2025","4.223","4.219","4.271","4.135","-0.47%"
"04/17/2025","4.243","4.231","4.274","4.192","-1.53%"
"04/16/2025","4.309","4.297","4.314","4.259","0.47%"
"04/15/2025","4.289","4.319","4.355","4.271","-1.29%"
"04/14/2025","4.345","4.439","4.447","4.338","-0.44%"
"04/11/2025","4.364","4.349","4.372","4.310","2.47%"
"04/10/2025","4.259","4.355","4.437","4.235","-2.36%"
