"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","96.26","96.26","96.26","96.26","","1.01%"
"06/03/2025","95.30","95.30","95.30","95.30","","-0.68%"
"06/02/2025","95.95","95.95","95.95","95.95","","-3.20%"
"05/30/2025","99.12","99.12","99.12","99.12","","-0.15%"
"05/29/2025","99.27","99.27","99.27","99.27","","-0.12%"
"05/28/2025","99.39","99.39","99.39","99.39","","-0.09%"
"05/27/2025","99.48","99.48","99.48","99.48","","-0.33%"
"05/23/2025","99.81","99.81","99.81","99.81","","-0.08%"
"05/22/2025","99.89","99.89","99.89","99.89","","-0.16%"
"05/21/2025","100.05","100.05","100.05","100.05","","0.00%"
"05/20/2025","100.05","100.05","100.05","100.05","","0.05%"
"05/19/2025","100.00","100.00","100.00","100.00","","-0.08%"
"05/16/2025","100.08","100.08","100.08","100.08","","-0.34%"
"05/15/2025","100.42","100.42","100.42","100.42","","-0.33%"
"05/14/2025","100.75","100.75","100.75","100.75","","1.25%"
"05/13/2025","99.51","99.51","99.51","99.51","","-0.24%"
"05/12/2025","99.75","99.75","99.75","99.75","","1.22%"
"05/09/2025","98.55","98.55","98.55","98.55","","0.33%"
"05/08/2025","98.23","98.23","98.23","98.23","","-1.11%"
"05/07/2025","99.33","99.33","99.33","99.33","","0.71%"
"05/06/2025","98.63","98.63","98.63","98.63","","1.25%"
"05/05/2025","97.41","97.41","97.41","97.41","","-0.79%"
"05/02/2025","98.19","98.19","98.19","98.19","","-1.07%"
"05/01/2025","99.25","99.25","99.25","99.25","","-0.51%"
"04/30/2025","99.76","99.76","99.76","99.76","","-0.10%"
"04/29/2025","99.86","99.86","99.86","99.86","","-0.05%"
"04/28/2025","99.91","99.91","99.91","99.91","","-0.01%"
"04/25/2025","99.92","99.92","99.92","99.92","","-0.06%"
"04/24/2025","99.98","99.98","99.98","99.98","","-0.11%"
"04/23/2025","100.09","100.09","100.09","100.09","","0.21%"
"04/22/2025","99.88","99.88","99.88","99.88","","-0.04%"
"04/21/2025","99.92","99.92","99.92","99.92","","-0.13%"
"04/17/2025","100.05","100.05","100.05","100.05","","-0.03%"
"04/16/2025","100.08","100.08","100.08","100.08","","-0.11%"
"04/15/2025","100.19","100.19","100.19","100.19","","0.11%"
"04/14/2025","100.08","100.08","100.08","100.08","","0.13%"
"04/11/2025","99.95","99.95","99.95","99.95","","0.06%"
"04/10/2025","99.89","99.89","99.89","99.89","","0.85%"
"04/09/2025","99.05","99.05","99.05","99.05","","-0.20%"
"04/08/2025","99.25","99.25","99.25","99.25","","-1.59%"
"04/07/2025","100.85","100.85","100.85","100.85","","-1.74%"
"04/04/2025","102.64","102.64","102.64","102.64","","-1.48%"
"04/03/2025","104.18","104.18","104.18","104.18","","-0.07%"
"04/02/2025","104.25","104.25","104.25","104.25","","2.00%"
"04/01/2025","102.21","102.21","102.21","102.21","","-0.29%"
"03/31/2025","102.51","102.51","102.51","102.51","","0.08%"
"03/28/2025","102.43","102.43","102.43","102.43","","0.07%"
"03/27/2025","102.36","102.36","102.36","102.36","","0.11%"
"03/26/2025","102.25","102.25","102.25","102.25","","0.07%"
"03/25/2025","102.18","102.18","102.18","102.18","","-0.03%"
"03/24/2025","102.21","102.21","102.21","102.21","","0.21%"
"03/21/2025","102.00","102.00","102.00","102.00","","-0.15%"
"03/20/2025","102.15","102.15","102.15","102.15","","0.04%"
"03/19/2025","102.11","102.11","102.11","102.11","","-0.30%"
"03/18/2025","102.42","102.42","102.42","102.42","","0.10%"
"03/17/2025","102.32","102.32","102.32","102.32","","-0.52%"
"03/14/2025","102.85","102.85","102.85","102.85","","0.68%"
"03/13/2025","102.16","102.16","102.16","102.16","","0.71%"
"03/12/2025","101.44","101.44","101.44","101.44","","0.39%"
"03/11/2025","101.05","101.05","101.05","101.05","","0.06%"
"03/10/2025","100.99","100.99","100.99","100.99","","-0.30%"
"03/07/2025","101.29","101.29","101.29","101.29","","0.05%"
"03/06/2025","101.24","101.24","101.24","101.24","","0.52%"
"03/05/2025","100.72","100.72","100.72","100.72","","-0.88%"
"03/04/2025","101.61","101.61","101.61","101.61","","0.79%"
"03/03/2025","100.81","100.81","100.81","100.81","","-5.70%"
"02/28/2025","106.90","106.90","106.90","106.90","","-0.16%"
"02/27/2025","107.07","107.07","107.07","107.07","","-0.07%"
"02/26/2025","107.15","107.15","107.15","107.15","","-0.02%"
"02/25/2025","107.17","107.17","107.17","107.17","","-0.02%"
"02/24/2025","107.19","107.19","107.19","107.19","","0.06%"
"02/21/2025","107.13","107.13","107.13","107.13","","0.12%"
"02/20/2025","107.00","107.00","107.00","107.00","","0.22%"
"02/19/2025","106.76","106.76","106.76","106.76","","0.02%"
