"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2025","265.20","268.40","271.95","263.53","0.72K","2.93%"
"05/14/2025","257.65","243.75","258.80","243.00","0.71K","5.68%"
"05/13/2025","243.80","234.30","245.80","233.25","0.65K","4.73%"
"05/12/2025","232.80","228.75","236.00","218.75","1.18K","-9.13%"
"05/09/2025","256.20","256.20","256.20","256.20","0.67K","-5.53%"
"05/08/2025","271.20","271.20","271.20","271.20","0.62K","-4.24%"
"05/07/2025","283.20","275.15","275.15","275.15","0.00K","0.18%"
"05/06/2025","282.70","282.70","282.70","282.70","0.48K","-2.79%"
"05/05/2025","290.80","290.80","290.80","290.80","0.47K","13.99%"
"05/02/2025","255.10","268.35","268.35","250.25","0.58K","-3.74%"
"05/01/2025","265.00","264.45","275.00","259.20","0.41K","-0.80%"
"04/30/2025","267.15","265.60","277.65","258.00","0.68K","1.35%"
"04/29/2025","263.60","269.10","274.95","244.00","0.87K","-1.33%"
"04/28/2025","267.15","252.35","267.15","247.25","0.52K","5.95%"
"04/25/2025","252.15","253.85","257.45","245.70","0.83K","-0.85%"
"04/24/2025","254.30","268.95","268.95","254.30","1.01K","-5.57%"
"04/23/2025","269.30","278.35","278.85","264.65","0.83K","-2.43%"
"04/22/2025","276.00","272.35","278.90","265.15","1.35K","0.58%"
"04/21/2025","274.40","289.90","289.90","274.40","0.75K","-9.74%"
"04/17/2025","304.00","318.50","322.75","303.45","1.43K","-4.54%"
"04/16/2025","318.45","302.25","319.00","300.50","1.17K","3.86%"
"04/15/2025","306.60","309.50","310.35","290.50","1.35K","0.77%"
"04/14/2025","304.25","282.60","304.25","282.60","1.78K","8.95%"
"04/11/2025","279.25","264.00","279.25","258.50","1.67K","5.68%"
"04/10/2025","264.25","263.50","266.70","246.50","1.38K","1.77%"
"04/09/2025","259.65","230.00","259.65","230.00","1.33K","10.65%"
"04/08/2025","234.65","211.90","236.90","203.80","1.35K","10.74%"
"04/07/2025","211.90","221.10","232.75","211.90","0.97K","-6.61%"
"04/04/2025","226.90","231.00","236.55","211.15","1.37K","-3.28%"
"04/03/2025","234.60","240.55","245.45","234.60","0.58K","-6.01%"
"04/02/2025","249.60","262.95","268.65","243.40","0.92K","-3.33%"
"04/01/2025","258.20","251.25","258.55","243.55","1.01K","6.02%"
"03/31/2025","243.55","235.15","252.30","227.40","1.70K","2.63%"
"03/28/2025","237.30","246.40","248.60","232.50","1.36K","-4.12%"
"03/27/2025","247.50","259.90","260.15","247.10","0.67K","-5.57%"
"03/26/2025","262.10","271.90","272.70","259.85","0.71K","-1.04%"
"03/25/2025","264.85","268.50","274.00","259.75","0.91K","-1.38%"
"03/24/2025","268.55","278.15","278.15","263.80","0.87K","-2.75%"
"03/21/2025","276.15","271.50","278.85","262.60","0.86K","1.32%"
"03/20/2025","272.55","266.75","274.90","256.90","1.03K","2.10%"
"03/19/2025","266.95","240.10","268.65","238.00","1.05K","9.45%"
"03/18/2025","243.90","259.25","260.25","243.90","0.77K","-5.79%"
"03/17/2025","258.90","261.45","263.00","257.00","0.74K","-0.17%"
"03/14/2025","259.35","265.65","265.65","255.00","1.22K","-1.76%"
"03/13/2025","264.00","276.55","280.45","262.80","0.61K","-4.50%"
"03/12/2025","276.45","278.55","288.55","270.25","0.79K","1.08%"
"03/11/2025","273.50","273.50","273.50","273.50","1.31K","-1.76%"
"03/10/2025","278.40","278.40","278.40","278.40","0.99K","-8.12%"
"03/07/2025","303.00","310.00","310.00","310.00","0.00K","4.84%"
"03/06/2025","289.00","289.00","289.00","289.00","1.11K","-6.58%"
"03/05/2025","309.35","303.60","314.50","299.60","0.87K","3.25%"
"03/04/2025","299.60","309.55","316.00","293.05","0.85K","-2.88%"
"03/03/2025","308.50","303.40","320.95","301.80","1.21K","2.42%"
"02/28/2025","301.20","297.75","306.40","297.75","0.83K","2.17%"
"02/27/2025","294.80","301.25","302.35","286.90","1.53K","-1.62%"
"02/26/2025","299.65","294.90","309.70","292.95","1.40K","1.68%"
"02/25/2025","294.70","308.00","312.20","290.75","2.07K","-5.01%"
"02/24/2025","310.25","309.80","327.95","308.45","2.17K","0.24%"
"02/21/2025","309.50","317.65","322.70","307.45","1.71K","-2.72%"
"02/20/2025","318.15","328.00","337.30","312.90","2.07K","-4.11%"
"02/19/2025","331.80","343.45","357.00","326.10","2.18K","-3.35%"
"02/18/2025","343.30","344.10","358.05","341.10","1.99K","1.13%"
"02/14/2025","339.45","350.50","351.30","324.65","2.00K","-4.29%"
"02/13/2025","354.65","378.05","382.35","354.65","1.54K","-5.34%"
"02/12/2025","374.65","390.45","401.30","374.10","2.30K","-4.05%"
"02/11/2025","390.45","395.05","403.75","386.50","2.13K","-3.16%"
"02/10/2025","403.20","423.50","424.90","403.20","1.59K","-4.73%"
"02/07/2025","423.20","438.00","441.75","421.50","1.84K","-3.31%"
"02/06/2025","437.70","443.95","446.40","437.10","1.12K","-1.27%"
"02/05/2025","443.35","450.15","450.15","442.15","1.12K","-1.51%"
"02/04/2025","450.15","454.70","458.70","448.70","1.25K","-1.00%"
"02/03/2025","454.70","472.15","472.70","454.70","1.38K","-4.21%"
"01/31/2025","474.70","479.95","479.95","468.75","0.71K","-1.03%"
"01/30/2025","479.65","480.60","484.05","473.00","0.60K","0.45%"
"01/29/2025","477.50","472.30","488.00","470.75","0.52K","0.92%"
"01/28/2025","473.15","482.55","482.95","465.75","0.76K","-1.82%"
"01/27/2025","481.90","474.30","482.80","465.35","0.82K","1.22%"
"01/24/2025","476.10","494.95","496.10","476.10","0.62K","-4.03%"
"01/23/2025","496.10","484.30","501.80","481.35","0.93K","2.44%"
"01/22/2025","484.30","482.10","484.65","478.20","0.51K","0.46%"
"01/21/2025","482.10","484.65","490.80","480.25","0.77K","0.58%"
"01/17/2025","479.30","465.35","483.40","463.05","1.16K","3.06%"
"01/16/2025","465.05","482.45","483.40","461.20","1.64K","-3.36%"
"01/15/2025","481.20","482.95","484.35","477.30","0.60K","0.19%"
"01/14/2025","480.30","479.70","483.35","474.15","0.71K","0.14%"
"01/13/2025","479.65","486.45","486.45","476.40","0.72K","-2.98%"
"01/10/2025","494.40","491.35","496.45","482.00","0.98K","-2.22%"
"01/09/2025","505.65","520.00","520.00","520.00","0.03K","-3.25%"
"01/08/2025","522.65","499.35","519.30","499.30","0.91K","3.03%"
"01/07/2025","507.30","505.00","505.00","500.00","0.01K","-3.58%"
"01/06/2025","526.15","525.00","525.00","525.00","0.00K","3.99%"
"01/03/2025","505.95","491.35","499.65","491.30","0.21K","1.36%"
"01/02/2025","499.15","492.45","501.90","491.15","0.46K","0.33%"
"12/31/2024","497.50","492.45","499.75","488.55","0.34K","0.61%"
"12/30/2024","494.50","507.65","507.65","494.00","0.11K","-1.47%"
"12/27/2024","501.90","499.15","507.50","498.20","0.41K","1.10%"
"12/26/2024","496.45","509.20","514.35","495.10","0.39K","-2.93%"
"12/24/2024","511.45","502.45","513.80","502.40","0.24K","1.71%"
"12/23/2024","502.85","527.60","527.60","502.00","0.50K","-4.93%"
"12/20/2024","528.95","544.90","545.80","527.70","0.48K","-3.42%"
"12/19/2024","547.70","533.50","551.10","533.05","0.90K","2.30%"
"12/18/2024","535.40","526.65","538.00","521.20","1.35K","1.71%"
"12/17/2024","526.40","533.25","541.50","523.75","2.13K","-1.22%"
"12/16/2024","532.90","512.75","532.90","511.45","1.22K","3.90%"
"12/13/2024","512.90","502.00","516.00","501.85","1.69K","2.38%"
"12/12/2024","501.00","500.00","502.50","496.50","1.33K","0.59%"
"12/11/2024","498.05","499.35","503.30","494.45","1.37K","-0.43%"
"12/10/2024","500.20","497.85","501.95","494.00","0.85K","1.71%"
"12/09/2024","491.80","501.15","506.45","488.00","1.01K","-2.42%"
"12/06/2024","504.00","498.00","504.40","493.70","0.73K","1.88%"
"12/05/2024","494.70","504.55","509.95","486.40","1.09K","-1.88%"
"12/04/2024","504.20","513.45","515.05","501.90","0.77K","-1.52%"
"12/03/2024","512.00","510.95","516.00","504.50","0.62K","0.25%"
"12/02/2024","510.70","503.10","512.00","500.00","0.48K","1.99%"
"11/29/2024","500.75","508.05","520.70","499.35","0.47K","-2.53%"
"11/27/2024","513.75","515.50","525.75","504.25","0.83K","-1.59%"
"11/26/2024","522.05","509.95","533.05","509.95","0.93K","1.74%"
"11/25/2024","513.10","503.55","513.45","494.05","0.63K","1.52%"
"11/22/2024","505.40","510.00","510.00","497.80","0.82K","-1.13%"
"11/21/2024","511.20","491.75","514.00","488.75","1.44K","3.32%"
"11/20/2024","494.75","480.80","495.00","477.80","0.75K","3.24%"
"11/19/2024","479.20","474.00","480.65","469.65","0.61K","1.35%"
"11/18/2024","472.80","477.35","484.30","470.25","0.56K","-1.55%"
"11/15/2024","480.25","484.05","484.05","472.35","0.49K","-1.17%"
"11/14/2024","485.95","473.70","487.00","473.70","0.70K","3.24%"
"11/13/2024","470.70","481.60","485.00","466.10","0.50K","-1.68%"
"11/12/2024","478.75","474.25","481.65","472.25","0.70K","1.18%"
"11/11/2024","473.15","473.50","481.65","472.00","0.60K","-10.16%"
"11/08/2024","526.65","461.60","473.50","456.95","0.71K","1.31%"
"11/07/2024","519.85","522.00","522.00","520.00","0.00K","0.69%"
"11/06/2024","516.30","512.00","512.00","512.00","0.01K","0.89%"
"11/05/2024","511.75","525.00","525.00","520.00","0.01K","-3.15%"
"11/04/2024","528.40","529.00","529.00","529.00","0.02K","-2.83%"
"11/01/2024","543.80","540.00","542.00","529.00","0.01K","2.65%"
"10/31/2024","529.75","522.75","539.00","510.00","0.01K","4.83%"
"10/30/2024","505.35","525.00","527.00","500.00","0.16K","-1.20%"
"10/29/2024","511.50","523.00","523.00","510.95","0.32K","-3.66%"
"10/28/2024","530.95","530.50","533.65","514.80","0.22K","0.97%"
"10/25/2024","525.85","506.50","526.95","506.50","0.38K","3.73%"
"10/24/2024","506.95","500.05","509.65","500.05","0.27K","1.37%"
"10/23/2024","500.10","487.00","502.65","480.00","0.51K","2.69%"
"10/22/2024","487.00","499.85","500.00","484.20","0.83K","-2.45%"
"10/21/2024","499.25","474.00","500.00","472.65","1.68K","4.01%"
"10/18/2024","480.00","494.75","494.75","473.85","1.59K","-2.78%"
"10/17/2024","493.75","503.80","504.10","489.90","1.23K","-1.53%"
"10/16/2024","501.40","491.50","506.25","486.60","1.28K","0.98%"
"10/15/2024","496.55","494.95","509.60","485.15","1.63K","0.13%"
"10/14/2024","495.90","479.80","496.10","479.80","1.20K","3.48%"
"10/11/2024","479.20","458.10","479.20","458.05","1.13K","4.36%"
"10/10/2024","459.20","476.00","477.60","457.60","1.49K","-3.77%"
"10/09/2024","477.20","479.90","482.40","473.70","0.79K","0.27%"
"10/08/2024","475.90","486.30","491.25","472.65","0.78K","-1.52%"
"10/07/2024","483.25","472.50","488.55","472.35","1.53K","3.12%"
"10/04/2024","468.65","468.40","471.25","464.05","0.50K","-0.20%"
"10/03/2024","469.60","467.85","472.15","463.95","0.43K","0.78%"
"10/02/2024","465.95","468.10","469.50","458.70","0.60K","-1.17%"
"10/01/2024","471.45","460.50","480.00","460.50","0.88K","2.26%"
"09/30/2024","461.05","473.60","481.00","454.15","1.31K","-1.95%"
"09/27/2024","470.20","472.00","479.95","467.00","0.91K","-1.07%"
"09/26/2024","475.30","489.25","490.95","471.50","1.01K","-2.83%"
"09/25/2024","489.15","491.15","491.50","482.10","0.36K","0.02%"
"09/24/2024","489.05","481.35","491.50","474.55","0.70K","3.07%"
"09/23/2024","474.50","491.85","491.85","470.85","0.93K","-3.33%"
"09/20/2024","490.85","478.75","492.00","476.70","0.62K","3.09%"
"09/19/2024","476.15","492.30","492.30","476.15","0.61K","-4.03%"
"09/18/2024","496.15","485.95","497.00","485.95","0.57K","2.15%"
"09/17/2024","485.70","484.55","492.00","484.55","0.42K","0.84%"
"09/16/2024","481.65","483.10","488.00","474.00","0.42K","-0.30%"
"09/13/2024","483.10","477.05","484.85","476.05","0.37K","1.89%"
"09/12/2024","474.15","481.95","485.95","471.75","0.68K","-1.68%"
"09/11/2024","482.25","501.00","501.00","481.80","0.72K","-6.09%"
"09/10/2024","513.50","509.00","509.00","509.00","0.00K","-6.63%"
"09/09/2024","549.95","579.50","589.00","575.00","0.00K","-1.00%"
"09/06/2024","555.50","492.00","492.15","477.00","0.68K","1.05%"
"09/05/2024","549.75","471.70","491.80","471.70","0.86K","3.77%"
"09/04/2024","529.80","516.75","526.85","516.75","0.00K","2.27%"
"09/03/2024","518.05","504.05","516.75","499.50","0.01K","4.32%"
"08/30/2024","496.60","478.95","501.85","478.40","0.05K","2.35%"
"08/29/2024","485.20","484.00","485.00","469.60","0.09K","3.56%"
"08/28/2024","468.50","467.75","488.30","452.40","0.50K","-0.01%"
"08/27/2024","468.55","487.85","488.05","468.55","0.33K","-4.09%"
"08/26/2024","488.55","505.95","525.15","485.70","0.72K","-3.37%"
"08/23/2024","505.60","508.15","514.65","491.70","0.47K","2.52%"
"08/22/2024","493.15","470.90","493.15","470.15","0.78K","4.23%"
"08/21/2024","473.15","454.70","473.15","453.20","0.83K","4.41%"
"08/20/2024","453.15","454.95","457.15","446.85","1.08K","0.57%"
"08/19/2024","450.60","460.20","463.50","438.80","1.42K","-1.45%"
"08/16/2024","457.25","459.30","459.65","452.10","1.03K","-0.52%"
"08/15/2024","459.65","443.10","460.15","438.00","1.49K","3.47%"
"08/14/2024","444.25","438.80","446.60","430.55","0.90K","1.78%"
"08/13/2024","436.50","428.00","441.20","428.00","0.91K","2.34%"
"08/12/2024","426.50","422.00","432.35","420.20","0.89K","0.90%"
"08/09/2024","422.70","442.50","445.00","422.50","1.08K","-4.47%"
"08/08/2024","442.50","438.05","447.35","438.05","0.94K","0.02%"
"08/07/2024","442.40","431.50","448.90","426.90","1.27K","2.73%"
"08/06/2024","430.65","420.85","434.35","415.40","1.07K","3.19%"
"08/05/2024","417.35","417.85","427.75","414.30","1.07K","-1.32%"
"08/02/2024","422.95","419.50","424.85","417.20","0.81K","0.52%"
"08/01/2024","420.75","419.40","425.75","418.30","0.58K","-0.04%"
"07/31/2024","420.90","427.40","429.45","419.30","0.63K","-1.05%"
"07/30/2024","425.35","428.55","434.05","422.60","0.45K","-0.68%"
"07/29/2024","428.25","434.55","434.80","423.85","0.66K","-1.28%"
"07/26/2024","433.80","419.50","435.80","419.50","0.89K","3.26%"
"07/25/2024","420.10","423.20","427.50","419.20","1.27K","-0.91%"
"07/24/2024","423.95","431.25","437.35","423.50","0.92K","-2.12%"
"07/23/2024","433.15","440.80","442.20","430.00","0.43K","-1.43%"
"07/22/2024","439.45","433.20","446.50","426.45","0.53K","1.44%"
"07/19/2024","433.20","431.75","435.70","425.55","0.52K","0.20%"
"07/18/2024","432.35","430.05","437.50","425.00","0.59K","0.46%"
"07/17/2024","430.35","448.40","449.00","430.25","0.79K","-4.42%"
"07/16/2024","450.25","446.55","454.05","440.65","0.67K","-0.30%"
"07/15/2024","451.60","450.65","454.60","442.95","0.64K","0.40%"
"07/12/2024","449.80","441.55","452.80","432.25","0.92K","-1.23%"
"07/11/2024","455.40","463.00","464.85","442.05","0.88K","-4.21%"
"07/10/2024","475.40","483.45","483.45","483.45","0.00K","0.14%"
"07/09/2024","474.75","478.00","478.00","473.00","0.01K","3.20%"
"07/08/2024","460.05","461.00","461.00","461.00","0.00K","3.50%"
"07/05/2024","444.50","456.40","456.40","456.40","0.16K","1.77%"
"07/03/2024","436.75","438.00","442.00","424.60","0.70K","-1.98%"
"07/02/2024","445.55","430.65","432.75","430.65","0.04K","2.66%"
"07/01/2024","434.00","430.00","430.00","420.00","0.01K","0.30%"
"06/28/2024","432.70","419.90","440.50","419.90","0.07K","1.16%"
"06/27/2024","427.75","423.75","430.30","423.75","0.14K","0.94%"
"06/26/2024","423.75","435.65","436.00","422.50","0.50K","-2.73%"
"06/25/2024","435.65","422.80","437.00","422.80","0.51K","2.12%"
"06/24/2024","426.60","425.65","429.85","418.25","0.73K","-0.29%"
"06/21/2024","427.85","422.05","432.10","413.35","1.15K","1.33%"
"06/20/2024","422.25","413.65","428.15","410.65","2.27K","2.08%"
"06/18/2024","413.65","427.30","434.95","412.80","1.48K","-3.62%"
"06/17/2024","429.20","423.05","434.00","422.55","0.73K","1.61%"
"06/14/2024","422.40","413.00","424.55","410.05","0.79K","2.70%"
"06/13/2024","411.30","425.65","426.80","406.05","1.36K","-3.44%"
"06/12/2024","425.95","411.55","429.60","409.40","1.30K","3.99%"
"06/11/2024","409.60","431.55","435.70","409.35","1.37K","-4.60%"
"06/10/2024","429.35","421.00","436.05","416.95","1.13K","1.32%"
"06/07/2024","423.75","447.50","447.50","421.75","1.48K","-4.07%"
"06/06/2024","441.75","439.25","441.75","436.00","0.29K","2.32%"
"06/05/2024","431.75","439.75","447.65","431.00","1.36K","-2.10%"
"06/04/2024","441.00","459.05","473.60","439.90","1.17K","-3.54%"
"06/03/2024","457.20","440.65","457.20","436.45","0.64K","4.57%"
"05/31/2024","437.20","451.70","451.70","437.20","0.97K","-4.37%"
