"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","31,934.00","31,934.00","31,934.00","31,934.00","","2.09%"
"06/03/2025","31,279.00","31,279.00","31,279.00","31,279.00","","2.27%"
"06/02/2025","30,584.00","30,584.00","30,584.00","30,584.00","","0.92%"
"05/30/2025","30,304.00","30,130.00","30,304.00","30,130.00","0.00K","-2.67%"
"05/29/2025","31,134.00","31,134.00","31,134.00","31,134.00","","-1.35%"
"05/28/2025","31,561.00","31,561.00","31,561.00","31,561.00","","-2.82%"
"05/27/2025","32,478.00","32,478.00","32,478.00","32,478.00","","-0.71%"
"05/23/2025","32,709.00","32,709.00","32,709.00","32,709.00","","1.34%"
"05/22/2025","32,278.00","32,278.00","32,278.00","32,278.00","","-1.53%"
"05/21/2025","32,779.00","32,779.00","32,779.00","32,779.00","","-0.78%"
"05/20/2025","33,038.00","32,930.00","33,038.00","32,930.00","0.00K","0.62%"
"05/19/2025","32,833.00","32,833.00","32,833.00","32,833.00","0.00K","0.33%"
"05/16/2025","32,726.00","32,726.00","32,726.00","32,726.00","0.00K","-0.34%"
"05/15/2025","32,837.00","32,837.00","32,837.00","32,837.00","0.00K","0.33%"
"05/14/2025","32,729.01","32,729.01","32,729.01","32,729.01","0.00K","0.13%"
"05/13/2025","32,686.00","32,686.00","32,686.00","32,686.00","","0.37%"
"05/12/2025","32,564.00","32,564.00","32,564.00","32,564.00","","2.33%"
"05/09/2025","31,821.99","31,800.00","31,821.99","31,800.00","0.00K","0.39%"
"05/08/2025","31,698.93","31,698.93","31,698.93","31,698.93","","0.76%"
"05/07/2025","31,461.00","31,461.00","31,461.00","31,461.00","","-1.12%"
"05/06/2025","31,817.00","31,817.00","31,817.00","31,817.00","","4.36%"
"05/02/2025","30,487.02","30,487.02","30,487.02","30,487.02","","2.99%"
"05/01/2025","29,603.00","29,810.00","29,810.00","29,603.00","0.00K","-5.10%"
"04/30/2025","31,193.00","31,595.00","31,595.00","31,193.00","0.02K","-1.89%"
"04/29/2025","31,795.00","31,795.00","31,795.00","31,795.00","","-0.33%"
"04/28/2025","31,901.00","31,901.00","31,901.00","31,901.00","","0.10%"
"04/25/2025","31,868.01","31,868.01","31,868.01","31,868.01","","0.62%"
"04/24/2025","31,673.00","31,364.50","31,673.00","31,364.50","0.01K","1.55%"
"04/23/2025","31,188.99","31,188.99","31,188.99","31,188.99","0.00K","0.61%"
"04/22/2025","31,001.00","31,001.00","31,001.00","31,001.00","0.00K","1.66%"
"04/17/2025","30,494.00","30,685.00","30,685.00","30,494.00","0.01K","-0.46%"
"04/16/2025","30,635.00","30,508.00","30,635.00","30,508.00","0.04K","-0.85%"
"04/15/2025","30,899.00","31,218.67","31,218.67","30,899.00","0.02K","-0.63%"
"04/14/2025","31,094.00","31,300.00","31,688.39","31,094.00","0.02K","0.34%"
"04/11/2025","30,990.00","30,990.00","30,990.00","30,990.00","","1.50%"
"04/10/2025","30,533.00","30,900.00","30,900.00","30,533.00","0.00K","2.72%"
"04/09/2025","29,724.00","29,724.00","29,724.00","29,724.00","0.00K","-8.97%"
"04/08/2025","32,653.00","33,600.00","33,600.00","32,653.00","0.00K","-4.38%"
"04/07/2025","34,147.50","34,147.50","34,147.50","34,147.50","0.01K","-4.14%"
"04/04/2025","35,623.00","35,623.00","35,623.00","35,623.00","0.01K","-5.17%"
"04/03/2025","37,564.96","37,564.96","37,564.96","37,564.96","0.01K","-1.35%"
"04/02/2025","38,080.51","38,080.51","38,080.51","38,080.51","0.01K","0.89%"
"04/01/2025","37,743.00","37,743.00","37,743.00","37,743.00","0.01K","2.52%"
"03/31/2025","36,815.00","36,815.00","36,815.00","36,815.00","0.01K","1.10%"
"03/28/2025","36,415.00","36,415.00","36,415.00","36,415.00","0.01K","2.82%"
"03/27/2025","35,415.50","35,415.50","35,415.50","35,415.50","0.01K","0.48%"
"03/26/2025","35,245.00","35,108.00","35,245.00","35,108.00","0.01K","0.39%"
"03/25/2025","35,109.00","35,109.00","35,109.00","35,109.00","0.00K","2.24%"
"03/24/2025","34,339.00","34,339.00","34,339.00","34,339.00","0.00K","-0.30%"
"03/21/2025","34,444.00","34,455.00","34,455.00","34,444.00","0.00K","-2.42%"
"03/20/2025","35,297.99","35,297.99","35,297.99","35,297.99","0.53K","1.02%"
"03/19/2025","34,940.00","34,940.00","34,940.00","34,940.00","0.67K","-0.72%"
"03/18/2025","35,192.00","35,192.00","35,192.00","35,192.00","0.58K","0.07%"
"03/17/2025","35,167.00","35,167.00","35,167.00","35,167.00","0.94K","-0.48%"
"03/14/2025","35,337.00","35,337.00","35,337.00","35,337.00","0.32K","-1.75%"
"03/13/2025","35,966.50","35,966.50","35,966.50","35,966.50","1.08K","7.77%"
"03/12/2025","33,374.00","33,374.00","33,374.00","33,374.00","0.27K","0.90%"
"03/11/2025","33,077.00","33,077.00","33,077.00","33,077.00","0.32K","1.57%"
"03/10/2025","32,565.00","32,565.00","32,565.00","32,565.00","0.18K","0.37%"
"03/07/2025","32,446.50","32,446.50","32,446.50","32,446.50","0.13K","-0.12%"
"03/06/2025","32,485.00","32,485.00","32,485.00","32,485.00","0.44K","2.91%"
"03/05/2025","31,565.00","31,565.00","31,565.00","31,565.00","0.46K","0.44%"
"03/04/2025","31,426.00","31,426.00","31,426.00","31,426.00","0.28K","-0.02%"
"03/03/2025","31,432.00","31,432.00","31,432.00","31,432.00","0.64K","0.83%"
"02/28/2025","31,173.00","31,173.00","31,173.00","31,173.00","0.47K","-1.36%"
"02/27/2025","31,604.00","31,604.00","31,604.00","31,604.00","1.43K","-2.47%"
"02/26/2025","32,404.00","32,404.00","32,404.00","32,404.00","1.08K","-1.19%"
"02/25/2025","32,794.00","32,794.00","32,794.00","32,794.00","0.41K","-1.29%"
"02/24/2025","33,224.00","33,220.00","33,224.00","33,220.00","0.54K","-1.23%"
"02/21/2025","33,637.00","33,637.00","33,637.00","33,637.00","0.48K","0.95%"
"02/20/2025","33,320.00","33,320.00","33,320.00","33,320.00","0.50K","2.13%"
"02/19/2025","32,624.01","32,624.01","32,624.01","32,624.01","0.88K","-0.15%"
"02/18/2025","32,674.00","32,674.00","32,674.00","32,674.00","0.50K","0.32%"
"02/17/2025","32,570.00","32,570.00","32,570.00","32,570.00","1.17K","-0.07%"
"02/14/2025","32,592.00","32,400.00","32,592.00","32,395.00","0.41K","2.33%"
"02/13/2025","31,850.00","31,850.00","31,850.00","31,850.00","0.43K","1.37%"
"02/12/2025","31,421.00","31,421.00","31,421.00","31,421.00","0.32K","1.48%"
"02/11/2025","30,964.00","30,905.00","30,964.00","30,905.00","0.85K","-0.13%"
"02/10/2025","31,003.00","30,966.00","31,003.00","30,966.00","0.93K","0.12%"
"02/07/2025","30,966.00","30,966.00","30,966.00","30,966.00","0.46K","0.26%"
"02/06/2025","30,885.00","30,885.00","30,885.00","30,885.00","0.51K","0.62%"
"02/05/2025","30,695.00","30,695.00","30,695.00","30,695.00","0.58K","1.81%"
"02/04/2025","30,149.00","30,149.00","30,149.00","30,149.00","0.20K","1.18%"
"02/03/2025","29,796.00","29,796.00","29,796.00","29,796.00","0.60K","-0.59%"
"01/31/2025","29,974.00","29,974.00","29,974.00","29,974.00","0.59K","-0.51%"
"01/30/2025","30,127.00","30,127.00","30,127.00","30,127.00","0.62K","0.48%"
"01/29/2025","29,983.00","29,983.00","29,983.00","29,983.00","0.18K","1.52%"
"01/28/2025","29,533.00","29,533.00","29,533.00","29,533.00","0.27K","-0.37%"
"01/27/2025","29,643.00","30,150.00","30,100.00","30,150.00","1.41K","-1.70%"
"01/24/2025","30,156.00","30,160.00","30,150.00","30,160.00","1.22K","0.86%"
"01/23/2025","29,899.00","30,150.00","30,050.00","30,060.00","1.83K","-1.23%"
"01/22/2025","30,272.00","30,300.00","30,250.00","30,250.00","1.66K","0.13%"
"01/21/2025","30,233.00","30,400.00","33,000.00","30,400.00","1.84K","-0.52%"
"01/20/2025","30,390.00","29,700.00","29,650.00","29,650.00","2.30K","2.07%"
"01/17/2025","29,775.00","29,600.00","29,475.00","29,475.00","1.27K","0.67%"
"01/16/2025","29,576.00","29,900.00","29,750.00","29,750.00","1.42K","-0.05%"
"01/15/2025","29,592.00","29,350.00","29,250.00","29,300.00","1.19K","-0.60%"
"01/14/2025","29,771.00","29,850.00","29,750.00","29,775.00","1.02K","-0.32%"
"01/13/2025","29,866.00","30,000.00","29,850.00","29,900.00","1.78K","-0.07%"
"01/10/2025","29,886.00","30,050.00","30,050.00","30,050.00","1.27K","0.11%"
"01/09/2025","29,852.00","30,050.00","30,000.00","30,000.00","1.27K","-0.75%"
"01/08/2025","30,079.00","30,200.00","30,100.00","30,105.00","2.13K","0.45%"
"01/07/2025","29,944.00","29,615.00","29,575.00","29,615.00","1.74K","2.24%"
"01/06/2025","29,289.00","29,500.00","29,450.00","29,475.00","1.43K","0.62%"
"01/03/2025","29,108.00","28,850.00","28,850.00","28,850.00","1.85K","1.93%"
"01/02/2025","28,557.00","28,460.00","28,550.00","28,460.00","1.82K","-1.81%"
"12/31/2024","29,083.00","29,150.00","29,100.00","29,150.00","0.87K","-0.72%"
"12/30/2024","29,295.00","29,150.00","29,050.00","29,050.00","1.57K","1.68%"
"12/27/2024","28,810.00","29,000.00","28,950.00","29,000.00","1.21K","-0.03%"
"12/24/2024","28,818.00","28,800.00","28,700.00","28,725.00","1.22K","0.97%"
"12/23/2024","28,542.00","29,000.00","28,900.00","28,925.00","1.18K","-0.51%"
"12/20/2024","28,689.00","28,605.00","28,600.00","28,605.00","1.74K","1.02%"
"12/19/2024","28,399.00","28,600.00","28,600.00","28,600.00","3.13K","-2.46%"
"12/18/2024","29,116.00","29,250.00","29,175.00","29,180.00","0.83K","0.24%"
"12/17/2024","29,047.00","29,100.00","29,200.00","29,100.00","0.92K","-0.68%"
"12/16/2024","29,246.00","29,225.00","29,075.00","29,175.00","1.35K","0.51%"
"12/13/2024","29,097.00","29,550.00","29,595.00","29,550.00","0.77K","-1.48%"
"12/12/2024","29,534.00","29,950.00","29,875.00","29,800.00","1.86K","-1.41%"
"12/11/2024","29,957.00","29,900.00","29,850.00","29,900.00","1.20K","0.61%"
"12/10/2024","29,776.00","29,900.00","29,725.00","29,800.00","1.07K","-0.47%"
"12/09/2024","29,918.00","29,350.00","29,250.00","29,205.00","1.78K","2.63%"
"12/06/2024","29,151.00","29,200.00","29,150.00","29,200.00","1.18K","-0.05%"
"12/05/2024","29,165.00","29,150.00","29,175.00","29,125.00","1.33K","0.45%"
"12/04/2024","29,034.00","28,875.00","28,750.00","28,850.00","1.52K","0.73%"
"12/03/2024","28,824.00","28,850.00","28,700.00","28,705.00","1.40K","0.88%"
"12/02/2024","28,573.00","28,650.00","28,550.00","28,600.00","1.44K","-1.18%"
"11/29/2024","28,913.00","28,650.00","28,450.00","28,450.00","2.34K","2.56%"
"11/28/2024","28,192.00","27,550.00","27,475.00","27,500.00","1.95K","0.87%"
"11/27/2024","27,950.00","28,250.00","28,200.00","28,165.00","2.64K","-3.30%"
"11/26/2024","28,904.00","29,050.00","28,950.00","29,000.00","1.29K","-0.25%"
"11/25/2024","28,976.00","29,250.00","29,150.00","29,175.00","1.64K","0.21%"
"11/22/2024","28,914.00","28,800.00","28,700.00","28,750.00","1.60K","0.57%"
"11/21/2024","28,750.00","28,950.00","28,905.00","28,910.00","2.07K","-0.95%"
"11/20/2024","29,026.00","29,400.00","29,300.00","29,305.00","2.51K","0.51%"
"11/19/2024","28,880.00","29,000.00","28,900.00","28,950.00","2.33K","-0.49%"
"11/18/2024","29,023.00","28,900.00","28,850.00","28,900.00","2.30K","0.98%"
"11/15/2024","28,742.00","29,400.00","29,395.00","29,400.00","2.84K","-0.66%"
"11/14/2024","28,932.00","29,250.00","29,150.00","29,175.00","2.64K","-2.46%"
"11/13/2024","29,663.00","29,950.00","29,950.00","29,950.00","3.47K","-1.80%"
"11/12/2024","30,208.00","30,200.00","30,145.00","30,150.00","3.37K","-3.42%"
"11/11/2024","31,279.00","31,900.00","31,800.00","31,850.00","0.94K","-1.17%"
"11/08/2024","31,648.00","31,700.00","31,650.00","31,700.00","1.21K","-0.53%"
"11/07/2024","31,817.00","31,850.00","31,850.00","31,850.00","1.47K","1.50%"
"11/06/2024","31,347.00","31,475.00","31,400.00","31,350.00","2.75K","-3.10%"
"11/05/2024","32,349.00","32,250.00","32,150.00","32,250.00","1.23K","0.62%"
"11/04/2024","32,150.00","32,200.00","32,055.00","32,055.00","0.96K","1.34%"
"11/01/2024","31,724.00","31,500.00","31,590.00","31,500.00","1.60K","1.64%"
"10/31/2024","31,213.00","31,400.00","31,350.00","31,400.00","1.69K","0.85%"
"10/30/2024","30,950.00","31,050.00","31,050.00","31,050.00","1.37K","-0.43%"
"10/29/2024","31,084.00","31,375.00","31,300.00","31,300.00","1.34K","-1.10%"
"10/28/2024","31,429.00","31,600.00","31,550.00","31,600.00","1.22K","0.33%"
"10/25/2024","31,325.00","31,250.00","31,250.00","31,250.00","1.35K","0.61%"
"10/24/2024","31,135.00","31,375.00","31,370.00","31,375.00","1.95K","0.74%"
"10/23/2024","30,906.00","31,200.00","31,015.00","31,035.00","1.45K","0.00%"
"10/22/2024","30,907.00","31,150.00","31,095.00","31,100.00","1.23K","-0.35%"
"10/21/2024","31,016.00","31,650.00","31,595.00","31,600.00","1.48K","-0.95%"
"10/18/2024","31,313.00","31,700.00","31,695.00","31,700.00","2.00K","0.30%"
"10/17/2024","31,218.00","31,450.00","31,375.00","31,380.00","2.65K","-2.90%"
"10/16/2024","32,150.00","32,700.00","32,645.00","32,650.00","2.19K","-0.76%"
"10/15/2024","32,396.00","32,050.00","32,045.00","32,050.00","3.22K","-0.15%"
"10/14/2024","32,445.00","32,750.00","32,650.00","32,750.00","1.59K","-2.31%"
"10/11/2024","33,212.00","33,250.00","33,250.00","33,250.00","0.93K","1.20%"
"10/10/2024","32,817.00","32,800.00","32,775.00","32,775.00","1.95K","1.02%"
"10/09/2024","32,485.00","32,650.00","32,625.00","32,650.00","1.78K","-1.16%"
"10/08/2024","32,867.00","33,250.00","33,100.00","33,110.00","2.71K","-3.06%"
"10/07/2024","33,905.00","34,150.00","34,075.00","34,075.00","1.26K","0.30%"
"10/04/2024","33,805.00","33,900.00","33,750.00","33,750.00","1.11K","0.28%"
"10/03/2024","33,709.00","33,925.00","33,800.00","33,800.00","1.13K","-0.54%"
"10/02/2024","33,893.00","34,275.00","34,275.00","34,275.00","1.07K","0.04%"
"10/01/2024","33,879.00","33,550.00","33,400.00","33,500.00","1.10K","1.26%"
"09/30/2024","33,458.00","33,300.00","33,300.00","33,300.00","2.25K","1.66%"
"09/27/2024","32,913.00","32,450.00","32,350.00","32,375.00","1.92K","1.47%"
"09/26/2024","32,435.00","32,500.00","32,450.00","32,500.00","1.68K","1.04%"
"09/25/2024","32,102.00","32,300.00","32,100.00","32,150.00","2.51K","-1.80%"
"09/24/2024","32,689.00","32,700.00","32,500.00","32,505.00","2.56K","1.22%"
"09/23/2024","32,295.00","32,150.00","32,050.00","32,150.00","1.67K","0.52%"
"09/20/2024","32,127.00","32,275.00","32,175.00","32,175.00","1.70K","0.96%"
"09/19/2024","31,823.00","32,000.00","32,000.00","32,000.00","1.51K","0.72%"
"09/18/2024","31,594.00","31,750.00","31,725.00","31,750.00","1.78K","-0.82%"
"09/17/2024","31,855.00","31,900.00","31,850.00","31,875.00","0.69K","-0.23%"
"09/16/2024","31,929.00","32,000.00","31,900.00","32,000.00","0.98K","0.39%"
"09/13/2024","31,805.00","31,800.00","31,850.00","31,800.00","1.71K","1.27%"
"09/12/2024","31,406.00","31,550.00","31,350.00","31,350.00","1.03K","1.49%"
"09/11/2024","30,944.00","31,150.00","31,100.00","31,150.00","1.43K","1.29%"
"09/10/2024","30,550.00","30,850.00","30,750.00","30,850.00","1.51K","-0.87%"
"09/09/2024","30,818.00","31,100.00","31,000.00","31,000.00","1.20K","-0.66%"
"09/06/2024","31,024.00","31,500.00","31,400.00","31,305.00","1.61K","0.82%"
"09/05/2024","30,771.00","30,500.00","30,200.00","30,150.00","1.27K","0.89%"
"09/04/2024","30,499.00","30,300.00","30,250.00","30,200.00","2.10K","-0.80%"
"09/03/2024","30,745.00","30,850.00","30,895.00","30,850.00","2.15K","-2.04%"
"09/02/2024","31,384.00","31,500.00","31,200.00","31,205.00","1.80K","-2.97%"
"08/30/2024","32,346.00","32,550.00","32,545.00","32,550.00","1.78K","0.00%"
