"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2025","65.32","65.50","65.72","64.87","20.46K","-0.24%"
"05/14/2025","65.48","66.42","66.71","65.43","25.33K","-1.21%"
"05/13/2025","66.28","66.70","67.23","66.25","19.98K","-0.53%"
"05/12/2025","66.63","67.61","68.89","66.57","31.55K","0.03%"
"05/09/2025","66.61","66.69","67.22","66.40","16.36K","-0.12%"
"05/08/2025","66.69","67.38","67.71","66.22","21.53K","-5.36%"
"05/07/2025","70.47","70.47","70.47","70.47","24.94K","-2.04%"
"05/06/2025","71.94","70.85","73.50","70.85","0.01K","2.26%"
"05/05/2025","70.35","70.35","70.35","70.35","0.00K","0.24%"
"05/02/2025","70.18","70.18","70.18","70.18","36.51K","6.97%"
"05/01/2025","65.61","65.61","65.61","65.61","16.00K","-0.62%"
"04/30/2025","66.02","66.49","66.63","65.71","20.91K","-0.71%"
"04/29/2025","66.49","67.58","67.81","66.11","26.37K","-1.57%"
"04/28/2025","67.55","68.80","68.86","67.29","21.71K","-1.82%"
"04/25/2025","68.80","69.15","69.75","68.45","20.41K","-0.53%"
"04/24/2025","69.17","68.90","69.48","68.63","28.39K","0.20%"
"04/23/2025","69.03","67.40","69.60","67.18","45.31K","2.69%"
"04/22/2025","67.22","66.86","67.37","66.44","22.64K","0.60%"
"04/21/2025","66.82","67.20","67.40","66.21","19.17K","-0.46%"
"04/17/2025","67.13","66.30","67.20","66.25","15.23K","1.15%"
"04/16/2025","66.37","66.12","66.68","65.69","20.15K","0.38%"
"04/15/2025","66.12","65.35","66.25","65.05","26.30K","1.18%"
"04/14/2025","65.35","67.07","67.23","65.10","31.47K","-0.82%"
"04/11/2025","65.89","66.40","67.14","65.56","33.64K","-0.87%"
"04/10/2025","66.47","66.60","67.62","66.18","41.85K","-0.24%"
"04/09/2025","66.63","64.71","67.00","64.25","56.26K","1.65%"
"04/08/2025","65.55","65.95","66.26","64.74","47.28K","-0.67%"
"04/07/2025","65.99","62.22","66.15","61.81","67.15K","4.15%"
"04/04/2025","63.36","64.60","64.66","60.80","72.06K","-2.22%"
"04/03/2025","64.80","66.06","66.19","64.80","36.47K","-4.42%"
"04/02/2025","67.80","68.01","68.58","67.66","36.89K","-0.66%"
"04/01/2025","68.25","66.83","68.32","66.40","38.09K","2.12%"
"03/31/2025","66.83","66.80","66.97","65.99","27.55K","-0.10%"
"03/28/2025","66.90","67.00","67.10","66.50","23.45K","-0.25%"
"03/27/2025","67.07","65.68","67.09","65.46","27.73K","2.12%"
"03/26/2025","65.68","65.19","65.99","65.02","18.43K","0.83%"
"03/25/2025","65.14","65.44","65.87","64.87","18.37K","-0.43%"
"03/24/2025","65.42","65.39","65.68","64.83","17.07K","0.23%"
"03/21/2025","65.27","66.08","66.42","65.24","15.30K","-1.23%"
"03/20/2025","66.08","66.38","66.84","65.76","14.62K","-0.41%"
"03/19/2025","66.35","66.45","66.61","65.96","15.84K","-0.18%"
"03/18/2025","66.47","66.90","67.08","66.35","16.63K","-0.76%"
"03/17/2025","66.98","67.49","67.80","66.80","16.43K","-0.58%"
"03/14/2025","67.37","66.51","67.63","66.51","22.88K","1.26%"
"03/13/2025","66.53","67.00","67.33","66.41","20.58K","-0.67%"
"03/12/2025","66.98","65.95","67.03","65.95","20.11K","1.48%"
"03/11/2025","66.00","65.90","66.73","65.42","17.58K","0.00%"
"03/10/2025","66.00","66.00","67.07","65.62","30.19K","1.91%"
