"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2025","17.66","17.88","17.99","17.58","54.28K","-2.21%"
"05/14/2025","18.06","18.22","18.29","17.94","48.77K","-0.88%"
"05/13/2025","18.22","17.75","18.29","17.61","81.45K","2.94%"
"05/12/2025","17.70","17.91","18.09","17.62","46.64K","-0.45%"
"05/09/2025","17.78","17.50","17.90","17.44","55.59K","1.60%"
"05/08/2025","17.50","17.19","17.55","17.05","47.95K","2.16%"
"05/07/2025","17.13","17.39","17.39","17.06","46.06K","-1.78%"
"05/06/2025","17.44","17.47","17.65","17.39","37.57K","-0.17%"
"05/05/2025","17.47","17.32","17.54","17.20","39.44K","1.57%"
"05/02/2025","17.20","17.23","17.29","16.97","49.53K","0.23%"
"05/01/2025","17.16","17.30","17.37","17.08","60.06K","-1.72%"
"04/30/2025","17.46","17.62","17.93","17.38","6.42K","-0.91%"
"04/29/2025","17.62","17.84","17.93","17.44","22.03K","-1.23%"
"04/28/2025","17.84","18.18","18.19","17.65","49.51K","-1.87%"
"04/25/2025","18.18","17.92","18.20","17.89","38.79K","1.45%"
"04/24/2025","17.92","17.98","18.00","17.78","27.37K","0.22%"
"04/23/2025","17.88","17.96","18.07","17.73","51.70K","-0.45%"
"04/22/2025","17.96","17.71","18.03","17.59","55.25K","1.24%"
"04/21/2025","17.74","17.80","18.05","17.67","33.70K","-1.06%"
"04/17/2025","17.93","17.90","17.99","17.82","22.74K","0.39%"
"04/16/2025","17.86","17.57","17.89","17.51","50.32K","1.94%"
"04/15/2025","17.52","17.86","17.95","17.51","68.10K","-1.96%"
"04/14/2025","17.87","17.98","18.12","17.81","52.94K","-0.72%"
"04/11/2025","18.00","18.10","18.31","17.91","78.00K","-0.66%"
"04/10/2025","18.12","18.40","18.50","18.06","109.97K","1.17%"
"04/09/2025","17.91","18.26","18.35","17.87","119.69K","-2.18%"
"04/08/2025","18.31","18.74","18.87","18.26","102.51K","-1.98%"
"04/07/2025","18.68","18.75","19.05","18.62","88.87K","-0.85%"
"04/04/2025","18.84","19.07","19.11","18.76","88.37K","-1.41%"
"04/03/2025","19.11","19.34","19.54","18.95","61.74K","-2.45%"
"04/02/2025","19.59","19.36","19.63","19.08","55.65K","1.24%"
"04/01/2025","19.35","18.89","19.40","18.85","50.79K","2.60%"
"03/31/2025","18.86","19.00","19.32","18.72","71.62K","-0.53%"
"03/28/2025","18.96","19.09","19.21","18.91","48.35K","-0.68%"
"03/27/2025","19.09","19.30","19.36","18.94","53.48K","-1.34%"
"03/26/2025","19.35","19.55","19.63","19.22","43.92K","-0.82%"
"03/25/2025","19.51","19.31","19.60","19.20","43.91K","1.30%"
"03/24/2025","19.26","19.72","19.72","19.23","57.65K","-2.33%"
"03/21/2025","19.72","19.95","20.07","19.66","39.11K","-1.40%"
"03/20/2025","20.00","19.65","20.06","19.56","40.38K","1.57%"
"03/19/2025","19.69","19.86","20.05","19.54","48.89K","-1.50%"
"03/18/2025","19.99","19.90","20.09","19.63","72.01K","0.10%"
"03/17/2025","19.97","19.25","20.00","19.22","89.33K","4.06%"
"03/14/2025","19.19","19.17","19.32","18.75","43.75K","-0.31%"
"03/13/2025","19.25","18.84","19.27","18.76","47.01K","2.07%"
"03/12/2025","18.86","18.82","19.12","18.69","42.71K","1.02%"
"03/11/2025","18.67","18.94","19.04","18.57","51.89K","-0.95%"
"03/10/2025","18.85","18.47","19.00","18.34","71.88K","2.95%"
"03/07/2025","18.31","18.28","18.45","18.22","42.49K","0.99%"
"03/06/2025","18.13","18.20","18.30","17.84","69.02K","-0.38%"
"03/05/2025","18.20","18.21","18.51","18.13","50.97K","0.55%"
"03/04/2025","18.10","18.20","18.28","17.94","60.16K","-0.66%"
"03/03/2025","18.22","18.52","18.56","18.14","67.34K","-6.61%"
"02/28/2025","19.51","19.85","19.85","19.23","2.23K","-0.91%"
"02/27/2025","19.69","20.75","20.85","19.61","16.82K","-4.60%"
"02/26/2025","20.64","21.41","21.43","20.54","36.89K","-3.82%"
"02/25/2025","21.46","21.06","21.57","20.96","28.78K","9.66%"
"02/24/2025","19.57","19.87","19.97","19.52","84.05K","-1.76%"
"02/21/2025","19.92","19.75","19.96","19.60","65.43K","0.86%"
"02/20/2025","19.75","19.31","19.78","19.30","75.07K","1.86%"
"02/19/2025","19.39","19.06","19.46","19.01","65.41K","1.20%"
"02/18/2025","19.16","19.30","19.32","19.12","77.52K","-6.17%"
"02/14/2025","20.42","20.15","20.45","20.05","51.96K","1.24%"
