"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","1,984.73","1,983.09","1,996.78","1,983.09","","-0.06%"
"06/03/2025","1,985.93","1,980.64","1,988.53","1,962.10","","0.13%"
"06/02/2025","1,983.35","1,967.25","1,985.30","1,967.00","","0.78%"
"05/30/2025","1,967.93","1,964.48","1,967.93","1,945.93","","0.16%"
"05/29/2025","1,964.88","1,986.15","1,996.78","1,964.73","","-1.16%"
"05/28/2025","1,987.93","1,990.90","1,991.15","1,977.58","","0.05%"
"05/27/2025","1,986.98","1,992.50","1,995.60","1,975.98","","-0.49%"
"05/23/2025","1,996.68","1,970.30","1,998.18","1,970.30","","1.26%"
"05/22/2025","1,971.88","1,977.28","1,979.95","1,950.43","","-0.19%"
"05/21/2025","1,975.68","1,982.85","1,995.48","1,957.13","","-0.21%"
"05/20/2025","1,979.88","1,961.58","1,994.68","1,961.58","","0.69%"
"05/19/2025","1,966.33","2,001.70","2,009.30","1,959.43","","-1.77%"
"05/16/2025","2,001.68","2,000.75","2,008.28","1,986.08","","-0.17%"
"05/15/2025","2,005.03","1,993.29","2,007.38","1,979.80","","0.61%"
"05/14/2025","1,992.83","1,993.45","2,005.28","1,977.23","","0.14%"
"05/13/2025","1,990.13","1,973.65","1,998.70","1,971.95","","0.73%"
"05/12/2025","1,975.65","1,984.95","2,002.35","1,975.25","","-0.32%"
"05/09/2025","1,981.98","1,951.42","1,985.58","1,949.80","","1.50%"
"05/08/2025","1,952.73","1,956.90","1,956.90","1,933.95","","-0.31%"
"05/07/2025","1,958.73","1,917.34","1,961.68","1,915.80","","2.05%"
"05/06/2025","1,919.33","1,939.83","1,956.08","1,918.13","","-0.88%"
"05/02/2025","1,936.33","1,957.69","1,974.60","1,934.78","","-1.07%"
"05/01/2025","1,957.18","1,953.80","1,974.28","1,943.48","","-0.06%"
"04/30/2025","1,958.43","1,981.25","1,986.20","1,954.03","","-1.03%"
"04/29/2025","1,978.88","1,975.40","1,982.88","1,966.28","","0.24%"
"04/28/2025","1,974.08","1,952.05","1,982.48","1,944.75","","1.22%"
"04/25/2025","1,950.28","1,961.93","1,967.60","1,946.18","","-0.71%"
"04/24/2025","1,964.18","1,947.48","1,966.18","1,935.00","","0.68%"
"04/23/2025","1,950.83","1,921.63","1,951.83","1,921.63","","1.50%"
"04/22/2025","1,922.08","1,931.85","1,944.08","1,919.68","","-0.23%"
"04/17/2025","1,926.53","1,907.18","1,927.68","1,903.93","","0.88%"
"04/16/2025","1,909.73","1,905.55","1,917.73","1,889.88","","0.14%"
"04/15/2025","1,907.13","1,911.35","1,939.03","1,907.13","","-0.68%"
"04/14/2025","1,920.13","1,918.55","1,926.35","1,906.13","","0.15%"
"04/11/2025","1,917.23","1,897.47","1,922.83","1,890.25","","1.49%"
"04/10/2025","1,889.08","1,878.27","1,909.60","1,873.60","","2.07%"
"04/09/2025","1,850.85","1,875.38","1,875.38","1,840.35","","-1.06%"
"04/08/2025","1,870.65","1,884.85","1,892.75","1,861.60","","-0.45%"
"04/07/2025","1,879.10","1,860.35","1,923.90","1,851.20","","-1.47%"
"04/04/2025","1,907.05","1,954.00","1,956.85","1,901.35","","-2.55%"
"04/03/2025","1,956.90","1,974.25","1,974.50","1,947.45","","-0.70%"
"04/02/2025","1,970.75","1,998.75","2,001.53","1,968.05","","-1.09%"
"04/01/2025","1,992.40","2,015.45","2,022.53","1,988.10","","-1.22%"
"03/31/2025","2,016.93","2,030.63","2,032.63","2,012.73","","-0.55%"
"03/28/2025","2,028.03","2,046.05","2,049.30","2,025.73","","-0.72%"
"03/27/2025","2,042.78","2,092.10","2,094.90","2,041.23","","-2.28%"
"03/26/2025","2,090.50","2,082.74","2,098.82","2,070.35","","0.28%"
"03/25/2025","2,084.65","2,040.32","2,089.43","2,040.32","","1.97%"
"03/24/2025","2,044.45","2,042.03","2,063.73","2,036.23","","0.70%"
"03/21/2025","2,030.15","2,054.18","2,063.00","2,017.38","","-1.32%"
"03/20/2025","2,057.38","2,088.22","2,096.40","2,050.53","","-1.36%"
"03/19/2025","2,085.73","2,087.20","2,105.57","2,082.27","","-0.39%"
"03/18/2025","2,094.00","2,082.02","2,095.30","2,078.35","","0.70%"
"03/17/2025","2,079.45","2,079.55","2,100.57","2,077.55","","0.22%"
"03/14/2025","2,074.98","2,073.70","2,093.07","2,066.32","","0.09%"
"03/13/2025","2,073.10","2,079.95","2,086.68","2,066.82","","-0.45%"
"03/12/2025","2,082.50","2,052.55","2,085.55","2,052.55","","1.52%"
"03/11/2025","2,051.30","2,043.60","2,055.35","2,037.00","","0.29%"
"03/10/2025","2,045.45","2,022.85","2,056.88","2,022.15","","1.27%"
"03/07/2025","2,019.83","2,038.33","2,043.20","2,016.58","","-1.31%"
"03/06/2025","2,046.73","2,031.05","2,056.88","2,030.55","","0.85%"
