"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","0.3003","0.2998","0.3004","0.2969","","0.20%"
"05/15/2025","0.2997","0.3007","0.3035","0.2991","","-0.30%"
"05/14/2025","0.3006","0.3002","0.3021","0.2987","","0.13%"
"05/13/2025","0.3002","0.3009","0.3016","0.2988","","-0.23%"
"05/12/2025","0.3009","0.2996","0.3020","0.2979","","0.53%"
"05/09/2025","0.2993","0.2991","0.3008","0.2985","","0.07%"
"05/08/2025","0.2991","0.2930","0.2994","0.2913","","2.08%"
"05/07/2025","0.2930","0.2913","0.2936","0.2905","","0.62%"
"05/06/2025","0.2912","0.2946","0.2958","0.2908","","-1.15%"
"05/05/2025","0.2946","0.2969","0.2978","0.2944","","-0.87%"
"05/02/2025","0.2972","0.2982","0.2986","0.2963","","-0.40%"
"05/01/2025","0.2984","0.2968","0.2991","0.2960","","0.51%"
"04/30/2025","0.2969","0.3000","0.3014","0.2963","","-1.00%"
"04/29/2025","0.2999","0.2958","0.3001","0.2954","","1.39%"
"04/28/2025","0.2958","0.2950","0.2972","0.2945","","0.24%"
"04/25/2025","0.2951","0.2934","0.2959","0.2933","","0.58%"
"04/24/2025","0.2934","0.2946","0.2954","0.2929","","-0.41%"
"04/23/2025","0.2946","0.2927","0.2957","0.2914","","0.65%"
"04/22/2025","0.2927","0.2870","0.2930","0.2856","","2.03%"
"04/21/2025","0.2869","0.2900","0.2909","0.2860","","-1.07%"
"04/18/2025","0.2900","0.2883","0.2905","0.2879","","0.61%"
"04/17/2025","0.2882","0.2872","0.2889","0.2853","","0.36%"
"04/16/2025","0.2872","0.2880","0.2886","0.2862","","-0.24%"
"04/15/2025","0.2879","0.2908","0.2914","0.2860","","-0.91%"
"04/14/2025","0.2905","0.2927","0.2943","0.2893","","-0.72%"
"04/11/2025","0.2926","0.2961","0.2964","0.2903","","-1.11%"
"04/10/2025","0.2959","0.3043","0.3054","0.2926","","-2.72%"
"04/09/2025","0.3042","0.3006","0.3045","0.2942","","1.23%"
"04/08/2025","0.3005","0.3054","0.3059","0.2991","","-1.55%"
"04/07/2025","0.3052","0.3058","0.3100","0.3023","","-0.18%"
"04/04/2025","0.3058","0.3065","0.3164","0.3055","","-0.23%"
