"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","0.61331","0.61065","0.61384","0.60770","","0.43%"
"06/03/2025","0.61070","0.61245","0.61435","0.61005","","-0.28%"
"06/02/2025","0.61240","0.61200","0.61425","0.61085","","-0.03%"
"06/01/2025","0.61259","0.61235","0.61271","0.61186","","0.15%"
"05/30/2025","0.61170","0.60980","0.61430","0.60965","","0.30%"
"05/29/2025","0.60990","0.61140","0.61235","0.60870","","-0.24%"
"05/28/2025","0.61135","0.61160","0.61335","0.60995","","-0.04%"
"05/27/2025","0.61160","0.61470","0.61700","0.60980","","-0.50%"
"05/26/2025","0.61470","0.61715","0.61785","0.61345","","-0.41%"
"05/23/2025","0.61720","0.61555","0.62090","0.61415","","0.27%"
"05/22/2025","0.61555","0.61415","0.61820","0.61185","","0.21%"
"05/21/2025","0.61425","0.61330","0.61500","0.61220","","0.15%"
"05/20/2025","0.61330","0.61395","0.61580","0.61235","","-0.11%"
"05/19/2025","0.61395","0.61470","0.61680","0.61190","","-0.19%"
"05/16/2025","0.61510","0.61355","0.61560","0.61295","","0.25%"
"05/15/2025","0.61355","0.60985","0.61450","0.60940","","0.62%"
"05/14/2025","0.60975","0.60620","0.61080","0.60540","","0.59%"
"05/13/2025","0.60620","0.60750","0.60930","0.60520","","-0.21%"
"05/12/2025","0.60750","0.61325","0.61380","0.60620","","-0.68%"
"05/09/2025","0.61165","0.61040","0.61300","0.60990","","0.20%"
"05/08/2025","0.61040","0.61530","0.61540","0.61000","","-0.77%"
"05/07/2025","0.61515","0.61755","0.61780","0.61325","","-0.37%"
"05/06/2025","0.61745","0.61500","0.61890","0.61355","","0.40%"
"05/05/2025","0.61500","0.61035","0.61520","0.60985","","0.70%"
"05/02/2025","0.61075","0.60890","0.61210","0.60740","","0.30%"
"05/01/2025","0.60890","0.61700","0.61815","0.60800","","-1.31%"
"04/30/2025","0.61700","0.61700","0.61825","0.61420","","0.00%"
"04/29/2025","0.61700","0.61650","0.61775","0.61500","","0.08%"
"04/28/2025","0.61650","0.61235","0.61660","0.61180","","0.68%"
"04/25/2025","0.61235","0.61560","0.61695","0.61055","","-0.53%"
"04/24/2025","0.61560","0.61605","0.61800","0.61530","","-0.07%"
"04/23/2025","0.61605","0.61835","0.62045","0.61545","","-0.38%"
"04/22/2025","0.61840","0.61650","0.62135","0.61590","","0.31%"
"04/21/2025","0.61650","0.61765","0.61875","0.61465","","-0.15%"
"04/18/2025","0.61740","0.61765","0.61845","0.61645","","-0.06%"
"04/17/2025","0.61780","0.61870","0.62010","0.61470","","-0.11%"
"04/16/2025","0.61850","0.61865","0.61955","0.61580","","-0.04%"
"04/15/2025","0.61875","0.61620","0.62005","0.61405","","0.41%"
"04/14/2025","0.61620","0.61010","0.61710","0.61005","","0.47%"
"04/11/2025","0.61330","0.61825","0.62000","0.61290","","-0.79%"
"04/10/2025","0.61820","0.61810","0.62165","0.61500","","0.02%"
"04/09/2025","0.61810","0.62380","0.62710","0.61640","","-0.92%"
"04/08/2025","0.62385","0.62025","0.62495","0.61645","","0.58%"
"04/07/2025","0.62025","0.62470","0.63155","0.61570","","-0.17%"
"04/04/2025","0.62130","0.61945","0.62890","0.61720","","0.30%"
"04/03/2025","0.61945","0.61720","0.62460","0.61325","","0.36%"
"04/02/2025","0.61720","0.61925","0.62070","0.60900","","-0.33%"
"04/01/2025","0.61925","0.61645","0.62205","0.61575","","0.45%"
"03/31/2025","0.61645","0.61690","0.62100","0.61540","","0.02%"
"03/28/2025","0.61635","0.61290","0.61710","0.61275","","0.57%"
"03/27/2025","0.61285","0.61750","0.61975","0.61210","","-0.75%"
"03/26/2025","0.61750","0.61815","0.61865","0.61490","","-0.11%"
"03/25/2025","0.61815","0.61430","0.61880","0.61330","","0.62%"
"03/24/2025","0.61435","0.61960","0.61960","0.61395","","-0.79%"
"03/21/2025","0.61925","0.61930","0.62215","0.61670","","-0.01%"
"03/20/2025","0.61930","0.61675","0.62220","0.61590","","0.39%"
"03/19/2025","0.61690","0.61210","0.61710","0.61015","","0.78%"
"03/18/2025","0.61210","0.61350","0.61400","0.60895","","-0.24%"
"03/17/2025","0.61355","0.61880","0.61900","0.61315","","-0.78%"
"03/14/2025","0.61835","0.62335","0.62385","0.61595","","-0.80%"
"03/13/2025","0.62335","0.61950","0.62485","0.61910","","0.62%"
"03/12/2025","0.61950","0.61970","0.62040","0.61460","","-0.03%"
"03/11/2025","0.61970","0.62675","0.62905","0.61800","","-1.12%"
"03/10/2025","0.62675","0.62415","0.62940","0.62345","","0.51%"
"03/07/2025","0.62355","0.62660","0.62790","0.62195","","-0.49%"
"03/06/2025","0.62665","0.62245","0.62850","0.62000","","0.67%"
"03/05/2025","0.62250","0.62820","0.63000","0.62205","","-0.91%"
"03/04/2025","0.62820","0.63775","0.64275","0.62800","","-1.50%"
"03/03/2025","0.63775","0.63945","0.64145","0.63095","","-0.33%"
"02/28/2025","0.63985","0.64195","0.64605","0.63615","","-0.33%"
"02/27/2025","0.64195","0.63975","0.64250","0.63600","","0.34%"
"02/26/2025","0.63975","0.63825","0.64090","0.63630","","0.24%"
"02/25/2025","0.63820","0.63805","0.64070","0.63560","","0.02%"
"02/24/2025","0.63810","0.63835","0.64070","0.63585","","-0.36%"
"02/21/2025","0.64040","0.63635","0.64180","0.63195","","0.62%"
"02/20/2025","0.63645","0.63345","0.63980","0.63330","","0.47%"
"02/19/2025","0.63345","0.62970","0.63410","0.62835","","0.62%"
"02/18/2025","0.62955","0.62960","0.63150","0.62805","","0.00%"
"02/17/2025","0.62955","0.62580","0.63085","0.62555","","0.64%"
"02/14/2025","0.62555","0.62540","0.62730","0.62370","","0.02%"
"02/13/2025","0.62540","0.62375","0.62890","0.62030","","0.26%"
"02/12/2025","0.62375","0.63295","0.63340","0.62120","","-1.45%"
"02/11/2025","0.63290","0.63825","0.64000","0.63210","","-0.84%"
"02/10/2025","0.63825","0.64015","0.64320","0.63520","","-0.20%"
"02/07/2025","0.63950","0.63585","0.64165","0.63160","","0.57%"
"02/06/2025","0.63590","0.62990","0.63680","0.62935","","0.94%"
"02/05/2025","0.62995","0.62425","0.63100","0.62370","","0.91%"
"02/04/2025","0.62425","0.62465","0.62825","0.62170","","-0.06%"
"02/03/2025","0.62460","0.62625","0.63310","0.62435","","0.47%"
"01/31/2025","0.62170","0.62375","0.62540","0.61910","","-0.33%"
"01/30/2025","0.62375","0.61820","0.62420","0.61800","","0.89%"
"01/29/2025","0.61825","0.61645","0.62000","0.61535","","0.29%"
"01/28/2025","0.61645","0.61690","0.61895","0.61445","","-0.06%"
"01/27/2025","0.61685","0.61130","0.61910","0.61130","","0.98%"
"01/24/2025","0.61085","0.61520","0.61765","0.60900","","-0.71%"
"01/23/2025","0.61520","0.61380","0.61665","0.61290","","0.23%"
"01/22/2025","0.61380","0.61650","0.61780","0.61260","","-0.44%"
"01/21/2025","0.61650","0.61700","0.62140","0.61630","","-0.08%"
"01/20/2025","0.61700","0.62285","0.62385","0.61595","","-0.94%"
"01/17/2025","0.62285","0.62585","0.62610","0.62095","","-0.48%"
"01/16/2025","0.62585","0.62115","0.62605","0.62070","","0.77%"
"01/15/2025","0.62105","0.61405","0.62200","0.61380","","1.14%"
"01/14/2025","0.61405","0.61985","0.62045","0.61395","","-0.93%"
"01/13/2025","0.61980","0.61910","0.62490","0.61800","","0.14%"
"01/10/2025","0.61895","0.61385","0.62040","0.61275","","0.81%"
"01/09/2025","0.61395","0.61195","0.61590","0.61185","","0.33%"
"01/08/2025","0.61195","0.61195","0.61410","0.61035","","0.02%"
"01/07/2025","0.61185","0.61055","0.61270","0.60760","","0.21%"
"01/06/2025","0.61055","0.61710","0.61740","0.60955","","-1.01%"
"01/03/2025","0.61680","0.61845","0.61970","0.61640","","-0.27%"
