"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","0.1502","0.1498","0.1504","0.1495","","0.27%"
"05/15/2025","0.1498","0.1500","0.1507","0.1489","","0.00%"
"05/14/2025","0.1498","0.1491","0.1502","0.1485","","0.47%"
"05/13/2025","0.1491","0.1503","0.1510","0.1488","","-0.67%"
"05/12/2025","0.1501","0.1504","0.1511","0.1488","","-0.20%"
"05/09/2025","0.1504","0.1498","0.1508","0.1493","","0.40%"
"05/08/2025","0.1498","0.1504","0.1512","0.1492","","-0.40%"
"05/07/2025","0.1504","0.1500","0.1507","0.1489","","0.27%"
"05/06/2025","0.1500","0.1488","0.1503","0.1480","","0.81%"
"05/05/2025","0.1488","0.1486","0.1496","0.1478","","-0.13%"
"05/02/2025","0.1490","0.1502","0.1510","0.1487","","-0.80%"
"05/01/2025","0.1502","0.1502","0.1511","0.1492","","0.00%"
"04/30/2025","0.1502","0.1511","0.1518","0.1497","","-0.53%"
"04/29/2025","0.1510","0.1505","0.1516","0.1498","","0.33%"
"04/28/2025","0.1505","0.1500","0.1513","0.1487","","0.47%"
"04/25/2025","0.1498","0.1501","0.1509","0.1476","","-0.20%"
"04/24/2025","0.1501","0.1493","0.1509","0.1481","","0.54%"
"04/23/2025","0.1493","0.1511","0.1516","0.1489","","-1.19%"
"04/22/2025","0.1511","0.1503","0.1517","0.1494","","0.73%"
"04/21/2025","0.1500","0.1494","0.1506","0.1489","","0.81%"
"04/18/2025","0.1488","0.1495","0.1504","0.1486","","-0.33%"
"04/17/2025","0.1493","0.1484","0.1498","0.1480","","0.61%"
"04/16/2025","0.1484","0.1481","0.1491","0.1472","","0.82%"
"04/15/2025","0.1472","0.1499","0.1504","0.1475","","-1.21%"
"04/14/2025","0.1490","0.1485","0.1505","0.1474","","0.47%"
"04/11/2025","0.1483","0.1485","0.1516","0.1478","","0.07%"
"04/10/2025","0.1482","0.1507","0.1518","0.1478","","-1.20%"
"04/09/2025","0.1500","0.1533","0.1544","0.1498","","-1.96%"
"04/08/2025","0.1530","0.1523","0.1536","0.1505","","0.79%"
"04/07/2025","0.1518","0.1538","0.1561","0.1504","","-0.98%"
"04/04/2025","0.1533","0.1530","0.1563","0.1523","","0.20%"
"04/03/2025","0.1530","0.1524","0.1544","0.1520","","0.46%"
"04/02/2025","0.1523","0.1522","0.1535","0.1513","","0.46%"
"04/01/2025","0.1516","0.1524","0.1531","0.1517","","-0.33%"
"03/31/2025","0.1521","0.1515","0.1529","0.1511","","0.73%"
"03/28/2025","0.1510","0.1513","0.1523","0.1507","","-0.20%"
"03/27/2025","0.1513","0.1503","0.1515","0.1497","","0.87%"
"03/26/2025","0.1500","0.1509","0.1518","0.1498","","-0.40%"
"03/25/2025","0.1506","0.1512","0.1520","0.1504","","-0.40%"
"03/24/2025","0.1512","0.1512","0.1520","0.1505","","0.40%"
"03/21/2025","0.1506","0.1503","0.1517","0.1498","","0.33%"
"03/20/2025","0.1501","0.1489","0.1506","0.1485","","0.87%"
"03/19/2025","0.1488","0.1488","0.1497","0.1483","","0.07%"
"03/18/2025","0.1487","0.1487","0.1495","0.1482","","0.13%"
"03/17/2025","0.1485","0.1486","0.1495","0.1479","","0.27%"
"03/14/2025","0.1481","0.1490","0.1493","0.1481","","-0.40%"
"03/13/2025","0.1487","0.1486","0.1496","0.1475","","0.34%"
"03/12/2025","0.1482","0.1490","0.1498","0.1485","","-0.40%"
"03/11/2025","0.1488","0.1480","0.1500","0.1476","","0.68%"
"03/10/2025","0.1478","0.1461","0.1481","0.1453","","1.23%"
"03/07/2025","0.1460","0.1450","0.1471","0.1446","","0.83%"
"03/06/2025","0.1448","0.1445","0.1458","0.1442","","0.49%"
"03/05/2025","0.1441","0.1437","0.1451","0.1433","","0.49%"
"03/04/2025","0.1434","0.1436","0.1442","0.1431","","0.00%"
"03/03/2025","0.1434","0.1432","0.1440","0.1427","","0.56%"
"02/28/2025","0.1426","0.1426","0.1435","0.1422","","0.21%"
"02/27/2025","0.1423","0.1422","0.1428","0.1417","","0.21%"
"02/26/2025","0.1420","0.1418","0.1425","0.1414","","0.28%"
"02/25/2025","0.1416","0.1417","0.1424","0.1412","","0.00%"
"02/24/2025","0.1416","0.1412","0.1420","0.1406","","0.71%"
"02/21/2025","0.1406","0.1408","0.1415","0.1401","","-0.14%"
"02/20/2025","0.1408","0.1416","0.1418","0.1405","","-0.35%"
"02/19/2025","0.1413","0.1411","0.1418","0.1405","","0.21%"
"02/18/2025","0.1410","0.1417","0.1421","0.1409","","-0.42%"
"02/17/2025","0.1416","0.1415","0.1420","0.1409","","0.21%"
"02/14/2025","0.1413","0.1420","0.1426","0.1413","","-0.42%"
"02/13/2025","0.1419","0.1411","0.1424","0.1406","","0.50%"
"02/12/2025","0.1412","0.1419","0.1423","0.1409","","-0.42%"
"02/11/2025","0.1418","0.1420","0.1423","0.1416","","-0.14%"
"02/10/2025","0.1420","0.1418","0.1425","0.1410","","0.21%"
"02/07/2025","0.1417","0.1419","0.1426","0.1407","","-0.07%"
"02/06/2025","0.1418","0.1417","0.1423","0.1414","","0.07%"
"02/05/2025","0.1417","0.1421","0.1426","0.1416","","-0.28%"
"02/04/2025","0.1421","0.1417","0.1425","0.1411","","0.50%"
"02/03/2025","0.1414","0.1411","0.1431","0.1406","","-0.56%"
"01/31/2025","0.1422","0.1421","0.1430","0.1414","","0.21%"
"01/30/2025","0.1419","0.1421","0.1428","0.1415","","-0.07%"
"01/29/2025","0.1420","0.1417","0.1424","0.1416","","0.21%"
"01/28/2025","0.1417","0.1413","0.1421","0.1409","","0.35%"
"01/27/2025","0.1412","0.1413","0.1420","0.1408","","0.00%"
"01/24/2025","0.1412","0.1411","0.1419","0.1407","","0.14%"
"01/23/2025","0.1410","0.1413","0.1417","0.1408","","-0.14%"
"01/22/2025","0.1412","0.1412","0.1417","0.1405","","0.21%"
"01/21/2025","0.1409","0.1410","0.1417","0.1406","","-0.07%"
"01/20/2025","0.1410","0.1409","0.1417","0.1404","","0.14%"
"01/17/2025","0.1408","0.1417","0.1421","0.1408","","-0.49%"
"01/16/2025","0.1415","0.1417","0.1424","0.1412","","-0.07%"
"01/15/2025","0.1416","0.1419","0.1426","0.1415","","-0.07%"
"01/14/2025","0.1417","0.1417","0.1425","0.1410","","0.07%"
"01/13/2025","0.1416","0.1417","0.1424","0.1411","","0.07%"
"01/10/2025","0.1415","0.1417","0.1423","0.1408","","0.00%"
"01/09/2025","0.1415","0.1411","0.1418","0.1408","","0.35%"
"01/08/2025","0.1410","0.1412","0.1423","0.1402","","0.07%"
"01/07/2025","0.1409","0.1418","0.1421","0.1403","","-0.42%"
"01/06/2025","0.1415","0.1410","0.1424","0.1404","","0.07%"
"01/03/2025","0.1414","0.1415","0.1420","0.1410","","0.07%"
"01/02/2025","0.1413","0.1419","0.1423","0.1412","","-0.21%"
"01/01/2025","0.1416","0.1416","0.1425","0.1415","","-0.14%"
"12/31/2024","0.1418","0.1417","0.1427","0.1411","","0.00%"
"12/30/2024","0.1418","0.1418","0.1422","0.1409","","0.42%"
"12/27/2024","0.1412","0.1411","0.1420","0.1408","","0.21%"
"12/26/2024","0.1409","0.1412","0.1418","0.1404","","0.28%"
"12/25/2024","0.1405","0.1412","0.1417","0.1403","","-0.14%"
"12/24/2024","0.1407","0.1409","0.1417","0.1405","","-0.07%"
"12/23/2024","0.1408","0.1409","0.1419","0.1404","","0.00%"
"12/20/2024","0.1408","0.1400","0.1416","0.1398","","0.72%"
"12/19/2024","0.1398","0.1412","0.1421","0.1396","","-0.99%"
"12/18/2024","0.1412","0.1409","0.1417","0.1405","","0.21%"
"12/17/2024","0.1409","0.1408","0.1415","0.1400","","0.28%"
"12/16/2024","0.1405","0.1409","0.1416","0.1402","","-0.21%"
"12/13/2024","0.1408","0.1405","0.1415","0.1401","","0.36%"
"12/12/2024","0.1403","0.1408","0.1411","0.1398","","-0.28%"
"12/11/2024","0.1407","0.1406","0.1415","0.1400","","0.14%"
"12/10/2024","0.1405","0.1396","0.1411","0.1393","","0.72%"
"12/09/2024","0.1395","0.1400","0.1406","0.1393","","-0.50%"
"12/06/2024","0.1402","0.1405","0.1411","0.1399","","-0.07%"
"12/05/2024","0.1403","0.1406","0.1411","0.1402","","-0.14%"
"12/04/2024","0.1405","0.1393","0.1412","0.1391","","1.08%"
"12/03/2024","0.1390","0.1391","0.1399","0.1388","","0.00%"
"12/02/2024","0.1390","0.1390","0.1396","0.1382","","0.14%"
"11/29/2024","0.1388","0.1392","0.1397","0.1381","","-0.29%"
"11/28/2024","0.1392","0.1391","0.1395","0.1385","","0.36%"
"11/27/2024","0.1387","0.1383","0.1395","0.1379","","0.36%"
"11/26/2024","0.1382","0.1387","0.1398","0.1379","","0.00%"
"11/25/2024","0.1382","0.1390","0.1393","0.1380","","-0.36%"
"11/22/2024","0.1387","0.1388","0.1393","0.1377","","0.00%"
"11/21/2024","0.1387","0.1390","0.1392","0.1385","","0.00%"
"11/20/2024","0.1387","0.1394","0.1398","0.1385","","-0.43%"
"11/19/2024","0.1393","0.1397","0.1401","0.1391","","-0.21%"
"11/18/2024","0.1396","0.1396","0.1400","0.1388","","0.22%"
"11/15/2024","0.1393","0.1390","0.1400","0.1385","","0.36%"
"11/14/2024","0.1388","0.1384","0.1392","0.1381","","0.29%"
"11/13/2024","0.1384","0.1382","0.1388","0.1379","","0.29%"
"11/12/2024","0.1380","0.1379","0.1384","0.1375","","0.22%"
"11/11/2024","0.1377","0.1378","0.1386","0.1369","","-0.22%"
"11/08/2024","0.1380","0.1377","0.1383","0.1375","","0.22%"
"11/07/2024","0.1377","0.1373","0.1384","0.1365","","0.36%"
"11/06/2024","0.1372","0.1376","0.1383","0.1365","","-0.22%"
"11/05/2024","0.1375","0.1380","0.1382","0.1368","","-0.22%"
"11/04/2024","0.1378","0.1374","0.1385","0.1367","","0.36%"
"11/01/2024","0.1373","0.1382","0.1388","0.1374","","-0.51%"
"10/31/2024","0.1380","0.1388","0.1391","0.1380","","-0.50%"
"10/30/2024","0.1387","0.1391","0.1395","0.1383","","-0.22%"
"10/29/2024","0.1390","0.1382","0.1392","0.1377","","0.65%"
"10/28/2024","0.1381","0.1382","0.1387","0.1373","","0.22%"
"10/25/2024","0.1378","0.1376","0.1382","0.1375","","0.15%"
"10/24/2024","0.1376","0.1372","0.1378","0.1368","","0.36%"
"10/23/2024","0.1371","0.1371","0.1374","0.1365","","0.15%"
"10/22/2024","0.1369","0.1372","0.1375","0.1366","","-0.07%"
"10/21/2024","0.1370","0.1361","0.1373","0.1357","","0.44%"
"10/18/2024","0.1364","0.1367","0.1373","0.1361","","-0.15%"
"10/17/2024","0.1366","0.1374","0.1377","0.1363","","-0.51%"
"10/16/2024","0.1373","0.1379","0.1384","0.1372","","-0.22%"
"10/15/2024","0.1376","0.1379","0.1382","0.1372","","0.00%"
"10/14/2024","0.1376","0.1385","0.1391","0.1373","","-0.58%"
"10/11/2024","0.1384","0.1381","0.1388","0.1376","","0.65%"
"10/10/2024","0.1375","0.1381","0.1386","0.1369","","-0.43%"
"10/09/2024","0.1381","0.1384","0.1387","0.1376","","-0.22%"
"10/08/2024","0.1384","0.1391","0.1398","0.1380","","-0.43%"
"10/07/2024","0.1390","0.1378","0.1392","0.1371","","0.87%"
"10/04/2024","0.1378","0.1378","0.1384","0.1370","","0.07%"
"10/03/2024","0.1377","0.1374","0.1379","0.1371","","0.29%"
"10/02/2024","0.1373","0.1369","0.1377","0.1365","","0.44%"
"10/01/2024","0.1367","0.1372","0.1375","0.1363","","-0.29%"
"09/30/2024","0.1371","0.1381","0.1382","0.1366","","-0.58%"
"09/27/2024","0.1379","0.1377","0.1382","0.1373","","0.15%"
"09/26/2024","0.1377","0.1386","0.1388","0.1373","","-0.65%"
"09/25/2024","0.1386","0.1395","0.1398","0.1383","","-0.57%"
"09/24/2024","0.1394","0.1393","0.1405","0.1389","","0.22%"
"09/23/2024","0.1391","0.1402","0.1405","0.1390","","-0.57%"
"09/20/2024","0.1399","0.1399","0.1406","0.1391","","0.14%"
"09/19/2024","0.1397","0.1396","0.1404","0.1388","","0.14%"
"09/18/2024","0.1395","0.1396","0.1403","0.1390","","0.22%"
"09/17/2024","0.1392","0.1399","0.1401","0.1392","","-0.43%"
"09/16/2024","0.1398","0.1400","0.1407","0.1387","","0.14%"
"09/13/2024","0.1396","0.1389","0.1401","0.1384","","0.58%"
"09/12/2024","0.1388","0.1381","0.1389","0.1375","","0.73%"
"09/11/2024","0.1378","0.1387","0.1391","0.1379","","-0.58%"
"09/10/2024","0.1386","0.1385","0.1393","0.1380","","0.07%"
"09/09/2024","0.1385","0.1399","0.1403","0.1382","","-0.86%"
"09/06/2024","0.1397","0.1396","0.1403","0.1391","","0.29%"
"09/05/2024","0.1393","0.1398","0.1405","0.1393","","-0.07%"
"09/04/2024","0.1394","0.1394","0.1401","0.1389","","0.14%"
"09/03/2024","0.1392","0.1391","0.1400","0.1385","","0.14%"
"09/02/2024","0.1390","0.1385","0.1401","0.1380","","-0.07%"
"08/30/2024","0.1391","0.1401","0.1404","0.1387","","-0.64%"
"08/29/2024","0.1400","0.1403","0.1407","0.1394","","-0.14%"
"08/28/2024","0.1402","0.1407","0.1411","0.1397","","-0.28%"
"08/27/2024","0.1406","0.1400","0.1409","0.1396","","0.50%"
"08/26/2024","0.1399","0.1407","0.1412","0.1392","","-0.43%"
"08/23/2024","0.1405","0.1407","0.1411","0.1396","","-0.07%"
"08/22/2024","0.1406","0.1411","0.1416","0.1404","","-0.28%"
"08/21/2024","0.1410","0.1413","0.1415","0.1408","","-0.07%"
"08/20/2024","0.1411","0.1408","0.1415","0.1405","","0.28%"
"08/19/2024","0.1407","0.1404","0.1415","0.1394","","0.36%"
"08/16/2024","0.1402","0.1408","0.1410","0.1400","","-0.36%"
"08/15/2024","0.1407","0.1415","0.1421","0.1405","","-0.50%"
"08/14/2024","0.1414","0.1403","0.1419","0.1396","","0.78%"
"08/13/2024","0.1403","0.1405","0.1409","0.1401","","-0.07%"
"08/12/2024","0.1404","0.1408","0.1411","0.1400","","-0.14%"
"08/09/2024","0.1406","0.1399","0.1411","0.1392","","0.64%"
"08/08/2024","0.1397","0.1419","0.1425","0.1398","","-1.48%"
"08/07/2024","0.1418","0.1405","0.1421","0.1398","","1.14%"
"08/06/2024","0.1402","0.1397","0.1411","0.1388","","0.50%"
"08/05/2024","0.1395","0.1402","0.1417","0.1390","","-0.36%"
"08/02/2024","0.1400","0.1405","0.1408","0.1391","","-0.28%"
"08/01/2024","0.1404","0.1401","0.1409","0.1398","","0.36%"
"07/31/2024","0.1399","0.1396","0.1412","0.1391","","0.29%"
"07/30/2024","0.1395","0.1388","0.1397","0.1381","","0.58%"
"07/29/2024","0.1387","0.1384","0.1391","0.1382","","0.29%"
"07/26/2024","0.1383","0.1386","0.1393","0.1382","","-0.14%"
"07/25/2024","0.1385","0.1379","0.1389","0.1374","","0.51%"
"07/24/2024","0.1378","0.1373","0.1379","0.1368","","0.36%"
"07/23/2024","0.1373","0.1376","0.1376","0.1367","","0.00%"
"07/22/2024","0.1373","0.1370","0.1381","0.1366","","0.29%"
"07/19/2024","0.1369","0.1380","0.1385","0.1367","","-0.65%"
"07/18/2024","0.1378","0.1386","0.1390","0.1377","","-0.51%"
"07/17/2024","0.1385","0.1376","0.1388","0.1370","","0.65%"
"07/16/2024","0.1376","0.1367","0.1377","0.1366","","0.66%"
"07/15/2024","0.1367","0.1373","0.1380","0.1366","","-0.44%"
"07/12/2024","0.1373","0.1382","0.1385","0.1370","","-0.58%"
"07/11/2024","0.1381","0.1384","0.1385","0.1368","","-0.07%"
"07/10/2024","0.1382","0.1400","0.1406","0.1382","","-0.65%"
"07/09/2024","0.1391","0.1400","0.1406","0.1393","","-0.43%"
"07/08/2024","0.1397","0.1397","0.1409","0.1390","","-0.43%"
"07/05/2024","0.1403","0.1406","0.1411","0.1400","","-0.14%"
"07/04/2024","0.1405","0.1413","0.1416","0.1405","","-0.57%"
"07/03/2024","0.1413","0.1406","0.1414","0.1400","","0.57%"
"07/02/2024","0.1405","0.1409","0.1413","0.1400","","-0.14%"
"07/01/2024","0.1407","0.1402","0.1412","0.1399","","0.36%"
"06/28/2024","0.1402","0.1413","0.1418","0.1401","","-0.99%"
"06/27/2024","0.1416","0.1408","0.1417","0.1405","","0.64%"
"06/26/2024","0.1407","0.1417","0.1421","0.1405","","-0.71%"
"06/25/2024","0.1417","0.1425","0.1428","0.1417","","-0.49%"
"06/24/2024","0.1424","0.1425","0.1429","0.1418","","-0.14%"
"06/21/2024","0.1426","0.1424","0.1429","0.1419","","0.14%"
"06/20/2024","0.1424","0.1418","0.1427","0.1416","","0.49%"
"06/19/2024","0.1417","0.1420","0.1423","0.1416","","-0.21%"
"06/18/2024","0.1420","0.1419","0.1423","0.1413","","0.07%"
"06/17/2024","0.1419","0.1415","0.1423","0.1407","","0.35%"
"06/14/2024","0.1414","0.1416","0.1419","0.1411","","0.00%"
"06/13/2024","0.1414","0.1419","0.1422","0.1411","","-0.28%"
"06/12/2024","0.1418","0.1414","0.1426","0.1411","","0.35%"
"06/11/2024","0.1413","0.1421","0.1424","0.1410","","-0.56%"
"06/10/2024","0.1421","0.1418","0.1424","0.1408","","0.14%"
"06/07/2024","0.1419","0.1421","0.1427","0.1413","","0.00%"
"06/06/2024","0.1419","0.1421","0.1426","0.1417","","-0.07%"
"06/05/2024","0.1420","0.1425","0.1427","0.1420","","-0.21%"
"06/04/2024","0.1423","0.1431","0.1434","0.1420","","-0.35%"
"06/03/2024","0.1428","0.1432","0.1441","0.1426","","0.00%"
"05/31/2024","0.1428","0.1428","0.1436","0.1426","","0.00%"
"05/30/2024","0.1428","0.1428","0.1435","0.1425","","0.07%"
"05/29/2024","0.1427","0.1432","0.1435","0.1426","","-0.21%"
"05/28/2024","0.1430","0.1431","0.1435","0.1428","","0.07%"
"05/27/2024","0.1429","0.1426","0.1433","0.1419","","0.35%"
"05/24/2024","0.1424","0.1417","0.1429","0.1417","","0.56%"
"05/23/2024","0.1416","0.1410","0.1423","0.1408","","0.43%"
"05/22/2024","0.1410","0.1407","0.1413","0.1402","","0.43%"
"05/21/2024","0.1404","0.1401","0.1408","0.1399","","0.21%"
"05/20/2024","0.1401","0.1391","0.1404","0.1388","","0.29%"
"05/17/2024","0.1397","0.1399","0.1405","0.1391","","0.00%"
"05/16/2024","0.1397","0.1400","0.1406","0.1396","","-0.14%"
"05/15/2024","0.1399","0.1397","0.1403","0.1393","","0.29%"
"05/14/2024","0.1395","0.1398","0.1402","0.1394","","-0.07%"
"05/13/2024","0.1396","0.1397","0.1401","0.1387","","0.07%"
"05/10/2024","0.1395","0.1392","0.1400","0.1381","","0.22%"
"05/09/2024","0.1392","0.1393","0.1399","0.1387","","-0.07%"
"05/08/2024","0.1393","0.1391","0.1397","0.1387","","0.22%"
"05/07/2024","0.1390","0.1394","0.1399","0.1388","","-0.07%"
"05/06/2024","0.1391","0.1387","0.1398","0.1385","","0.07%"
"05/03/2024","0.1390","0.1386","0.1399","0.1382","","0.43%"
"05/02/2024","0.1384","0.1389","0.1392","0.1380","","-0.22%"
"05/01/2024","0.1387","0.1390","0.1393","0.1385","","-0.14%"
"04/30/2024","0.1389","0.1385","0.1392","0.1383","","0.36%"
"04/29/2024","0.1384","0.1387","0.1394","0.1382","","-0.14%"
"04/26/2024","0.1386","0.1400","0.1402","0.1384","","-0.93%"
"04/25/2024","0.1399","0.1400","0.1405","0.1396","","0.00%"
"04/24/2024","0.1399","0.1413","0.1417","0.1399","","-0.85%"
"04/23/2024","0.1411","0.1411","0.1414","0.1405","","0.07%"
"04/22/2024","0.1410","0.1413","0.1418","0.1406","","-0.21%"
"04/19/2024","0.1413","0.1409","0.1418","0.1407","","0.21%"
"04/18/2024","0.1410","0.1413","0.1416","0.1408","","-0.14%"
"04/17/2024","0.1412","0.1422","0.1425","0.1410","","-0.70%"
"04/16/2024","0.1422","0.1418","0.1424","0.1413","","0.35%"
"04/15/2024","0.1417","0.1419","0.1425","0.1410","","0.00%"
"04/12/2024","0.1417","0.1410","0.1421","0.1408","","0.64%"
"04/11/2024","0.1408","0.1416","0.1422","0.1409","","-0.35%"
"04/10/2024","0.1413","0.1412","0.1424","0.1407","","0.07%"
"04/09/2024","0.1412","0.1417","0.1421","0.1412","","-0.28%"
"04/08/2024","0.1416","0.1416","0.1423","0.1410","","0.14%"
"04/05/2024","0.1414","0.1413","0.1420","0.1409","","0.14%"
"04/04/2024","0.1412","0.1419","0.1423","0.1412","","-0.70%"
"04/03/2024","0.1422","0.1417","0.1424","0.1411","","0.49%"
"04/02/2024","0.1415","0.1407","0.1417","0.1403","","0.78%"
"04/01/2024","0.1404","0.1419","0.1425","0.1403","","-0.92%"
"03/29/2024","0.1417","0.1414","0.1421","0.1400","","0.35%"
"03/28/2024","0.1412","0.1419","0.1432","0.1412","","-0.42%"
"03/27/2024","0.1418","0.1424","0.1430","0.1418","","-0.35%"
"03/26/2024","0.1423","0.1427","0.1434","0.1418","","-0.14%"
"03/25/2024","0.1425","0.1426","0.1432","0.1420","","0.07%"
"03/22/2024","0.1424","0.1427","0.1433","0.1424","","-0.21%"
"03/21/2024","0.1427","0.1436","0.1440","0.1425","","-0.49%"
"03/20/2024","0.1434","0.1436","0.1441","0.1433","","-0.21%"
"03/19/2024","0.1437","0.1431","0.1440","0.1429","","0.49%"
"03/18/2024","0.1430","0.1435","0.1447","0.1430","","-0.42%"
"03/15/2024","0.1436","0.1440","0.1445","0.1433","","-0.14%"
"03/14/2024","0.1438","0.1443","0.1445","0.1437","","-0.28%"
"03/13/2024","0.1442","0.1438","0.1445","0.1435","","0.28%"
"03/12/2024","0.1438","0.1446","0.1450","0.1437","","-0.48%"
"03/11/2024","0.1445","0.1447","0.1453","0.1442","","-0.14%"
"03/08/2024","0.1447","0.1452","0.1455","0.1446","","-0.34%"
"03/07/2024","0.1452","0.1452","0.1453","0.1442","","0.14%"
"03/06/2024","0.1450","0.1454","0.1456","0.1447","","-0.21%"
"03/05/2024","0.1453","0.1452","0.1461","0.1450","","0.07%"
"03/04/2024","0.1452","0.1456","0.1460","0.1446","","-0.21%"
"03/01/2024","0.1455","0.1449","0.1459","0.1444","","0.55%"
"02/29/2024","0.1447","0.1453","0.1459","0.1446","","-0.41%"
"02/28/2024","0.1453","0.1451","0.1458","0.1449","","0.21%"
"02/27/2024","0.1450","0.1454","0.1458","0.1446","","-0.21%"
"02/26/2024","0.1453","0.1445","0.1455","0.1443","","0.55%"
"02/23/2024","0.1445","0.1453","0.1454","0.1443","","-0.62%"
"02/22/2024","0.1454","0.1456","0.1460","0.1450","","0.00%"
"02/21/2024","0.1454","0.1456","0.1459","0.1449","","-0.07%"
"02/20/2024","0.1455","0.1458","0.1460","0.1452","","-0.07%"
"02/19/2024","0.1456","0.1458","0.1462","0.1447","","0.14%"
"02/16/2024","0.1454","0.1456","0.1461","0.1452","","-0.07%"
"02/15/2024","0.1455","0.1455","0.1459","0.1449","","0.14%"
"02/14/2024","0.1453","0.1452","0.1460","0.1446","","0.14%"
