"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","0.3199","0.3207","0.3212","0.3186","","-0.27%"
"06/03/2025","0.3208","0.3212","0.3219","0.3198","","-0.22%"
"06/02/2025","0.3215","0.3219","0.3226","0.3203","","-0.21%"
"06/01/2025","0.3222","0.3228","0.3228","0.3220","","-0.07%"
"05/30/2025","0.3224","0.3197","0.3239","0.3191","","0.84%"
"05/29/2025","0.3197","0.3234","0.3246","0.3188","","-1.05%"
"05/28/2025","0.3231","0.3232","0.3248","0.3222","","-0.03%"
"05/27/2025","0.3232","0.3223","0.3237","0.3215","","0.28%"
"05/26/2025","0.3223","0.3221","0.3231","0.3210","","-0.03%"
"05/23/2025","0.3224","0.3233","0.3253","0.3214","","-0.22%"
"05/22/2025","0.3231","0.3228","0.3247","0.3223","","0.09%"
"05/21/2025","0.3228","0.3221","0.3231","0.3208","","0.19%"
"05/20/2025","0.3222","0.3244","0.3258","0.3213","","-0.65%"
"05/19/2025","0.3243","0.3232","0.3248","0.3224","","0.34%"
"05/16/2025","0.3232","0.3234","0.3253","0.3229","","0.00%"
"05/15/2025","0.3232","0.3271","0.3281","0.3227","","-1.19%"
"05/14/2025","0.3271","0.3285","0.3296","0.3256","","-0.43%"
"05/13/2025","0.3285","0.3271","0.3308","0.3268","","0.37%"
"05/12/2025","0.3273","0.3280","0.3297","0.3268","","-0.40%"
"05/09/2025","0.3286","0.3271","0.3303","0.3264","","0.46%"
"05/08/2025","0.3271","0.3295","0.3301","0.3249","","-0.70%"
"05/07/2025","0.3294","0.3286","0.3312","0.3278","","0.21%"
"05/06/2025","0.3287","0.3286","0.3295","0.3272","","0.03%"
"05/05/2025","0.3286","0.3305","0.3318","0.3277","","-0.60%"
"05/02/2025","0.3306","0.3322","0.3339","0.3300","","-0.48%"
"05/01/2025","0.3322","0.3335","0.3351","0.3314","","-0.42%"
"04/30/2025","0.3336","0.3309","0.3344","0.3302","","0.88%"
"04/29/2025","0.3307","0.3285","0.3316","0.3278","","0.70%"
"04/28/2025","0.3284","0.3321","0.3333","0.3276","","-1.26%"
"04/25/2025","0.3326","0.3332","0.3362","0.3318","","-0.15%"
"04/24/2025","0.3331","0.3302","0.3347","0.3279","","0.88%"
"04/23/2025","0.3302","0.3292","0.3309","0.3268","","0.30%"
"04/22/2025","0.3292","0.3311","0.3319","0.3280","","-0.45%"
"04/21/2025","0.3307","0.3318","0.3327","0.3291","","-0.21%"
"04/18/2025","0.3314","0.3317","0.3334","0.3309","","0.09%"
"04/17/2025","0.3311","0.3327","0.3338","0.3307","","-0.24%"
