"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2025","4,169.13","4,176.50","4,177.04","4,166.96","","-1.07%"
"05/18/2025","4,214.36","4,214.36","4,214.36","4,206.09","","0.76%"
"05/16/2025","4,182.50","4,204.00","4,216.56","4,172.80","","-0.46%"
"05/15/2025","4,202.00","4,181.48","4,218.50","4,160.63","","0.33%"
"05/14/2025","4,188.00","4,216.50","4,218.71","4,175.91","","-0.73%"
"05/13/2025","4,219.00","4,223.00","4,234.65","4,186.75","","-0.15%"
"05/12/2025","4,225.50","4,224.66","4,243.80","4,198.98","","0.04%"
"05/09/2025","4,224.00","4,252.50","4,265.65","4,222.73","","-0.77%"
"05/08/2025","4,256.95","4,287.80","4,287.80","4,246.71","","-0.67%"
"05/07/2025","4,285.50","4,302.00","4,320.75","4,285.25","","-0.36%"
"05/06/2025","4,301.00","4,296.50","4,324.58","4,294.21","","0.04%"
"05/05/2025","4,299.10","4,250.31","4,304.82","4,240.70","","1.04%"
"05/02/2025","4,255.00","4,259.50","4,275.91","4,221.60","","-0.24%"
"05/01/2025","4,265.20","4,265.20","4,265.20","4,265.20","","0.57%"
"04/30/2025","4,240.89","4,194.00","4,265.00","4,187.25","","1.29%"
"04/29/2025","4,187.00","4,215.06","4,228.53","4,184.40","","-0.68%"
"04/28/2025","4,215.54","4,217.56","4,252.50","4,213.05","","-0.10%"
"04/25/2025","4,219.90","4,257.00","4,268.40","4,216.02","","-0.87%"
"04/24/2025","4,257.00","4,306.06","4,306.06","4,255.39","","-1.23%"
"04/23/2025","4,310.00","4,294.00","4,322.80","4,262.14","","0.37%"
"04/22/2025","4,294.00","4,277.00","4,301.12","4,263.04","","0.21%"
"04/21/2025","4,285.00","4,282.50","4,301.80","4,261.50","","-0.57%"
"04/18/2025","4,309.50","4,310.00","4,310.22","4,307.84","","-0.01%"
"04/17/2025","4,310.00","4,312.12","4,312.31","4,310.00","","0.07%"
"04/16/2025","4,307.00","4,350.00","4,358.50","4,277.50","","-1.01%"
"04/15/2025","4,351.00","4,289.00","4,358.00","4,274.66","","1.43%"
"04/14/2025","4,289.50","4,260.02","4,329.90","4,246.30","","0.25%"
