"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","0.7380","0.7398","0.7407","0.7363","","-0.25%"
"06/03/2025","0.7398","0.7387","0.7412","0.7373","","0.20%"
"06/02/2025","0.7383","0.7431","0.7434","0.7374","","-0.56%"
"06/01/2025","0.7425","0.7426","0.7432","0.7422","","-0.06%"
"05/30/2025","0.7429","0.7413","0.7437","0.7401","","0.22%"
"05/29/2025","0.7413","0.7422","0.7456","0.7403","","-0.16%"
"05/28/2025","0.7425","0.7402","0.7435","0.7394","","0.28%"
"05/27/2025","0.7404","0.7372","0.7408","0.7359","","0.42%"
"05/26/2025","0.7373","0.7398","0.7401","0.7356","","-0.19%"
"05/23/2025","0.7387","0.7452","0.7457","0.7384","","-0.87%"
"05/22/2025","0.7452","0.7452","0.7468","0.7439","","0.00%"
"05/21/2025","0.7452","0.7466","0.7474","0.7424","","-0.19%"
"05/20/2025","0.7466","0.7484","0.7500","0.7465","","-0.24%"
"05/19/2025","0.7484","0.7537","0.7539","0.7460","","-0.65%"
"05/16/2025","0.7533","0.7518","0.7548","0.7499","","0.20%"
"05/15/2025","0.7518","0.7540","0.7543","0.7507","","-0.29%"
"05/14/2025","0.7540","0.7514","0.7546","0.7484","","0.33%"
"05/13/2025","0.7515","0.7590","0.7594","0.7509","","-0.99%"
"05/12/2025","0.7590","0.7530","0.7611","0.7518","","0.98%"
"05/09/2025","0.7516","0.7549","0.7569","0.7505","","-0.44%"
"05/08/2025","0.7549","0.7521","0.7556","0.7486","","0.33%"
"05/07/2025","0.7524","0.7480","0.7531","0.7471","","0.59%"
"05/06/2025","0.7480","0.7522","0.7542","0.7460","","-0.56%"
"05/05/2025","0.7522","0.7534","0.7543","0.7497","","-0.16%"
"05/02/2025","0.7534","0.7529","0.7540","0.7501","","0.07%"
"05/01/2025","0.7529","0.7502","0.7542","0.7492","","0.36%"
"04/30/2025","0.7502","0.7459","0.7514","0.7454","","0.58%"
"04/29/2025","0.7459","0.7444","0.7474","0.7437","","0.26%"
"04/28/2025","0.7440","0.7523","0.7531","0.7437","","-0.93%"
"04/25/2025","0.7510","0.7495","0.7534","0.7493","","0.20%"
"04/24/2025","0.7495","0.7543","0.7546","0.7490","","-0.66%"
"04/23/2025","0.7545","0.7499","0.7557","0.7496","","0.59%"
"04/22/2025","0.7501","0.7476","0.7504","0.7449","","0.35%"
"04/21/2025","0.7475","0.7532","0.7534","0.7449","","-0.59%"
"04/18/2025","0.7519","0.7538","0.7546","0.7518","","-0.24%"
"04/17/2025","0.7538","0.7549","0.7575","0.7533","","-0.18%"
"04/16/2025","0.7551","0.7559","0.7569","0.7522","","-0.09%"
"04/15/2025","0.7558","0.7582","0.7597","0.7545","","-0.30%"
"04/14/2025","0.7581","0.7644","0.7656","0.7574","","-0.82%"
"04/11/2025","0.7644","0.7710","0.7714","0.7607","","-0.85%"
"04/10/2025","0.7709","0.7797","0.7807","0.7694","","-1.19%"
"04/09/2025","0.7802","0.7833","0.7848","0.7773","","-0.39%"
"04/08/2025","0.7833","0.7862","0.7862","0.7803","","-0.36%"
"04/07/2025","0.7861","0.7781","0.7870","0.7731","","1.35%"
"04/04/2025","0.7756","0.7633","0.7781","0.7625","","1.64%"
"04/03/2025","0.7631","0.7688","0.7709","0.7571","","-0.74%"
"04/02/2025","0.7688","0.7740","0.7752","0.7677","","-0.65%"
"04/01/2025","0.7738","0.7741","0.7765","0.7726","","-0.03%"
"03/31/2025","0.7741","0.7736","0.7761","0.7708","","0.21%"
"03/28/2025","0.7724","0.7723","0.7739","0.7710","","0.05%"
"03/27/2025","0.7720","0.7759","0.7770","0.7696","","-0.47%"
"03/26/2025","0.7757","0.7726","0.7768","0.7721","","0.41%"
"03/25/2025","0.7725","0.7738","0.7752","0.7711","","-0.14%"
"03/24/2025","0.7736","0.7747","0.7760","0.7707","","-0.07%"
"03/21/2025","0.7741","0.7712","0.7760","0.7708","","0.41%"
"03/20/2025","0.7710","0.7696","0.7731","0.7683","","0.28%"
"03/19/2025","0.7688","0.7692","0.7720","0.7685","","-0.04%"
"03/18/2025","0.7691","0.7697","0.7722","0.7686","","-0.08%"
"03/17/2025","0.7697","0.7732","0.7738","0.7692","","-0.44%"
"03/14/2025","0.7731","0.7722","0.7746","0.7715","","0.14%"
"03/13/2025","0.7720","0.7714","0.7741","0.7707","","0.11%"
"03/12/2025","0.7712","0.7722","0.7744","0.7699","","-0.09%"
"03/11/2025","0.7719","0.7765","0.7769","0.7712","","-0.57%"
"03/10/2025","0.7763","0.7748","0.7776","0.7723","","0.33%"
"03/07/2025","0.7738","0.7762","0.7767","0.7724","","-0.30%"
"03/06/2025","0.7762","0.7755","0.7773","0.7737","","0.09%"
"03/05/2025","0.7754","0.7816","0.7833","0.7751","","-0.78%"
"03/04/2025","0.7816","0.7875","0.7888","0.7812","","-0.73%"
"03/03/2025","0.7873","0.7945","0.7951","0.7858","","-0.95%"
"02/28/2025","0.7949","0.7937","0.7963","0.7922","","0.17%"
"02/27/2025","0.7935","0.7889","0.7939","0.7880","","0.58%"
"02/26/2025","0.7890","0.7896","0.7915","0.7863","","-0.05%"
"02/25/2025","0.7893","0.7921","0.7933","0.7887","","-0.34%"
"02/24/2025","0.7920","0.7906","0.7930","0.7879","","0.06%"
"02/21/2025","0.7916","0.7894","0.7921","0.7886","","0.31%"
"02/20/2025","0.7891","0.7945","0.7951","0.7891","","-0.67%"
"02/19/2025","0.7945","0.7929","0.7961","0.7910","","0.21%"
"02/18/2025","0.7928","0.7921","0.7948","0.7919","","0.10%"
"02/17/2025","0.7920","0.7945","0.7951","0.7914","","-0.30%"
"02/14/2025","0.7944","0.7958","0.7969","0.7917","","-0.14%"
"02/13/2025","0.7955","0.8032","0.8041","0.7955","","-0.99%"
"02/12/2025","0.8035","0.8035","0.8080","0.8010","","0.03%"
"02/11/2025","0.8033","0.8084","0.8110","0.8028","","-0.61%"
"02/10/2025","0.8082","0.8065","0.8089","0.8049","","0.32%"
"02/07/2025","0.8057","0.8041","0.8081","0.8007","","0.20%"
"02/06/2025","0.8041","0.7996","0.8091","0.7993","","0.56%"
"02/05/2025","0.7996","0.8013","0.8024","0.7967","","-0.22%"
"02/04/2025","0.8013","0.8032","0.8079","0.8003","","-0.23%"
"02/03/2025","0.8031","0.8069","0.8165","0.8028","","-0.44%"
"01/31/2025","0.8067","0.8052","0.8075","0.8017","","0.22%"
"01/30/2025","0.8050","0.8034","0.8061","0.8014","","0.27%"
"01/29/2025","0.8028","0.8040","0.8070","0.8022","","-0.10%"
"01/28/2025","0.8037","0.8002","0.8056","0.7999","","0.44%"
"01/27/2025","0.8001","0.8014","0.8048","0.7984","","-0.10%"
"01/24/2025","0.8010","0.8094","0.8099","0.7998","","-1.06%"
"01/23/2025","0.8095","0.8117","0.8135","0.8080","","-0.28%"
"01/22/2025","0.8118","0.8094","0.8126","0.8079","","0.31%"
"01/21/2025","0.8093","0.8117","0.8178","0.8090","","-0.23%"
"01/20/2025","0.8112","0.8214","0.8224","0.8100","","-1.27%"
"01/17/2025","0.8216","0.8169","0.8224","0.8166","","0.59%"
"01/16/2025","0.8168","0.8167","0.8215","0.8155","","0.04%"
"01/15/2025","0.8165","0.8187","0.8216","0.8125","","-0.25%"
"01/14/2025","0.8185","0.8195","0.8238","0.8162","","-0.11%"
"01/13/2025","0.8194","0.8200","0.8265","0.8189","","0.07%"
"01/10/2025","0.8188","0.8124","0.8203","0.8115","","0.79%"
"01/09/2025","0.8123","0.8090","0.8172","0.8084","","0.43%"
"01/08/2025","0.8089","0.8015","0.8117","0.8003","","0.95%"
"01/07/2025","0.8012","0.7987","0.8016","0.7951","","0.34%"
"01/06/2025","0.7985","0.8050","0.8055","0.7967","","-0.81%"
"01/03/2025","0.8050","0.8077","0.8082","0.8041","","-0.34%"
"01/02/2025","0.8077","0.7990","0.8096","0.7973","","1.11%"
"01/01/2025","0.7988","0.7988","0.7993","0.7978","","-0.02%"
"12/31/2024","0.7990","0.7967","0.7997","0.7955","","0.30%"
"12/30/2024","0.7966","0.7955","0.7997","0.7931","","0.22%"
"12/27/2024","0.7948","0.7983","0.7998","0.7940","","-0.43%"
"12/26/2024","0.7982","0.7967","0.8000","0.7966","","0.24%"
"12/25/2024","0.7963","0.7972","0.7983","0.7961","","-0.06%"
"12/24/2024","0.7967","0.7977","0.7989","0.7951","","-0.10%"
"12/23/2024","0.7976","0.7957","0.7994","0.7943","","0.27%"
"12/20/2024","0.7954","0.7998","0.8017","0.7927","","-0.52%"
"12/19/2024","0.7996","0.7951","0.8004","0.7894","","0.54%"
"12/18/2024","0.7953","0.7865","0.7961","0.7859","","1.09%"
"12/17/2024","0.7867","0.7884","0.7896","0.7855","","-0.23%"
"12/16/2024","0.7885","0.7928","0.7929","0.7874","","-0.48%"
"12/13/2024","0.7923","0.7889","0.7932","0.7884","","0.45%"
"12/12/2024","0.7888","0.7842","0.7896","0.7819","","0.58%"
"12/11/2024","0.7843","0.7830","0.7867","0.7823","","0.16%"
"12/10/2024","0.7830","0.7843","0.7860","0.7825","","-0.16%"
"12/09/2024","0.7843","0.7852","0.7864","0.7813","","-0.05%"
"12/06/2024","0.7846","0.7837","0.7862","0.7805","","0.12%"
"12/05/2024","0.7837","0.7872","0.7879","0.7830","","-0.42%"
"12/04/2024","0.7870","0.7890","0.7919","0.7860","","-0.24%"
"12/03/2024","0.7889","0.7901","0.7915","0.7873","","-0.15%"
"12/02/2024","0.7901","0.7845","0.7926","0.7845","","0.66%"
"11/29/2024","0.7849","0.7884","0.7892","0.7843","","-0.39%"
"11/28/2024","0.7880","0.7887","0.7909","0.7878","","-0.06%"
"11/27/2024","0.7885","0.7955","0.7959","0.7877","","-0.88%"
"11/26/2024","0.7955","0.7955","0.7996","0.7925","","0.02%"
"11/25/2024","0.7954","0.7974","0.7975","0.7927","","-0.31%"
"11/22/2024","0.7978","0.7942","0.8009","0.7939","","0.45%"
"11/21/2024","0.7942","0.7905","0.7953","0.7898","","0.49%"
"11/20/2024","0.7903","0.7888","0.7918","0.7864","","0.23%"
"11/19/2024","0.7885","0.7889","0.7929","0.7879","","0.00%"
"11/18/2024","0.7885","0.7928","0.7931","0.7882","","-0.47%"
"11/15/2024","0.7922","0.7895","0.7939","0.7875","","0.34%"
"11/14/2024","0.7895","0.7870","0.7918","0.7861","","0.36%"
"11/13/2024","0.7867","0.7845","0.7884","0.7831","","0.29%"
"11/12/2024","0.7844","0.7770","0.7863","0.7767","","0.95%"
"11/11/2024","0.7770","0.7742","0.7779","0.7735","","0.43%"
"11/08/2024","0.7737","0.7698","0.7763","0.7697","","0.48%"
"11/07/2024","0.7700","0.7763","0.7768","0.7686","","-0.82%"
"11/06/2024","0.7764","0.7668","0.7792","0.7664","","1.27%"
"11/05/2024","0.7667","0.7718","0.7724","0.7667","","-0.65%"
"11/04/2024","0.7717","0.7709","0.7732","0.7692","","-0.23%"
"11/01/2024","0.7735","0.7753","0.7762","0.7703","","-0.22%"
"10/31/2024","0.7752","0.7715","0.7787","0.7692","","0.49%"
"10/30/2024","0.7714","0.7683","0.7731","0.7666","","0.40%"
"10/29/2024","0.7683","0.7709","0.7718","0.7682","","-0.32%"
"10/28/2024","0.7708","0.7714","0.7729","0.7691","","-0.06%"
"10/25/2024","0.7713","0.7707","0.7719","0.7692","","0.08%"
"10/24/2024","0.7707","0.7740","0.7748","0.7699","","-0.41%"
"10/23/2024","0.7739","0.7702","0.7749","0.7695","","0.48%"
"10/22/2024","0.7702","0.7702","0.7726","0.7683","","0.01%"
"10/21/2024","0.7701","0.7668","0.7707","0.7657","","0.54%"
"10/18/2024","0.7660","0.7686","0.7690","0.7650","","-0.33%"
"10/17/2024","0.7685","0.7698","0.7709","0.7677","","-0.17%"
"10/16/2024","0.7698","0.7649","0.7707","0.7646","","0.64%"
"10/15/2024","0.7649","0.7658","0.7672","0.7631","","-0.10%"
"10/14/2024","0.7657","0.7655","0.7675","0.7650","","0.07%"
"10/11/2024","0.7652","0.7658","0.7669","0.7643","","-0.07%"
"10/10/2024","0.7657","0.7651","0.7680","0.7636","","0.08%"
"10/09/2024","0.7651","0.7631","0.7661","0.7629","","0.26%"
"10/08/2024","0.7631","0.7643","0.7655","0.7625","","-0.14%"
"10/07/2024","0.7642","0.7630","0.7658","0.7613","","0.29%"
"10/04/2024","0.7620","0.7620","0.7652","0.7590","","0.01%"
"10/03/2024","0.7619","0.7537","0.7639","0.7532","","1.10%"
"10/02/2024","0.7536","0.7527","0.7550","0.7515","","0.12%"
"10/01/2024","0.7527","0.7477","0.7555","0.7468","","0.71%"
"09/30/2024","0.7474","0.7481","0.7491","0.7449","","-0.03%"
"09/27/2024","0.7476","0.7454","0.7486","0.7447","","0.30%"
"09/26/2024","0.7454","0.7506","0.7513","0.7443","","-0.68%"
"09/25/2024","0.7505","0.7456","0.7513","0.7446","","0.67%"
"09/24/2024","0.7455","0.7493","0.7502","0.7453","","-0.49%"
"09/23/2024","0.7492","0.7508","0.7549","0.7485","","-0.19%"
"09/20/2024","0.7506","0.7528","0.7538","0.7495","","-0.29%"
"09/19/2024","0.7528","0.7568","0.7604","0.7510","","-0.53%"
"09/18/2024","0.7568","0.7599","0.7602","0.7519","","-0.39%"
"09/17/2024","0.7598","0.7567","0.7608","0.7558","","0.42%"
"09/16/2024","0.7566","0.7620","0.7622","0.7564","","-0.70%"
"09/13/2024","0.7619","0.7619","0.7626","0.7600","","0.00%"
"09/12/2024","0.7619","0.7666","0.7674","0.7617","","-0.61%"
"09/11/2024","0.7666","0.7645","0.7692","0.7626","","0.27%"
"09/10/2024","0.7645","0.7649","0.7664","0.7629","","-0.04%"
"09/09/2024","0.7648","0.7623","0.7653","0.7608","","0.41%"
"09/06/2024","0.7617","0.7589","0.7629","0.7553","","0.40%"
"09/05/2024","0.7587","0.7607","0.7613","0.7583","","-0.24%"
"09/04/2024","0.7605","0.7626","0.7634","0.7589","","-0.25%"
"09/03/2024","0.7624","0.7604","0.7642","0.7604","","0.28%"
"09/02/2024","0.7603","0.7621","0.7623","0.7601","","-0.14%"
"08/30/2024","0.7614","0.7595","0.7629","0.7575","","0.26%"
"08/29/2024","0.7594","0.7581","0.7608","0.7559","","0.18%"
"08/28/2024","0.7580","0.7542","0.7595","0.7539","","0.53%"
"08/27/2024","0.7540","0.7582","0.7588","0.7537","","-0.54%"
"08/26/2024","0.7581","0.7568","0.7588","0.7561","","0.19%"
"08/23/2024","0.7567","0.7640","0.7643","0.7558","","-0.92%"
"08/22/2024","0.7637","0.7638","0.7648","0.7615","","0.00%"
"08/21/2024","0.7637","0.7673","0.7687","0.7622","","-0.43%"
"08/20/2024","0.7670","0.7697","0.7709","0.7661","","-0.34%"
"08/19/2024","0.7696","0.7731","0.7733","0.7693","","-0.36%"
"08/16/2024","0.7724","0.7780","0.7782","0.7724","","-0.71%"
"08/15/2024","0.7779","0.7796","0.7814","0.7768","","-0.21%"
"08/14/2024","0.7795","0.7774","0.7801","0.7770","","0.27%"
"08/13/2024","0.7774","0.7834","0.7837","0.7767","","-0.75%"
"08/12/2024","0.7833","0.7839","0.7846","0.7815","","0.00%"
