"Date","Price","Open","High","Low","Change %"
"May 14, 2025","1.272","1.272","1.272","1.272","0.66%"
"May 13, 2025","1.263","1.263","1.263","1.263","1.07%"
"May 12, 2025","1.250","1.250","1.250","1.250","5.01%"
"May 09, 2025","1.190","1.190","1.194","1.190","-0.31%"
"May 08, 2025","1.194","1.194","1.194","1.194","2.14%"
"May 07, 2025","1.169","1.169","1.169","1.169","0.41%"
"May 06, 2025","1.164","1.164","1.164","1.164","-1.36%"
"May 05, 2025","1.180","1.180","1.180","1.180","-0.52%"
"May 02, 2025","1.187","1.187","1.187","1.187","3.66%"
"Apr 30, 2025","1.145","1.145","1.145","1.145","0.17%"
"Apr 29, 2025","1.143","1.143","1.143","1.143","1.14%"
"Apr 28, 2025","1.130","1.130","1.130","1.130","-0.44%"
"Apr 25, 2025","1.135","1.135","1.135","1.121","1.28%"
"Apr 24, 2025","1.121","1.121","1.121","1.121","1.18%"
"Apr 23, 2025","1.107","1.107","1.107","1.107","3.65%"
"Apr 22, 2025","1.069","1.069","1.073","1.069","-0.45%"
"Apr 17, 2025","1.073","1.073","1.073","1.073","-0.84%"
"Apr 16, 2025","1.082","1.082","1.082","1.082","-3.09%"
"Apr 15, 2025","1.117","1.117","1.117","1.117","0.87%"
"Apr 14, 2025","1.107","1.107","1.107","1.107","1.98%"
"Apr 11, 2025","1.086","1.086","1.097","1.086","-1.01%"
"Apr 10, 2025","1.097","1.097","1.097","1.097","0.26%"
"Apr 09, 2025","1.094","1.094","1.094","1.094","1.96%"
"Apr 08, 2025","1.073","1.073","1.073","1.073","1.38%"
"Apr 07, 2025","1.059","1.059","1.059","1.059","-1.47%"
"Apr 04, 2025","1.074","1.074","1.074","1.074","-4.64%"
"Apr 03, 2025","1.127","1.127","1.127","1.127","-6.24%"
"Apr 02, 2025","1.202","1.202","1.202","1.202","0.16%"
"Apr 01, 2025","1.200","1.200","1.200","1.200","1.71%"
"Mar 31, 2025","1.180","1.180","1.180","1.180","-0.98%"
"Mar 28, 2025","1.191","1.191","1.228","1.191","-3.02%"
"Mar 27, 2025","1.228","1.228","1.228","1.228","-0.98%"
"Mar 26, 2025","1.240","1.240","1.240","1.240","-1.03%"
"Mar 25, 2025","1.253","1.253","1.253","1.253","0.65%"
"Mar 24, 2025","1.245","1.245","1.245","1.245","2.52%"
"Mar 21, 2025","1.215","1.215","1.215","1.212","0.23%"
"Mar 20, 2025","1.212","1.212","1.212","1.212","0.39%"
"Mar 19, 2025","1.207","1.207","1.207","1.207","1.35%"
"Mar 18, 2025","1.191","1.191","1.191","1.191","-1.24%"
"Mar 17, 2025","1.206","1.206","1.206","1.206","0.00%"
"Mar 14, 2025","1.206","1.206","1.206","1.206","1.69%"
"Mar 13, 2025","1.186","1.186","1.186","1.186","-1.52%"
"Mar 12, 2025","1.204","1.204","1.204","1.204","1.63%"
"Mar 11, 2025","1.185","1.185","1.185","1.185","-1.77%"
"Mar 10, 2025","1.207","1.207","1.207","1.207","-2.13%"
"Mar 07, 2025","1.233","1.233","1.233","1.233","-1.76%"
"Mar 06, 2025","1.255","1.255","1.255","1.255","-0.77%"
"Mar 05, 2025","1.265","1.265","1.265","1.265","-0.56%"
"Mar 04, 2025","1.272","1.272","1.272","1.272","-3.42%"
"Mar 03, 2025","1.317","1.317","1.317","1.317","-1.15%"
"Feb 28, 2025","1.332","1.332","1.332","1.332","-0.71%"
"Feb 27, 2025","1.342","1.342","1.342","1.342","-0.79%"
"Feb 26, 2025","1.352","1.352","1.352","1.352","1.32%"
"Feb 25, 2025","1.335","1.335","1.335","1.335","-2.50%"
"Feb 24, 2025","1.369","1.369","1.369","1.369","-1.65%"
"Feb 21, 2025","1.392","1.392","1.392","1.392","-0.52%"
"Feb 20, 2025","1.399","1.399","1.399","1.399","-1.35%"
"Feb 19, 2025","1.418","1.418","1.418","1.418","0.31%"
"Feb 18, 2025","1.414","1.414","1.414","1.414","0.32%"
"Feb 17, 2025","1.409","1.409","1.409","1.409","0.39%"
"Feb 14, 2025","1.404","1.404","1.404","1.404","0.21%"
"Feb 13, 2025","1.401","1.401","1.401","1.401","0.89%"
"Feb 12, 2025","1.389","1.389","1.389","1.389","-0.68%"
"Feb 11, 2025","1.398","1.398","1.398","1.398","-0.73%"
"Feb 10, 2025","1.408","1.408","1.408","1.408","1.13%"
"Feb 07, 2025","1.393","1.393","1.393","1.393","-0.30%"
"Feb 06, 2025","1.397","1.397","1.397","1.397","0.91%"
"Feb 05, 2025","1.384","1.384","1.384","1.384","-0.15%"
"Feb 04, 2025","1.386","1.386","1.386","1.386","0.99%"
"Feb 03, 2025","1.373","1.373","1.373","1.373","-1.56%"
"Jan 31, 2025","1.395","1.395","1.395","1.395","1.14%"
"Jan 30, 2025","1.379","1.379","1.379","1.379","0.67%"
"Jan 29, 2025","1.370","1.370","1.370","1.370","0.25%"
"Jan 28, 2025","1.366","1.366","1.366","1.366","1.65%"
"Jan 27, 2025","1.344","1.344","1.344","1.344","-3.26%"
"Jan 24, 2025","1.389","1.389","1.389","1.389","-0.72%"
"Jan 23, 2025","1.399","1.399","1.399","1.399","-0.25%"
"Jan 22, 2025","1.403","1.403","1.403","1.403","1.78%"
"Jan 21, 2025","1.378","1.378","1.378","1.378","0.00%"
"Jan 20, 2025","1.378","1.378","1.378","1.378","-1.01%"
"Jan 17, 2025","1.392","1.392","1.392","1.392","1.34%"
"Jan 16, 2025","1.374","1.374","1.374","1.374","-0.05%"
"Jan 15, 2025","1.375","1.375","1.375","1.375","2.09%"
"Jan 14, 2025","1.346","1.346","1.346","1.346","-0.16%"
"Jan 13, 2025","1.349","1.349","1.349","1.349","-0.59%"
