MetricaKey;ModeloKey;MercadoKey;FechaEvaluacion;Periodo;RMSE;MAE;R2;SMAPE;Amplitud_Score;Fase_Score;Ultra_Metric;Hit_Direction;Hyperparametros;NumeroObservaciones;DuracionVentana;FechaInicioPeriodo;FechaFinPeriodo
1;1;1;2025-06-06;Back-test;0,05351;0,043262;-0,304652;142,3512;0,565091;0,060248;1,182912;60,15;"{""learning_rate"": 0.009497732155123655, ""depth"": 7, ""iterations"": 2630}";538;754;2022-03-31;2024-04-22
2;1;1;2025-06-06;Forecast;0,007948;0,007119;0,947475;9,8391;0,854485;0,900777;0,159559;78,95;"{""learning_rate"": 0.009497732155123655, ""depth"": 7, ""iterations"": 2630}";20;26;2025-05-05;2025-05-30
3;1;1;2025-06-06;Hold-out;0,039017;0,030847;0,190089;136,0667;0,583765;0,133081;0,984863;66,42;"{""learning_rate"": 0.009497732155123655, ""depth"": 7, ""iterations"": 2630}";269;375;2024-04-23;2025-05-02
4;1;1;2025-06-06;Training;0,006913;0,005289;0,974375;36,9436;0,938334;0,122006;0,205418;76,69;"{""learning_rate"": 0.009497732155123655, ""depth"": 7, ""iterations"": 2630}";1880;2632;2015-01-15;2022-03-30
5;2;1;2025-06-06;Back-test;0,050871;0,039447;-0,17914;115,8543;0,886003;0,053349;1,072907;54,0;"{""units"": 88, ""learning_rate"": 0.007515074361685593, ""dropout_rate"": 0.36576818271588, ""sequence_length"": 8}";538;754;2022-03-31;2024-04-22
6;2;1;2025-06-06;Forecast;0,091296;0,084453;-5,9302;200,0;0,0;0,722368;2,016263;52,63;"{""units"": 88, ""learning_rate"": 0.007515074361685593, ""dropout_rate"": 0.36576818271588, ""sequence_length"": 8}";20;26;2025-05-05;2025-05-30
7;2;1;2025-06-06;Hold-out;0,04868;0,039135;-0,260795;132,9063;0,909339;0,28086;1,160596;50,37;"{""units"": 88, ""learning_rate"": 0.007515074361685593, ""dropout_rate"": 0.36576818271588, ""sequence_length"": 8}";269;375;2024-04-23;2025-05-02
8;2;1;2025-06-06;Training;0,034192;0,022965;0,373095;108,2365;0,468752;0,046722;0,835951;51,52;"{""units"": 88, ""learning_rate"": 0.007515074361685593, ""dropout_rate"": 0.36576818271588, ""sequence_length"": 8}";1880;2632;2015-01-15;2022-03-30
9;3;1;2025-06-06;Back-test;0,078239;0,062023;-1,789132;146,3539;0,750388;0,063046;1,596697;61,45;"{""learning_rate"": 0.0967573304559582, ""max_depth"": 10, ""n_estimators"": 1930, ""subsample"": 0.9854063608078172}";538;754;2022-03-31;2024-04-22
10;3;1;2025-06-06;Forecast;1,4e-05;1,3e-05;1,0;0,0168;0,999984;0,999798;0,000286;100,0;"{""learning_rate"": 0.0967573304559582, ""max_depth"": 10, ""n_estimators"": 1930, ""subsample"": 0.9854063608078172}";20;26;2025-05-05;2025-05-30
11;3;1;2025-06-06;Hold-out;0,042709;0,033316;0,029536;137,1753;0,527072;0,092593;1,050702;60,45;"{""learning_rate"": 0.0967573304559582, ""max_depth"": 10, ""n_estimators"": 1930, ""subsample"": 0.9854063608078172}";269;375;2024-04-23;2025-05-02
