"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"27.03.2025","37.799,97","37.750,66","37.859,06","37.556,75","","-0,60%"
"26.03.2025","38.027,29","38.106,66","38.220,69","37.873,28","","0,65%"
"25.03.2025","37.780,54","37.953,15","38.115,65","37.686,26","","0,46%"
"24.03.2025","37.608,49","37.841,68","37.841,68","37.608,49","","-0,18%"
"21.03.2025","37.677,06","37.619,37","37.968,02","37.619,37","","-0,20%"
"19.03.2025","37.751,88","37.839,39","38.128,58","37.751,88","","-0,25%"
"18.03.2025","37.845,42","37.868,57","38.004,20","37.822,87","","1,20%"
"17.03.2025","37.396,52","37.453,83","37.563,27","37.377,55","","0,93%"
"14.03.2025","37.053,10","36.606,78","37.154,39","36.594,04","","0,72%"
"13.03.2025","36.790,03","37.081,64","37.326,27","36.776,94","","-0,08%"
"12.03.2025","36.819,09","36.763,10","36.956,33","36.658,86","","0,07%"
"11.03.2025","36.793,11","36.584,37","36.793,11","35.987,13","","-0,64%"
"10.03.2025","37.028,27","36.972,59","37.113,48","36.705,02","","0,38%"
"07.03.2025","36.887,17","37.198,30","37.221,65","36.813,62","","-2,17%"
"06.03.2025","37.704,93","37.654,95","37.874,38","37.580,88","","0,77%"
"05.03.2025","37.418,24","37.345,74","37.606,34","37.178,72","","0,23%"
"04.03.2025","37.331,18","37.532,01","37.587,49","36.816,16","","-1,20%"
"03.03.2025","37.785,47","37.617,50","37.827,62","37.372,26","","1,70%"
"28.02.2025","37.155,50","37.853,48","37.925,28","36.840,12","","-2,88%"
"27.02.2025","38.256,17","38.251,11","38.369,96","38.061,94","","0,30%"
"26.02.2025","38.142,37","38.143,68","38.175,24","37.742,76","","-0,25%"
"25.02.2025","38.237,79","38.359,67","38.485,95","38.131,79","","-1,39%"
"21.02.2025","38.776,94","38.523,07","38.808,81","38.456,53","","0,26%"
"20.02.2025","38.678,04","38.942,91","38.967,01","38.468,72","","-1,24%"
"19.02.2025","39.164,61","39.230,62","39.298,05","38.994,70","","-0,27%"
"18.02.2025","39.270,40","39.187,99","39.508,55","39.151,71","","0,25%"
