Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.654870379646519,0.569058509898978,0.684324495046803,-1.10267015901601,-0.985246671311771,-1.40421519466792
01/15/1971,0.691256069764337,0.588447312893496,0.718235276050765,-1.10505454633412,-1.0035964501661,-1.42151169070325
01/22/1971,0.734827126186321,0.629182965734259,0.75967343855147,-1.1085823996,-1.02052616586112,-1.43701956181308
01/29/1971,0.782725652363071,0.690787770661151,0.805873740844732,-1.11364673722496,-1.03539717583841,-1.45034275693302
02/05/1971,0.832091960741808,0.769006015277446,0.85420118616951,-1.12070184832148,-1.04772702386116,-1.46116175937079
02/12/1971,0.879066453555506,0.85320475606847,0.901016075016913,-1.13027167978512,-1.05693566546516,-1.46925042928622
02/19/1971,0.921142967279079,0.931914874661712,0.944138590802945,-1.142917337729,-1.06257963656757,-1.47446655535357
02/26/1971,0.958391030394689,0.99712194901302,0.983748284666013,-1.15920127914415,-1.0639915512207,-1.47673777945133
03/05/1971,0.99330484644773,1.04516638661052,1.02265346243313,-1.17966976561057,-1.06085818848053,-1.47606115013832
03/12/1971,1.029152526823,1.07714850644252,1.06421763848438,-1.20486757533883,-1.05264133398412,-1.47250187001943
03/19/1971,1.07002679895291,1.10050889290806,1.11274485586279,-1.23527417571553,-1.03917009083181,-1.46620237359502
03/26/1971,1.1210157978113,1.12991373140754,1.17325322675773,-1.27118132279142,-1.02032163790498,-1.45738915196241
04/02/1971,1.18478387966618,1.18011688404147,1.24834608272038,-1.31261302459854,-0.996287495201887,-1.44635421710021
04/09/1971,1.26221741492552,1.26540237082145,1.33840481194697,-1.35931834093483,-0.967224682006183,-1.4334112034153
04/16/1971,1.34984998016789,1.39114736092605,1.43956613760999,-1.410520801964,-0.933708208172154,-1.4189260185446
04/23/1971,1.44028575554794,1.55225565771037,1.54379256469951,-1.46505890644558,-0.896268810089758,-1.40321670490475
04/30/1971,1.52333593914593,1.7321643917546,1.640256264714,-1.52144726436725,-0.855515830067466,-1.38656479275553
05/07/1971,1.58673730659438,1.90386782045692,1.71634171043985,-1.57810267123414,-0.812193437140766,-1.36921611545348
05/14/1971,1.61664522001033,2.03065673958281,1.75801716176584,-1.63342969686746,-0.766973726277092,-1.35137666956822
05/21/1971,1.60465821202642,2.08024774508032,1.75688569128433,-1.68597284152944,-0.720553933883216,-1.33321787396148
05/28/1971,1.54881554861757,2.03275833219109,1.71091998296164,-1.73438824285012,-0.673446502461097,-1.31488488818471
06/04/1971,1.45341536129654,1.8775914795535,1.62450070304738,-1.77753100539701,-0.62619720570852,-1.29649795366774
06/11/1971,1.32765967812177,1.61847215235775,1.50673642356512,-1.81436103467602,-0.57914698720937,-1.27815482055129
06/18/1971,1.19129297422831,1.28797326288316,1.37698522190497,-1.84384153622794,-0.532675416333279,-1.25993907254292
06/25/1971,1.06574343848495,0.932804822984705,1.25623715424055,-1.86509645460356,-0.487137933173392,-1.24192540885345
07/02/1971,0.97345954020147,0.611961840278121,1.16660192465515,-1.87751687557207,-0.442980122018407,-1.22418875213549
07/09/1971,0.936198924425206,0.393233444008906,1.12931552263893,-1.88063283387841,-0.400626639400848,-1.20680729031127
07/16/1971,0.969617490907467,0.335040160918421,1.15970213870319,-1.87421914481158,-0.360633193333136,-1.18987378401852
07/23/1971,1.07999904470223,0.471381211961589,1.26379817903744,-1.85838668854656,-0.323416208986807,-1.17344676664288
07/30/1971,1.26197483874576,0.801070714246769,1.4361391039167,-1.833455091308,-0.289381012865896,-1.15757467079518
08/06/1971,1.49677425085094,1.27970252560723,1.65823885803515,-1.80009240782165,-0.258924265450643,-1.14227648581842
08/13/1971,1.75604274307408,1.83019668013513,1.90228951237842,-1.75934174148158,-0.232287000174774,-1.1275419534982
08/20/1971,2.00841016580962,2.3615604839364,2.13776335914628,-1.71260043082713,-0.209739368361821,-1.1133422339996
