iter	Passed	Remaining
0	135	135534
1	136	68312
2	138	45975
3	139	34772
4	140	27918
5	141	23392
6	143	20293
7	144	17967
8	145	16044
9	146	14536
10	148	13321
11	150	12367
12	151	11510
13	152	10769
14	154	10152
15	155	9563
16	156	9043
17	158	8631
18	160	8285
19	162	7961
20	166	7781
21	169	7515
22	171	7283
23	173	7064
24	175	6852
25	177	6658
26	180	6488
27	182	6325
28	183	6160
29	185	5989
30	187	5851
31	190	5751
32	192	5629
33	193	5507
34	194	5372
35	196	5271
36	198	5164
37	199	5057
38	201	4957
39	220	5287
40	222	5214
41	224	5123
42	226	5041
43	227	4949
44	228	4850
45	229	4758
46	230	4678
47	232	4604
48	234	4544
49	236	4486
50	238	4429
51	240	4375
52	241	4322
53	243	4267
54	246	4231
55	248	4183
56	250	4143
57	252	4103
58	254	4056
59	257	4037
60	259	4000
61	262	3965
62	264	3928
63	266	3894
64	268	3858
65	270	3822
66	271	3779
67	273	3750
68	275	3713
69	276	3675
70	278	3644
71	280	3614
72	283	3596
73	286	3580
74	288	3559
75	290	3535
76	293	3517
77	294	3479
78	297	3467
79	299	3444
80	301	3421
81	303	3398
82	306	3385
83	309	3372
84	311	3351
85	313	3330
86	315	3311
87	318	3300
88	320	3276
89	326	3296
90	328	3277
91	330	3261
92	333	3251
93	337	3254
94	340	3241
95	342	3226
96	344	3208
97	346	3192
98	350	3189
99	352	3172
100	354	3157
101	356	3140
102	358	3125
103	359	3101
104	363	3100
105	367	3102
106	369	3087
107	371	3069
108	374	3057
109	376	3046
110	378	3028
111	379	3012
112	381	2993
113	382	2976
114	384	2960
115	386	2943
116	388	2931
117	391	2924
118	393	2909
119	395	2898
120	396	2882
121	399	2876
122	402	2869
123	405	2868
124	408	2858
125	410	2845
126	411	2830
127	413	2816
128	416	2811
129	417	2796
130	419	2780
131	420	2767
132	422	2754
133	424	2740
134	425	2727
135	427	2716
136	430	2709
137	432	2699
138	433	2683
139	434	2670
140	436	2658
141	438	2648
142	439	2635
143	442	2630
144	445	2624
145	446	2612
146	448	2600
147	449	2588
148	450	2574
149	452	2564
150	454	2557
151	457	2549
152	458	2538
153	460	2529
154	462	2518
155	463	2509
156	465	2501
157	468	2494
158	470	2490
159	472	2480
160	474	2470
161	475	2460
162	477	2453
163	479	2442
164	480	2433
165	483	2427
166	485	2420
167	487	2413
168	489	2405
169	491	2398
170	492	2387
171	494	2382
172	498	2381
173	500	2374
174	502	2366
175	503	2359
176	506	2354
177	510	2355
178	512	2349
179	513	2341
180	515	2333
181	517	2327
182	519	2320
183	522	2317
184	525	2313
185	527	2308
186	529	2302
187	531	2293
188	532	2286
189	534	2279
190	536	2273
191	538	2266
192	540	2260
193	541	2251
194	543	2243
195	545	2236
196	547	2231
197	549	2227
198	551	2220
199	553	2213
200	554	2205
201	556	2198
202	558	2191
203	560	2185
204	579	2246
205	581	2240
206	582	2233
207	585	2227
208	586	2220
209	588	2212
210	589	2205
211	593	2205
212	595	2198
213	597	2193
214	599	2187
215	600	2179
216	602	2173
217	604	2168
218	606	2163
219	608	2156
220	609	2149
221	611	2142
222	613	2136
223	614	2129
224	616	2124
225	620	2125
226	622	2120
227	624	2115
228	626	2108
229	627	2100
230	629	2095
231	632	2092
232	634	2089
233	636	2083
234	638	2077
235	639	2070
236	641	2064
237	643	2059
238	646	2058
239	648	2054
240	650	2048
241	652	2043
242	653	2037
243	655	2031
244	658	2028
245	660	2025
246	662	2020
247	664	2014
248	665	2008
249	667	2002
250	669	1997
251	671	1992
252	673	1989
253	675	1984
254	677	1979
255	679	1973
256	680	1967
257	682	1962
258	684	1958
259	687	1955
260	689	1951
261	691	1946
262	692	1940
263	694	1936
264	697	1933
265	701	1935
266	704	1933
267	706	1929
268	708	1925
269	710	1921
270	713	1919
271	715	1915
272	718	1912
273	720	1909
274	723	1907
275	728	1910
276	730	1905
277	732	1902
278	734	1897
279	736	1892
280	737	1888
281	741	1888
282	744	1886
283	746	1881
284	748	1876
285	750	1873
286	754	1875
287	758	1874
288	760	1870
289	762	1865
290	764	1862
291	766	1857
292	769	1856
293	771	1852
294	773	1848
295	775	1844
296	777	1839
297	779	1835
298	782	1834
299	784	1830
300	786	1825
301	789	1824
302	791	1819
303	794	1819
304	796	1815
305	798	1811
306	801	1808
307	803	1804
308	804	1800
309	808	1799
310	811	1796
311	813	1793
312	815	1789
313	817	1785
314	819	1781
315	822	1780
316	824	1777
317	827	1773
318	828	1769
319	830	1765
320	832	1761
321	835	1759
322	837	1755
323	839	1751
324	840	1746
325	842	1741
326	844	1737
327	846	1733
328	848	1731
329	850	1726
330	852	1722
331	853	1718
332	855	1713
333	856	1708
334	858	1704
335	860	1700
336	862	1697
337	864	1693
338	866	1689
339	868	1684
340	869	1680
341	871	1676
342	872	1671
343	875	1669
344	876	1664
345	878	1661
346	880	1657
347	882	1652
348	886	1653
349	888	1650
350	890	1647
351	892	1643
352	894	1639
353	896	1635
354	897	1631
355	900	1629
356	902	1625
357	904	1621
358	905	1617
359	907	1613
360	909	1609
361	910	1604
362	913	1603
363	916	1601
364	918	1597
365	920	1594
366	922	1590
367	924	1587
368	927	1586
369	929	1582
370	931	1579
371	933	1575
372	935	1571
373	937	1569
374	940	1567
375	1016	1686
376	1018	1683
377	1021	1680
378	1023	1676
379	1025	1673
380	1027	1668
381	1029	1665
382	1031	1661
383	1046	1678
384	1048	1674
385	1050	1671
386	1052	1667
387	1054	1663
388	1056	1658
389	1057	1654
390	1059	1650
391	1061	1647
392	1063	1643
393	1066	1639
394	1067	1635
395	1069	1630
396	1071	1627
397	1073	1623
398	1075	1619
399	1077	1616
400	1079	1612
401	1081	1608
402	1083	1605
403	1085	1600
404	1087	1597
405	1090	1595
406	1093	1593
407	1095	1589
408	1097	1586
409	1099	1582
410	1101	1578
411	1103	1575
412	1106	1572
413	1108	1568
414	1110	1565
415	1112	1561
416	1113	1557
417	1116	1554
418	1119	1552
419	1120	1547
420	1122	1544
421	1125	1540
422	1126	1536
423	1128	1533
424	1130	1529
425	1133	1527
426	1135	1523
427	1137	1520
428	1139	1516
429	1141	1512
430	1143	1509
431	1145	1506
432	1163	1523
433	1165	1520
434	1168	1517
435	1169	1513
436	1171	1509
437	1174	1506
438	1176	1503
439	1177	1499
440	1179	1495
441	1181	1491
442	1183	1487
443	1185	1484
444	1187	1480
445	1189	1477
446	1191	1473
447	1192	1469
448	1194	1465
449	1195	1461
450	1197	1458
451	1199	1454
452	1202	1451
453	1203	1447
454	1205	1443
455	1207	1440
456	1209	1436
457	1211	1433
458	1213	1429
459	1215	1426
460	1217	1422
461	1219	1419
462	1220	1416
463	1222	1412
464	1224	1408
465	1226	1405
466	1229	1403
467	1231	1399
468	1233	1396
469	1234	1392
470	1236	1388
471	1238	1385
472	1240	1382
473	1242	1379
474	1244	1375
475	1246	1371
476	1247	1368
477	1249	1364
478	1251	1361
479	1253	1358
480	1256	1355
481	1257	1351
482	1259	1348
483	1261	1345
484	1263	1341
485	1265	1338
486	1267	1335
