"Periodo(MMM DD, AAAA)","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), pesos - 1 año","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), pesos - 5 años","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), pesos - 10 años","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), UVR - 1 año","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), UVR - 5 años","Tasa de interés Cero Cupón, Títulos de Tesorería (TES), UVR - 10 años"
"2003/01/02",10.75,15.42,14.69,2.77,6.93,7.68
"2003/01/03",10.46,15.44,14.47,,,
"2003/01/07",10.68,15.1,15.57,4.48,6.89,7.56
"2003/01/08",10.23,15.57,14.63,3.41,6.95,7.53
"2003/01/09",10.32,15.33,15.54,3.59,6.87,7.74
"2003/01/10",10.09,15.33,15.35,3.38,6.86,7.54
"2003/01/13",9.59,15.36,15.28,3.23,6.78,7.54
"2003/01/14",9.69,14.83,16.01,3.28,6.68,7.65
"2003/01/15",9.4,14.98,14.95,3.24,6.69,7.63
"2003/01/16",9.68,14.96,15.15,3.29,6.74,7.72
"2003/01/17",9.58,15.2,15.34,3.4,6.71,7.64
"2003/01/20",10.55,15.06,16.15,3.55,6.71,7.71
"2003/01/21",10.59,15.57,15.85,3.65,6.76,7.71
"2003/01/22",10.36,16.11,15.73,3.13,7.04,7.64
"2003/01/23",10.24,16.05,15.4,3.45,6.73,7.62
"2003/01/24",10.65,15.81,16.37,3.37,6.76,7.66
"2003/01/27",10.67,15.9,14.5,3.46,6.8,7.64
"2003/01/28",10.68,15.62,16.46,3.54,6.78,8.11
"2003/01/29",10.58,15.77,15.9,3.29,6.77,7.62
"2003/01/30",10.39,15.7,14.66,3.44,6.75,7.75
"2003/01/31",10.32,15.38,15.89,3.16,6.67,6.76
"2003/02/03",10.45,15.76,15.08,3.27,6.72,7.67
"2003/02/04",10.32,15.45,16.3,3.35,6.66,7.64
"2003/02/05",10.56,15.52,16.04,3.39,6.4,7.81
"2003/02/06",10.73,16.09,16.26,3.11,6.6,7.67
"2003/02/07",10.73,15.9,16.2,2.87,6.57,7.62
"2003/02/10",10.88,15.83,16.83,3.03,6.53,7.71
"2003/02/11",11.04,15.94,16.52,2.96,6.43,7.66
"2003/02/12",10.58,15.86,16.09,2.5,6.59,7.64
"2003/02/13",10.56,15.98,15.76,2.51,6.48,7.65
"2003/02/14",10.55,15.95,15.64,2.53,6.24,7.66
"2003/02/17",10.42,15.52,16.15,2.64,6.18,7.61
"2003/02/18",10.45,15.75,15.19,2.69,6.26,7.56
"2003/02/19",10.44,15.79,15.75,2.54,6.27,7.55
"2003/02/20",10.52,15.84,16.25,2.66,6.22,8.02
"2003/02/21",10.73,16,15.7,2.54,6.16,7.62
"2003/02/24",10.71,16.09,16.4,2.46,6.02,7.68
"2003/02/25",10.69,16.23,16.41,2.44,6.04,7.57
"2003/02/26",10.68,15.89,16.32,2.57,6.05,7.47
"2003/02/27",10.78,16.27,16.23,2.91,6.03,7.5
"2003/02/28",10.85,16.21,16.1,2.88,5.78,7.54
"2003/03/03",10.81,16.03,16.86,2.93,6.23,7.48
"2003/03/04",10.75,16.37,16.1,2.74,6.23,7.49
"2003/03/05",10.81,16.33,15.17,2.96,6.22,7.49
"2003/03/06",10.29,15.87,16.9,3.2,6.32,7.56
"2003/03/07",10.62,16.38,15.91,2.64,6.73,7.84
"2003/03/10",10.35,15.93,16.71,2.86,6.49,7.52
"2003/03/11",10.36,15.96,16.92,3.08,6.7,7.51
"2003/03/12",10.5,15.94,16.38,3.29,6.78,7.57
"2003/03/13",10.51,16.13,16.61,3.27,6.83,7.47
"2003/03/14",10.54,16.03,16.2,2.79,6.73,7.54
"2003/03/17",10.54,15.76,16.46,3.34,6.72,7.78
"2003/03/18",10.52,15.93,16.56,3.39,7.03,7.68
"2003/03/19",10.43,16.01,16.9,3.47,6.95,7.68
"2003/03/20",10.12,15.75,16.83,3.48,7,7.7
"2003/03/21",10.37,15.53,16.85,3.32,7.17,7.78
"2003/03/25",10.29,15.85,16.76,3.34,6.78,7.7
"2003/03/26",10.11,16.13,16.28,3.22,7.34,7.66
"2003/03/27",10.11,16.28,16.07,4.22,6.53,7.81
"2003/03/28",10.09,15.87,16.84,3.34,7.17,7.68
