"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","100.97","100.88","101.60","100.55","10.29K","0.27%"
"05/15/2025","100.70","98.50","100.95","97.75","26.69K","10.66%"
"05/14/2025","91.00","90.90","91.00","90.78","0.27K","0.03%"
"05/13/2025","90.97","90.60","91.03","90.55","0.48K","0.28%"
"05/12/2025","90.72","90.97","91.20","90.60","0.53K","0.39%"
"05/09/2025","90.38","90.60","90.75","90.13","0.72K","-0.30%"
"05/08/2025","90.65","91.03","91.03","90.55","0.72K","-0.55%"
"05/07/2025","91.15","91.20","91.45","90.70","0.88K","-0.44%"
"05/06/2025","91.55","91.75","91.78","91.05","0.65K","-0.76%"
"05/05/2025","92.25","92.50","93.05","92.15","0.49K","-0.75%"
"05/02/2025","92.95","92.25","93.05","91.90","0.91K","0.60%"
"05/01/2025","92.40","91.55","92.65","91.45","0.98K","0.52%"
"04/30/2025","91.93","92.28","92.50","91.32","0.79K","-0.68%"
"04/29/2025","92.55","92.75","92.88","92.07","0.93K","-0.43%"
"04/28/2025","92.95","92.88","93.40","92.15","0.85K","0.16%"
"04/25/2025","92.80","92.35","93.00","91.90","0.64K","0.92%"
"04/24/2025","91.95","91.57","92.03","90.32","0.58K","0.08%"
"04/23/2025","91.88","92.28","92.55","91.53","0.57K","-0.38%"
"04/22/2025","92.22","91.18","92.28","90.82","1.01K","1.32%"
"04/21/2025","91.03","90.53","91.35","90.53","0.53K","0.69%"
"04/17/2025","90.40","89.97","91.15","89.47","0.68K","0.28%"
"04/16/2025","90.15","88.28","90.25","88.28","1.32K","2.21%"
"04/15/2025","88.20","87.70","89.00","87.60","0.74K","3.19%"
"04/14/2025","85.47","85.50","85.60","85.40","1.23K","0.06%"
"04/11/2025","85.43","85.55","85.70","85.43","3.72K","-0.67%"
"04/10/2025","86.00","86.85","86.85","85.95","4.61K","-1.12%"
"04/09/2025","86.97","87.50","87.55","86.90","5.85K","-0.97%"
"04/08/2025","87.82","87.80","87.97","87.80","3.72K","0.03%"
"04/07/2025","87.80","87.13","87.97","87.13","5.20K","0.49%"
"04/04/2025","87.38","87.20","87.93","86.90","5.85K","0.00%"
"04/03/2025","87.38","86.85","88.15","86.55","8.20K","-0.09%"
"04/02/2025","87.45","87.38","87.65","87.18","6.11K","0.09%"
"04/01/2025","87.38","87.60","88.32","87.28","10.77K","-0.40%"
"03/31/2025","87.72","86.88","87.85","86.55","6.06K","1.18%"
"03/28/2025","86.70","87.72","87.75","86.22","7.49K","-0.37%"
"03/27/2025","87.03","86.80","87.13","86.22","8.58K","-0.60%"
"03/26/2025","87.55","86.65","87.60","86.07","9.10K","1.04%"
"03/25/2025","86.65","86.30","87.10","86.30","10.03K","1.11%"
"03/24/2025","85.70","86.30","86.32","85.28","12.53K","-0.49%"
"03/21/2025","86.13","85.55","86.93","85.38","12.02K","0.67%"
"03/20/2025","85.55","85.68","86.47","85.22","10.19K","-0.03%"
"03/19/2025","85.57","86.82","87.18","85.25","21.01K","-2.31%"
"03/18/2025","87.60","87.95","88.20","86.33","21.21K","-0.54%"
"03/17/2025","88.07","87.20","88.60","87.15","27.37K","1.67%"
"03/14/2025","86.63","86.20","87.07","85.03","19.86K","1.17%"
"03/13/2025","85.62","86.03","86.83","85.15","38.11K","-1.02%"
"03/12/2025","86.50","86.40","87.40","85.82","34.23K","-0.06%"
"03/11/2025","86.55","88.05","88.40","86.32","38.50K","-1.98%"
"03/10/2025","88.30","87.32","88.43","87.10","39.83K","1.09%"
"03/07/2025","87.35","86.65","87.50","86.38","40.19K","0.81%"
"03/06/2025","86.65","84.20","87.55","83.50","37.01K","2.30%"
