"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2025","338.80","336.80","339.50","335.70","0.18K","-10.19%"
"05/14/2025","377.25","377.25","377.25","377.25","","0.00%"
"05/13/2025","377.25","377.25","377.25","377.25","","-1.05%"
"05/12/2025","381.25","381.25","381.25","381.25","","1.67%"
"05/09/2025","375.00","375.00","375.00","375.00","","1.35%"
"05/08/2025","370.00","370.00","370.00","370.00","","0.00%"
"05/07/2025","370.00","370.00","370.00","370.00","","0.34%"
"05/06/2025","368.75","388.00","400.00","388.00","0.00K","2.15%"
"05/05/2025","361.00","355.00","363.25","355.00","0.00K","-0.07%"
"05/02/2025","361.25","370.00","370.00","370.00","0.00K","-1.03%"
"05/01/2025","365.00","365.00","365.00","365.00","","2.46%"
"04/30/2025","356.25","387.00","387.00","357.75","0.11K","-6.56%"
"04/29/2025","381.25","370.25","385.00","367.50","0.13K","3.25%"
"04/28/2025","369.25","363.75","370.00","363.25","0.22K","1.23%"
"04/25/2025","364.75","363.75","367.25","359.25","0.11K","1.74%"
"04/24/2025","358.50","356.50","362.25","352.25","0.14K","0.77%"
"04/23/2025","355.75","359.00","360.75","355.50","0.16K","-0.56%"
"04/22/2025","357.75","355.25","361.25","354.00","0.38K","0.56%"
"04/21/2025","355.75","359.00","361.25","352.75","0.32K","-0.21%"
"04/17/2025","356.50","349.25","358.75","347.75","0.56K","2.59%"
"04/16/2025","347.50","340.75","350.50","334.75","0.38K","1.39%"
"04/15/2025","342.75","345.50","349.25","339.00","0.41K","-1.15%"
"04/14/2025","346.75","344.50","349.75","338.75","0.31K","0.29%"
"04/11/2025","345.75","340.75","348.75","337.50","0.52K","1.84%"
"04/10/2025","339.50","330.00","341.25","328.25","0.51K","2.80%"
"04/09/2025","330.25","332.00","336.75","322.25","0.55K","0.08%"
"04/08/2025","330.00","340.50","342.75","326.50","0.52K","-2.00%"
"04/07/2025","336.75","340.00","349.00","330.75","0.54K","-1.75%"
"04/04/2025","342.75","351.75","356.75","340.00","0.40K","-2.63%"
"04/03/2025","352.00","360.50","362.00","349.75","0.53K","-3.83%"
