"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2025","12.893","12.763","12.918","12.692","0.05K","2.08%"
"05/14/2025","12.630","12.630","12.800","12.275","0.82K","2.60%"
"05/13/2025","12.310","12.585","12.590","12.300","0.97K","-2.38%"
"05/12/2025","12.610","12.645","12.735","12.590","0.73K","-0.79%"
"05/09/2025","12.710","12.835","12.835","12.650","0.40K","-0.55%"
"05/08/2025","12.780","13.020","13.060","12.735","0.52K","-1.92%"
"05/07/2025","13.030","12.930","13.100","12.895","0.43K","0.89%"
"05/06/2025","12.915","12.700","12.985","12.685","0.51K","1.37%"
"05/05/2025","12.740","13.000","13.015","12.675","0.62K","-1.39%"
"05/02/2025","12.920","13.100","13.160","12.895","0.47K","-1.11%"
"05/01/2025","13.065","13.195","13.375","13.020","0.84K","-1.14%"
"04/30/2025","13.215","12.740","13.240","12.600","0.86K","3.32%"
"04/29/2025","12.790","12.810","12.830","12.545","1.70K","-0.20%"
"04/28/2025","12.815","13.290","13.290","12.250","1.94K","-3.54%"
"04/25/2025","13.285","13.325","13.400","13.140","1.93K","-0.30%"
"04/24/2025","13.325","13.380","13.420","13.110","1.34K","-0.22%"
"04/23/2025","13.355","13.425","13.500","13.230","0.97K","-0.52%"
"04/22/2025","13.425","13.625","13.625","13.290","1.90K","-1.65%"
"04/21/2025","13.650","13.580","13.690","13.460","0.70K","0.63%"
"04/17/2025","13.565","13.460","13.630","13.375","1.03K","0.52%"
"04/16/2025","13.495","13.735","13.775","13.460","1.31K","-2.39%"
"04/15/2025","13.825","13.795","13.890","13.685","1.44K","0.22%"
"04/14/2025","13.795","13.670","13.920","13.610","0.55K","2.15%"
"04/11/2025","13.505","13.225","13.580","13.225","0.76K","1.96%"
"04/10/2025","13.245","13.545","13.640","13.225","0.78K","-2.25%"
"04/09/2025","13.550","13.530","13.570","13.365","0.59K","0.30%"
"04/08/2025","13.510","13.345","13.640","13.340","0.93K","1.43%"
"04/07/2025","13.320","13.050","13.370","13.050","0.54K","1.87%"
"04/04/2025","13.075","13.105","13.150","13.005","0.46K","0.00%"
"04/03/2025","13.075","13.200","13.250","12.995","0.87K","-1.13%"
"04/02/2025","13.225","13.380","13.440","13.140","0.53K","-0.56%"
"04/01/2025","13.300","13.565","13.570","13.280","0.84K","-1.99%"
"03/31/2025","13.570","13.525","13.650","13.385","0.56K","0.41%"
"03/28/2025","13.515","13.475","13.540","13.410","0.59K","0.37%"
"03/27/2025","13.465","13.210","13.485","13.170","0.44K","2.16%"
"03/26/2025","13.180","13.245","13.250","13.125","0.26K","-0.04%"
"03/25/2025","13.185","13.370","13.370","13.115","0.47K","-1.35%"
"03/24/2025","13.365","13.430","13.440","13.280","0.28K","-0.41%"
"03/21/2025","13.420","13.320","13.450","13.300","0.83K","0.83%"
"03/20/2025","13.310","13.280","13.385","13.055","0.64K","0.26%"
"03/19/2025","13.275","13.485","13.485","13.265","0.61K","-1.88%"
