"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2025","374.58","365.40","377.93","362.93","12.37K","2.68%"
"05/14/2025","364.80","374.85","378.05","363.25","18.59K","-3.07%"
"05/13/2025","376.35","375.00","379.25","367.05","16.63K","0.91%"
"05/12/2025","372.95","388.00","390.10","372.25","18.73K","-3.82%"
"05/09/2025","387.75","386.65","391.20","385.20","9.49K","0.10%"
"05/08/2025","387.35","385.60","387.95","382.20","8.22K","0.85%"
"05/07/2025","384.10","389.35","393.25","382.50","10.78K","-1.47%"
"05/06/2025","389.85","386.05","394.00","384.10","9.96K","0.41%"
"05/05/2025","388.25","382.40","392.00","379.55","8.16K","0.74%"
"05/02/2025","385.40","386.70","392.75","381.75","10.04K","0.19%"
"05/01/2025","384.65","399.05","399.30","382.40","14.29K","-4.02%"
"04/30/2025","400.75","400.20","407.10","396.20","11.81K","0.24%"
"04/29/2025","399.80","410.00","418.90","396.70","14.53K","-2.50%"
"04/28/2025","410.05","395.90","411.30","392.95","13.63K","2.55%"
"04/25/2025","399.85","396.55","410.50","395.80","17.48K","0.26%"
"04/24/2025","398.80","384.00","399.80","381.45","14.88K","3.38%"
"04/23/2025","385.75","375.50","390.55","374.50","14.10K","3.49%"
"04/22/2025","372.75","366.55","375.50","362.50","11.58K","2.25%"
"04/21/2025","364.55","371.75","376.55","362.30","10.47K","-2.16%"
"04/17/2025","372.60","375.05","378.45","367.20","12.50K","-0.32%"
"04/16/2025","373.80","366.00","376.75","362.05","12.91K","1.81%"
"04/15/2025","367.15","360.80","370.40","360.80","19.85K","2.41%"
"04/14/2025","358.50","357.50","363.85","352.10","19.26K","0.22%"
"04/11/2025","357.70","345.95","360.70","341.60","23.38K","4.33%"
"04/10/2025","342.85","360.10","361.50","342.15","20.19K","0.34%"
"04/09/2025","341.70","341.15","353.75","325.20","28.74K","-0.35%"
"04/08/2025","342.90","345.00","350.15","340.50","25.85K","-0.55%"
"04/07/2025","344.80","362.50","364.50","338.60","37.08K","-5.72%"
"04/04/2025","365.70","386.55","389.35","364.90","24.92K","-5.07%"
"04/03/2025","385.25","386.40","391.00","376.90","16.45K","-0.93%"
"04/02/2025","388.85","389.05","393.70","382.15","13.89K","-0.05%"
"04/01/2025","389.05","379.25","391.45","372.25","18.43K","2.45%"
"03/31/2025","379.75","380.00","386.40","378.55","14.17K","-0.05%"
"03/28/2025","379.95","380.80","384.80","377.55","15.50K","0.30%"
"03/27/2025","378.80","392.00","392.10","375.60","21.79K","-3.37%"
"03/26/2025","392.00","400.00","405.40","388.55","14.38K","-1.64%"
"03/25/2025","398.55","393.45","401.00","392.10","12.35K","1.31%"
"03/24/2025","393.40","391.45","402.40","390.60","13.31K","0.51%"
"03/21/2025","391.40","392.00","395.75","386.50","12.38K","-0.19%"
"03/20/2025","392.15","389.30","397.60","386.05","14.04K","-0.62%"
"03/19/2025","394.60","394.15","394.15","394.10","0.02K","1.92%"
"03/18/2025","387.15","386.00","391.95","383.70","0.02K","-0.57%"
"03/17/2025","389.35","382.75","382.75","382.75","0.01K","1.90%"
"03/14/2025","382.10","382.10","382.10","382.10","16.67K","-0.93%"
"03/13/2025","385.70","388.80","391.70","377.05","18.70K","-0.27%"
"03/12/2025","386.75","394.00","396.40","383.15","17.15K","-1.78%"
"03/11/2025","393.75","384.70","395.50","382.00","13.05K","2.54%"
"03/10/2025","384.00","387.00","391.60","380.85","12.98K","-0.10%"
"03/07/2025","384.40","389.00","392.05","379.05","16.31K","-0.71%"
"03/06/2025","387.15","405.05","407.90","385.75","20.87K","-5.56%"
"03/05/2025","409.95","402.00","418.55","402.00","21.23K","2.90%"
"03/04/2025","398.40","389.85","401.55","385.60","19.50K","3.04%"
"03/03/2025","386.65","375.70","389.95","375.70","15.93K","3.65%"
"02/28/2025","373.05","374.90","379.05","369.70","12.80K","-0.15%"
"02/27/2025","373.60","371.60","382.65","369.05","12.18K","-0.43%"
"02/26/2025","375.20","372.80","377.55","366.30","14.59K","-0.19%"
"02/25/2025","375.90","384.80","385.80","370.25","19.95K","-2.31%"
"02/24/2025","384.80","389.25","392.40","380.20","14.26K","-1.14%"
"02/21/2025","389.25","390.00","394.00","383.85","16.85K","-0.17%"
"02/20/2025","389.90","410.20","410.20","386.85","29.23K","-5.34%"
