"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","49.69","48.65","49.75","47.63","14.29K","2.27%"
"05/15/2025","48.58","49.32","51.86","48.58","39.28K","-7.15%"
"05/14/2025","52.32","51.62","52.62","51.08","93.10K","1.63%"
"05/13/2025","51.48","49.92","51.84","49.59","108.62K","3.13%"
"05/12/2025","49.92","48.79","50.63","48.78","112.07K","2.78%"
"05/09/2025","48.57","48.45","48.94","48.26","57.92K","0.25%"
"05/08/2025","48.45","47.41","48.50","47.30","72.16K","2.37%"
"05/07/2025","47.33","48.50","49.27","47.29","94.45K","-2.11%"
"05/06/2025","48.35","48.73","48.90","47.76","72.48K","-0.78%"
"05/05/2025","48.73","49.00","49.67","48.30","70.70K","-1.42%"
"05/02/2025","49.43","49.85","50.13","48.79","62.30K","-0.54%"
"05/01/2025","49.70","48.99","50.16","48.45","79.96K","1.49%"
"04/30/2025","48.97","49.50","49.50","48.43","84.09K","-0.73%"
"04/29/2025","49.33","50.40","50.40","48.86","102.24K","-2.24%"
"04/28/2025","50.46","49.72","50.63","49.18","91.39K","1.30%"
"04/25/2025","49.81","50.11","51.13","49.66","118.96K","-0.52%"
"04/24/2025","50.07","48.47","50.13","48.31","114.53K","3.58%"
"04/23/2025","48.34","48.29","48.64","47.86","77.48K","0.65%"
"04/22/2025","48.03","48.27","48.84","47.83","77.47K","-0.58%"
"04/21/2025","48.31","48.26","48.77","47.95","50.10K","-0.06%"
"04/17/2025","48.34","47.93","48.53","47.70","72.23K","0.71%"
"04/16/2025","48.00","47.86","48.34","47.19","57.69K","0.33%"
"04/15/2025","47.84","46.85","48.41","46.50","86.86K","2.11%"
"04/14/2025","46.85","47.80","47.87","46.71","66.42K","-1.06%"
"04/11/2025","47.35","46.29","47.59","45.92","80.32K","2.22%"
"04/10/2025","46.32","46.29","46.74","45.61","84.26K","0.28%"
"04/09/2025","46.19","44.93","46.47","43.83","95.01K","2.78%"
"04/08/2025","44.94","45.08","45.81","44.80","92.47K","-0.47%"
"04/07/2025","45.15","45.10","46.54","44.35","119.88K","-1.51%"
"04/04/2025","45.84","46.80","47.11","44.63","114.99K","-2.59%"
"04/03/2025","47.06","47.25","48.04","46.16","138.31K","-2.97%"
"04/02/2025","48.50","47.17","48.54","47.14","104.70K","2.23%"
"04/01/2025","47.44","45.00","47.49","44.75","131.53K","5.68%"
"03/31/2025","44.89","45.06","45.43","44.67","81.22K","-0.60%"
