Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.578065547741164,0.507864148278597,0.606395256011119,-1.13758600530809,-1.02869893123549,-1.40839248466505
01/15/1971,0.610314926436921,0.580066154617063,0.635946989181799,-1.13961220225228,-1.04642167265401,-1.4250440758823
01/22/1971,0.647643755318837,0.668491278749585,0.670941314556753,-1.14280145667722,-1.06285117710684,-1.44001089393104
01/29/1971,0.688489813771536,0.762472078225908,0.709903798806372,-1.14759921157589,-1.07736069018014,-1.45293643396737
02/05/1971,0.731483585086318,0.852165075251617,0.75167251019522,-1.15448432434431,-1.08947378022899,-1.46351673684397
02/12/1971,0.774231391198436,0.926918947811807,0.794053123421087,-1.16398866919077,-1.09861940468465,-1.47151977276927
02/19/1971,0.815663819223187,0.979672452029004,0.836270545111407,-1.17666634663985,-1.10438501942124,-1.47678884015577
02/26/1971,0.856263864869317,1.00905744221903,0.878894388906746,-1.19307132508286,-1.10616525005722,-1.47924202550321
03/05/1971,0.897701282103105,1.02000238985054,0.923893710451982,-1.21372443103478,-1.10373846128595,-1.47887731769154
03/12/1971,0.942147533016217,1.02070029454792,0.973454408213161,-1.23909608288705,-1.09663463662611,-1.4757650770178
03/19/1971,0.99190946382964,1.02421828754037,1.03001441969712,-1.26954040824628,-1.08473759666438,-1.4700446430203
03/26/1971,1.04941798585399,1.04791722287166,1.09587522923765,-1.30519229805284,-1.06793420451913,-1.46192028904162
04/02/1971,1.1148652147852,1.10628154992186,1.17115085194978,-1.34592232941753,-1.04638609718214,-1.45164291300883
04/09/1971,1.18724318109562,1.20966094304197,1.25439927080824,-1.39140485295862,-1.02019586399576,-1.43947817926154
04/16/1971,1.26226699960172,1.35709389207242,1.34113529320428,-1.44091336085327,-0.989872916152828,-1.42575207142614
04/23/1971,1.33341231798455,1.53541206059458,1.42442497157236,-1.49345261833142,-0.955851246647558,-1.41075066040407
04/30/1971,1.3933964452427,1.7210381793861,1.49655811480255,-1.5477712365943,-0.9186598383225,-1.39474690993966
05/07/1971,1.43402376440937,1.88289683953273,1.5490821605423,-1.60251473735901,-0.878922115928466,-1.37798953609644
05/14/1971,1.44635452584994,1.9856896477073,1.5728296179855,-1.65622606876572,-0.837217963280499,-1.36069347412552
05/21/1971,1.42562204227022,2.0037476230626,1.56291932384402,-1.70749637327139,-0.794176120976681,-1.34303987128337
05/28/1971,1.3725834260095,1.92503361477429,1.51984302379337,-1.75493189981373,-0.750280434618749,-1.32518202186537
06/04/1971,1.29167843990368,1.75067225081162,1.44800066847175,-1.79733952462518,-0.706091432422884,-1.30724801562907
06/11/1971,1.19050159574801,1.4940848017919,1.35484360079236,-1.83365501232162,-0.662014440035479,-1.28934579656555
06/18/1971,1.08567001588583,1.19124562473728,1.25654541495111,-1.86284155226352,-0.61846749778644,-1.27157015995005
06/25/1971,0.994487221096236,0.885070189152027,1.16994108908868,-1.88403920221489,-0.575843189929139,-1.2540049202757
07/02/1971,0.933709862140232,0.624311191472058,1.11145671422007,-1.89667317768187,-0.534576778472492,-1.23672771266457
07/09/1971,0.919133956675581,0.460276216388416,1.09639457734335,-1.90029973760019,-0.495048331792566,-1.21980737589418
07/16/1971,0.960643155631653,0.43359674986085,1.13439421784775,-1.89474503526905,-0.457736457162327,-1.20331993243429
07/23/1971,1.06087491299461,0.565011590607464,1.22798790860245,-1.8801751420882,-0.423002825823418,-1.18730760971924
07/30/1971,1.21452705320406,0.849603169234986,1.37189251621633,-1.85697256845414,-0.391192012187858,-1.17180648509721
08/06/1971,1.4072811696073,1.25204046672659,1.55215343633019,-1.82585413641548,-0.362677291244748,-1.15683330147858
08/13/1971,1.61844472900545,1.71462387864514,1.74862787828194,-1.78785922706591,-0.337705851864825,-1.1423863142091
08/20/1971,1.82526412673885,2.17142339732852,1.93932342896375,-1.74430165404184,-0.316564006279539,-1.12844870614625
08/27/1971,2.00155950765689,2.55230347911052,2.09922276296741,-1.696854105565,-0.29952187244435,-1.11499205422849
09/03/1971,2.13170994136513,2.81296790483903,2.21336462311791,-1.64713523181636,-0.28672735980906,-1.10197822303201
09/10/1971,2.20137380482859,2.92370085485221,2.26827400893369,-1.59691742113631,-0.278375108756964,-1.0893639157671
09/17/1971,2.20978274473359,2.88701712463952,2.26367463063032,-1.54788908900434,-0.274605929048106,-1.07710364611488
09/24/1971,2.16063960164815,2.72064775374004,2.20364353507119,-1.50162429173324,-0.275544266185993,-1.0651519197857
