MetricaKey,ModeloKey,MercadoKey,FechaEvaluacion,Periodo,RMSE,MAE,R2,SMAPE,Amplitud_Score,Fase_Score,Ultra_Metric,Hit_Direction,Hyperparametros,NumeroObservaciones,DuracionVentana,FechaInicioPeriodo,FechaFinPeriodo
1,1,1,2025-06-18,Back-test,0.045788,0.038123,0.044738,150.5179,0.263336,0.134697,1.077972,54.38,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",538,754,2022-03-31,2024-04-22
2,1,1,2025-06-18,Forecast,4e-06,3e-06,1.0,0.0049,0.999941,0.99994,8.5e-05,100.0,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",20,26,2025-05-05,2025-05-30
3,1,1,2025-06-18,Hold-out,0.043204,0.031377,0.006911,120.1954,0.269372,0.219413,1.005931,53.36,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",269,375,2024-04-23,2025-05-02
4,1,1,2025-06-18,Training,6e-06,5e-06,1.0,0.1771,0.999837,0.999604,0.000467,99.79,"{""learning_rate"": 0.0976991672780769, ""depth"": 10, ""iterations"": 2774}",1880,2632,2015-01-15,2022-03-30
5,2,1,2025-06-18,Back-test,0.079726,0.066217,-1.896124,151.9032,0.667299,0.115448,1.655372,47.3,"{""units"": 193, ""learning_rate"": 0.0004338669901134816, ""dropout_rate"": 0.44481797377721494, ""sequence_length"": 15}",538,754,2022-03-31,2024-04-22
6,2,1,2025-06-18,Forecast,0.15172,0.141105,-18.139257,198.1015,0.546065,0.667683,3.084866,26.32,"{""units"": 193, ""learning_rate"": 0.0004338669901134816, ""dropout_rate"": 0.44481797377721494, ""sequence_length"": 15}",20,26,2025-05-05,2025-05-30
7,2,1,2025-06-18,Hold-out,0.079125,0.06683,-2.330927,172.9385,0.632345,0.313966,1.82768,51.12,"{""units"": 193, ""learning_rate"": 0.0004338669901134816, ""dropout_rate"": 0.44481797377721494, ""sequence_length"": 15}",269,375,2024-04-23,2025-05-02
8,2,1,2025-06-18,Training,0.028026,0.021287,0.578789,100.1412,0.859376,0.054121,0.732037,52.0,"{""units"": 193, ""learning_rate"": 0.0004338669901134816, ""dropout_rate"": 0.44481797377721494, ""sequence_length"": 15}",1880,2632,2015-01-15,2022-03-30
9,3,1,2025-06-18,Back-test,0.067403,0.052441,-1.070048,148.8595,0.935647,0.119102,1.413607,54.38,"{""learning_rate"": 0.08440316330862697, ""max_depth"": 12, ""n_estimators"": 1298, ""subsample"": 0.7440993525176433}",538,754,2022-03-31,2024-04-22
10,3,1,2025-06-18,Forecast,0.000127,9.2e-05,0.999987,0.1077,0.99897,0.998585,0.002375,100.0,"{""learning_rate"": 0.08440316330862697, ""max_depth"": 12, ""n_estimators"": 1298, ""subsample"": 0.7440993525176433}",20,26,2025-05-05,2025-05-30
11,3,1,2025-06-18,Hold-out,0.051041,0.039899,-0.386025,154.0135,0.530772,0.245893,1.236536,54.1,"{""learning_rate"": 0.08440316330862697, ""max_depth"": 12, ""n_estimators"": 1298, ""subsample"": 0.7440993525176433}",269,375,2024-04-23,2025-05-02
12,3,1,2025-06-18,Training,0.000145,0.000109,0.999989,1.6455,0.998612,0.989962,0.006024,99.2,"{""learning_rate"": 0.08440316330862697, ""max_depth"": 12, ""n_estimators"": 1298, ""subsample"": 0.7440993525176433}",1880,2632,2015-01-15,2022-03-30
13,4,1,2025-06-18,Back-test,0.211593,0.175471,-19.399718,158.3824,0.188809,0.129989,3.901808,52.33,"{""hidden_layer_size"": 169, ""learning_rate_init"": 0.009517210247478595, ""max_iter"": 1174}",538,754,2022-03-31,2024-04-22
