date,model,method,random_rmse,optuna_rmse,random_depth,random_iterations,random_learning_rate,optuna_learning_rate,optuna_depth,optuna_iterations,random_max_depth,random_n_estimators,random_subsample,optuna_max_depth,optuna_n_estimators,optuna_subsample,random_hidden_neurons,random_learning_rate_init,random_max_iter,optuna_hidden_neurons,optuna_learning_rate_init,optuna_max_iter,random_C,random_epsilon,optuna_C,optuna_epsilon,random_units,random_dropout_rate,random_sequence_length,optuna_units,optuna_dropout_rate,optuna_sequence_length,random_border_count,random_l2_leaf_reg,random_colsample_bytree,random_num_leaves,random_reg_alpha,random_reg_lambda,random_gamma,random_recurrent_dropout,random_alpha,random_beta_1,random_beta_2,random_hidden_layer_sizes,optuna_hidden_layer_size,optuna_d_model,optuna_nhead,optuna_num_encoder_layers,optuna_dim_feedforward,optuna_dropout,optuna_batch_size,optuna_epochs
2025-05-21 11:31:32,CatBoost,ThreeZones,1533.5668610444643,1632.7875682271704,4.0,974.0,0.0309807918413965,0.0429447630560464,3.0,709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 00:04:43,CatBoost,ThreeZones,1528.123751202019,1644.4035108806509,6.0,101.0,0.0480285722563966,0.0902368287364118,5.0,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 00:16:04,CatBoost,ThreeZones,1529.9080922500814,1585.5354021609528,6.0,101.0,0.0480285722563966,0.0275256018210372,4.0,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 00:16:09,LightGBM,ThreeZones,1484.1558439807095,1868.06496055911,,,0.0283699556786346,0.0180083141850337,,,4.0,149.0,0.7428600453765822,5.0,343.0,0.7669078648061931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 00:16:23,XGBoost,ThreeZones,1414.8393638551634,1826.944341836426,,,0.0283699556786346,0.0183058869629885,,,4.0,149.0,0.7428600453765822,6.0,363.0,0.6329365496551158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 00:17:55,MLP,ThreeZones,1903.3943456335128,1957.0569346575533,,,,,,,,,,,,,100.0,0.001,100.0,109.0,0.0008521532144028,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 00:18:11,SVM,ThreeZones,1722.0614568684673,2687.7528376399687,,,,,,,,,,,,,,,,,,,3.793972738151323,0.1397987726295554,4.346781132029699,0.1843584166436543,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 00:22:49,CatBoost,ThreeZones,1518.7182894105767,1628.4479796483297,6.0,101.0,0.0480285722563966,0.089034557561445,5.0,367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 00:22:55,LightGBM,ThreeZones,1490.0508416931136,1862.666478850728,,,0.0283699556786346,0.0366853932247552,,,4.0,149.0,0.7428600453765822,6.0,441.0,0.7302750574205626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-22 00:23:05,XGBoost,ThreeZones,1443.355998539501,1783.7340745337858,,,0.0283699556786346,0.0201129124308269,,,4.0,149.0,0.7428600453765822,4.0,442.0,0.8970409254752995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
