Algoritmo,Fase,RMSE,MAE,R2,SMAPE
CatBoost,Back-test (Zona B),0.04465722152607417,0.037210768144647584,0.08962092385801557,148.77259641539413
LightGBM,Back-test (Zona B),0.0659546873755807,0.052099143863176184,-0.9857757473882636,146.26579739025152
XGBoost,Back-test (Zona B),0.05504261962104921,0.04753406552657523,-0.3830473850149305,159.18298762923968
MLP,Back-test (Zona B),6.500301241092909,1.703013167983172,-19287.82784332836,157.98569883711178
SVM,Back-test (Zona B),0.04945255253027738,0.0434862464504255,-0.11639092089732439,173.34944436227917
LSTM,Back-test (Zona B),0.07240877833692122,0.05862248664419025,-1.3934331973998257,145.9435272239941
CatBoost,Hold-out (Zona C),0.032617790210935464,0.02332635563752076,0.030243537030771317,113.90950795698586
LightGBM,Hold-out (Zona C),0.03451137187457714,0.024796741674755502,-0.08562055914559674,125.24349246758743
XGBoost,Hold-out (Zona C),0.03349623426145408,0.023624938896508088,-0.022693705133150832,113.6522623299555
MLP,Hold-out (Zona C),0.20182684871721682,0.14869220316974696,-36.12884940160014,170.3094628276216
SVM,Hold-out (Zona C),0.035614509377149245,0.02921622219232168,-0.15613232541422506,142.96634869266347
LSTM,Hold-out (Zona C),0.09908067237960493,0.07503074967917929,-7.948113880843019,150.44594011569458
