Model,Periodo,N_Predictions,RMSE,MAE,R2
TTS,Training,1880,0.04340125403519171,0.028125636783695875,-0.010105584350696306
TTS,Validation,538,0.04731445591921118,0.037873200895835755,-0.020022078704262647
TTS,Test,269,0.04350903430731991,0.03174934240440154,-0.007153362678431918
CATBOOST,Training,1499,0.010854577822174942,0.007845197337272113,0.9399060302828087
CATBOOST,Test,215,0.032617790210935436,0.02332635563752073,0.03024353703077154
LIGHTGBM,Training,1499,0.008960348657598293,0.006331274614806582,0.9590499121071318
LIGHTGBM,Test,215,0.03451137187457709,0.02479674167475546,-0.08562055914559563
LSTM,Training,1499,0.015320591533111305,0.01078881046106418,0.8802829275228821
LSTM,Test,215,0.09908067237960487,0.07503074967917925,-7.948113880843028
MLP,Training,1499,0.02456734608578527,0.01894930374818503,0.6921625107591975
MLP,Test,215,0.20182684871721676,0.1486922031697469,-36.128849401600185
SVM,Training,1499,0.037017961837287366,0.031180401540585448,0.30107588182726785
SVM,Test,215,0.03561450937714921,0.029216222192321648,-0.15613232541422484
XGBOOST,Training,1499,0.009769081764894518,0.007368477627576587,0.9513242659508869
XGBOOST,Test,215,0.033496234261454046,0.02362493889650805,-0.022693705133150388
