"Date","Price","Open","High","Low","Change %"
"03/26/2025","1.879","1.904","1.904","1.879","-0.58%"
"03/25/2025","1.890","1.919","1.920","1.865","0.00%"
"03/24/2025","1.890","1.945","1.945","1.906","-0.53%"
"03/21/2025","1.900","1.950","1.950","1.891","-1.04%"
"03/20/2025","1.920","1.983","1.983","1.923","-1.03%"
"03/19/2025","1.940","2.003","2.003","1.946","0.52%"
"03/18/2025","1.930","2.007","2.007","1.946","3.21%"
"03/17/2025","1.870","1.975","1.975","1.889","-1.06%"
"03/14/2025","1.890","1.960","1.960","1.895","-1.05%"
"03/13/2025","1.910","1.940","1.940","1.881","0.00%"
"03/12/2025","1.910","1.945","1.948","1.913","0.53%"
"03/11/2025","1.900","1.910","1.910","1.878","3.83%"
"03/10/2025","1.830","1.890","1.890","1.840","4.57%"
"03/07/2025","1.750","1.834","1.848","1.755","-0.57%"
"03/06/2025","1.760","1.800","1.800","1.758","0.57%"
"03/05/2025","1.750","1.799","1.799","1.749","0.00%"
"03/04/2025","1.750","1.800","1.800","1.741","-1.13%"
"03/03/2025","1.770","1.810","1.810","1.777","0.00%"
"02/28/2025","1.770","1.835","1.835","1.771","0.00%"
"02/27/2025","1.770","1.813","1.813","1.761","0.57%"
"02/26/2025","1.760","1.803","1.803","1.751","-0.56%"
"02/25/2025","1.770","1.840","1.840","1.759","-0.56%"
"02/24/2025","1.780","1.810","1.823","1.769","2.30%"
"02/21/2025","1.740","1.760","1.760","1.720","1.99%"
"02/20/2025","1.706","1.725","1.725","1.692","0.77%"
"02/19/2025","1.693","1.740","1.740","1.686","-1.23%"
"02/18/2025","1.714","1.735","1.736","1.689","2.02%"
"02/17/2025","1.680","1.700","1.700","1.666","1.57%"
"02/14/2025","1.654","1.670","1.670","1.631","0.92%"
"02/13/2025","1.639","1.678","1.678","1.631","0.06%"
"02/12/2025","1.638","1.668","1.668","1.623","-0.12%"
"02/11/2025","1.640","1.675","1.675","1.626","1.05%"
"02/10/2025","1.623","1.645","1.645","1.616","0.81%"
"02/08/2025","1.610","1.648","1.648","1.608","-0.19%"
"02/07/2025","1.613","1.640","1.640","1.595","-0.86%"
"02/06/2025","1.627","1.660","1.660","1.610","-0.06%"
"02/05/2025","1.628","1.670","1.670","1.622","-1.51%"
"01/27/2025","1.653","1.700","1.700","1.627","0.18%"
"01/26/2025","1.650","1.695","1.695","1.650","1.10%"
"01/24/2025","1.632","1.700","1.700","1.614","-2.10%"
"01/23/2025","1.667","1.705","1.705","1.650","0.36%"
"01/22/2025","1.661","1.685","1.685","1.643","-0.24%"
"01/21/2025","1.665","1.755","1.755","1.648","0.00%"
"01/20/2025","1.665","1.700","1.705","1.661","0.60%"
"01/17/2025","1.655","1.688","1.688","1.629","-0.18%"
"01/16/2025","1.658","1.669","1.669","1.652","0.30%"
"01/15/2025","1.653","1.661","1.661","1.629","-0.18%"
"01/14/2025","1.656","1.704","1.704","1.643","-0.12%"
"01/13/2025","1.658","1.685","1.685","1.637","1.41%"
"01/10/2025","1.635","1.644","1.654","1.626","0.12%"
"01/09/2025","1.633","1.665","1.646","1.601","1.55%"
"01/08/2025","1.608","1.628","1.628","1.601","-0.25%"
"01/07/2025","1.612","1.624","1.624","1.604","0.31%"
"01/06/2025","1.607","1.640","1.640","1.588","0.00%"
"01/03/2025","1.607","1.655","1.655","1.586","-0.37%"
"01/02/2025","1.613","1.700","1.700","1.608","-3.99%"
"12/31/2024","1.680","1.725","1.725","1.675","-1.75%"
"12/30/2024","1.710","1.725","1.725","1.696","-0.06%"
"12/27/2024","1.711","1.745","1.745","1.683","-0.41%"
"12/26/2024","1.718","1.756","1.756","1.709","-1.38%"
"12/25/2024","1.742","1.815","1.815","1.719","0.52%"
"12/24/2024","1.733","1.755","1.755","1.695","2.00%"
"12/23/2024","1.699","1.773","1.773","1.668","0.35%"
"12/20/2024","1.693","1.816","1.816","1.693","-2.87%"
"12/19/2024","1.743","1.758","1.771","1.739","-0.63%"
"12/18/2024","1.754","1.775","1.775","1.721","1.21%"
"12/17/2024","1.733","1.795","1.795","1.721","0.58%"
"12/16/2024","1.723","1.853","1.853","1.710","-3.37%"
"12/13/2024","1.783","1.895","1.895","1.769","-1.87%"
"12/12/2024","1.817","1.878","1.878","1.808","-1.09%"
"12/11/2024","1.837","1.953","1.953","1.823","-3.01%"
"12/10/2024","1.894","1.978","1.978","1.877","-2.27%"
"12/09/2024","1.938","2.038","2.038","1.918","-1.17%"
"12/06/2024","1.961","2.000","2.000","1.944","0.46%"
"12/05/2024","1.952","1.966","1.980","1.946","-0.71%"
"12/04/2024","1.966","1.991","1.991","1.958","-1.31%"
"12/03/2024","1.992","2.071","2.071","1.992","-1.73%"
"12/02/2024","2.027","2.070","2.070","1.979","-1.31%"
"11/29/2024","2.054","2.075","2.078","2.025","0.79%"
"11/28/2024","2.038","2.110","2.110","2.038","-0.97%"
"11/27/2024","2.058","2.152","2.152","2.045","0.10%"
"11/26/2024","2.056","2.054","2.075","2.048","0.10%"
"11/25/2024","2.054","2.100","2.110","2.054","-1.53%"
"11/22/2024","2.086","2.101","2.101","2.069","-0.10%"
"11/21/2024","2.088","2.091","2.115","2.073","-0.14%"
"11/20/2024","2.091","2.153","2.153","2.085","0.10%"
"11/19/2024","2.089","2.099","2.110","2.089","-0.43%"
"11/18/2024","2.098","2.183","2.183","2.086","0.05%"
"11/15/2024","2.097","2.090","2.100","2.082","0.43%"
"11/14/2024","2.088","2.088","2.093","2.085","-0.10%"
"11/13/2024","2.090","2.075","2.100","2.075","0.67%"
"11/12/2024","2.076","2.108","2.108","2.075","-1.33%"
"11/11/2024","2.104","2.108","2.112","2.102","-1.22%"
"11/08/2024","2.130","2.120","2.130","2.104","0.57%"
"11/07/2024","2.118","2.128","2.128","2.112","-0.42%"
"11/06/2024","2.127","2.113","2.128","2.106","0.09%"
"11/05/2024","2.125","2.128","2.128","2.117","0.14%"
"11/04/2024","2.122","2.120","2.125","2.116","0.00%"
"11/01/2024","2.122","2.133","2.135","2.116","-0.70%"
"10/31/2024","2.137","2.150","2.150","2.128","-0.28%"
"10/30/2024","2.143","2.143","2.143","2.133","0.09%"
"10/29/2024","2.141","2.145","2.148","2.134","-0.19%"
"10/28/2024","2.145","2.140","2.150","2.140","0.00%"
"10/25/2024","2.145","2.143","2.150","2.140","0.05%"
"10/24/2024","2.144","2.140","2.146","2.130","0.05%"
"10/23/2024","2.143","2.138","2.155","2.130","0.23%"
"10/22/2024","2.138","2.118","2.140","2.108","1.04%"
"10/21/2024","2.116","2.115","2.120","2.108","1.73%"
"10/18/2024","2.080","2.086","2.096","2.080","-0.48%"
"10/17/2024","2.090","2.116","2.116","2.082","-0.38%"
"10/16/2024","2.098","2.130","2.140","2.098","-2.10%"
"10/15/2024","2.143","2.143","2.143","2.143","-0.09%"
"10/14/2024","2.145","2.140","2.150","2.133","0.00%"
"10/12/2024","2.145","2.132","2.145","2.120","0.85%"
"10/11/2024","2.127","2.150","2.150","2.101","-0.70%"
"10/10/2024","2.142","2.164","2.164","2.142","-1.65%"
"10/09/2024","2.178","2.163","2.196","2.163","0.46%"
"10/08/2024","2.168","2.148","2.168","2.086","0.37%"
"09/30/2024","2.160","2.230","2.230","2.160","-0.92%"
"09/27/2024","2.180","2.081","2.180","2.081","4.31%"
"09/26/2024","2.090","2.027","2.090","2.025","1.26%"
"09/25/2024","2.064","2.069","2.084","2.064","-0.19%"
"09/24/2024","2.068","2.073","2.073","2.036","0.78%"
"09/23/2024","2.052","2.060","2.060","2.033","0.24%"
"09/20/2024","2.047","2.090","2.090","2.036","0.15%"
"09/19/2024","2.044","2.092","2.092","2.027","0.29%"
"09/18/2024","2.038","2.100","2.100","2.034","-1.45%"
"09/14/2024","2.068","2.110","2.110","2.045","-0.34%"
"09/13/2024","2.075","2.127","2.127","2.075","-1.75%"
"09/12/2024","2.112","2.061","2.119","2.056","2.23%"
"09/11/2024","2.066","2.167","2.167","2.063","-3.10%"
"09/10/2024","2.132","2.150","2.150","2.118","0.14%"
"09/09/2024","2.129","2.230","2.230","2.127","-0.42%"
"09/06/2024","2.138","2.165","2.165","2.138","-0.42%"
"09/05/2024","2.147","2.127","2.151","2.108","0.23%"
"09/04/2024","2.142","2.170","2.170","2.111","-0.51%"
"09/03/2024","2.153","2.172","2.172","2.142","-0.05%"
"09/02/2024","2.154","2.270","2.270","2.149","-1.33%"
"08/30/2024","2.183","2.174","2.184","2.167","0.55%"
"08/29/2024","2.171","2.187","2.187","2.165","-0.37%"
"08/28/2024","2.179","2.207","2.207","2.167","-0.14%"
"08/27/2024","2.182","2.185","2.185","2.162","0.83%"
"08/26/2024","2.164","2.247","2.247","2.145","0.28%"
"08/23/2024","2.158","2.190","2.190","2.143","0.00%"
"08/22/2024","2.158","2.162","2.176","2.140","-0.19%"
"08/21/2024","2.162","2.127","2.167","2.125","1.50%"
"08/20/2024","2.130","2.153","2.172","2.128","-1.39%"
"08/19/2024","2.160","2.188","2.240","2.155","-1.32%"
"08/16/2024","2.189","2.194","2.223","2.182","-0.41%"
"08/15/2024","2.198","2.160","2.199","2.157","1.90%"
"08/14/2024","2.157","2.205","2.205","2.154","-1.82%"
"08/13/2024","2.197","2.201","2.201","2.181","-0.09%"
"08/12/2024","2.199","2.250","2.275","2.191","0.27%"
"08/09/2024","2.193","2.139","2.193","2.139","2.19%"
"08/08/2024","2.146","2.142","2.170","2.114","0.37%"
"08/07/2024","2.138","2.145","2.148","2.128","-0.37%"
"08/06/2024","2.146","2.134","2.150","2.119","1.23%"
"08/05/2024","2.120","2.216","2.216","2.099","0.09%"
"08/02/2024","2.118","2.180","2.180","2.111","-0.38%"
"08/01/2024","2.126","2.211","2.211","2.123","-1.02%"
"07/31/2024","2.148","2.143","2.163","2.133","0.28%"
"07/30/2024","2.142","2.150","2.150","2.126","0.09%"
"07/29/2024","2.140","2.235","2.235","2.140","-2.28%"
"07/26/2024","2.190","2.220","2.234","2.183","-1.40%"
"07/25/2024","2.221","2.228","2.247","2.217","-0.40%"
"07/24/2024","2.230","2.236","2.259","2.227","-0.27%"
"07/23/2024","2.236","2.269","2.269","2.233","-0.49%"
