"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","211.35","211.50","212.02","210.75","12.87K","0.08%"
"05/15/2025","211.18","213.25","213.52","210.63","39.17K","-1.30%"
"05/14/2025","213.95","216.55","218.63","213.20","53.21K","-1.10%"
"05/13/2025","216.32","216.85","217.07","216.00","42.62K","-0.23%"
"05/12/2025","216.82","217.15","217.75","215.80","39.64K","1.00%"
"05/09/2025","214.68","214.00","215.60","213.57","37.84K","0.20%"
"05/08/2025","214.25","212.90","214.63","211.75","37.65K","0.81%"
"05/07/2025","212.52","213.80","214.13","211.00","43.08K","-0.54%"
"05/06/2025","213.68","213.50","214.32","213.00","27.07K","0.01%"
"05/05/2025","213.65","211.00","214.10","211.00","31.44K","1.21%"
"05/02/2025","211.10","209.77","211.93","209.10","34.20K","0.69%"
"05/01/2025","209.65","210.50","210.70","208.32","36.05K","-2.83%"
"04/30/2025","215.75","216.50","217.68","215.75","0.44K","-0.28%"
"04/29/2025","216.35","215.85","217.02","215.75","1.30K","0.32%"
"04/28/2025","215.65","214.52","215.95","214.30","1.93K","0.65%"
"04/25/2025","214.25","213.50","214.30","213.13","2.27K","0.35%"
"04/24/2025","213.50","212.70","213.77","212.35","1.22K","0.38%"
"04/23/2025","212.70","212.25","213.63","212.05","1.48K","0.63%"
"04/22/2025","211.38","210.43","211.88","210.25","1.69K","0.76%"
"04/21/2025","209.77","209.90","210.98","209.00","1.84K","-0.02%"
"04/17/2025","209.82","208.18","210.00","207.63","4.04K","1.33%"
"04/16/2025","207.07","204.98","207.80","204.63","2.60K","1.11%"
"04/15/2025","204.80","204.00","205.18","203.95","2.26K","0.42%"
"04/14/2025","203.95","202.70","204.00","202.63","2.20K","0.73%"
"04/11/2025","202.48","201.43","203.00","200.45","2.46K","0.81%"
"04/10/2025","200.85","202.95","202.95","199.75","4.20K","-0.96%"
"04/09/2025","202.80","199.00","203.50","197.75","5.99K","1.86%"
"04/08/2025","199.10","201.75","202.00","198.88","4.19K","0.09%"
"04/07/2025","198.93","201.55","202.95","198.60","10.58K","-1.83%"
"04/04/2025","202.63","207.00","207.48","202.55","22.16K","-2.61%"
"04/03/2025","208.05","207.52","209.55","207.05","11.44K","-1.11%"
"04/02/2025","210.38","208.98","210.90","208.60","11.95K","0.60%"
"04/01/2025","209.13","207.88","209.40","207.00","10.80K","0.64%"
"03/31/2025","207.80","208.57","208.68","206.82","11.72K","-0.49%"
"03/28/2025","208.82","209.55","210.13","208.48","11.56K","-0.35%"
"03/27/2025","209.55","206.98","209.93","205.52","13.65K","1.20%"
"03/26/2025","207.07","206.88","207.38","206.00","10.31K","0.34%"
"03/25/2025","206.38","205.93","207.02","203.77","13.89K","0.23%"
"03/24/2025","205.90","208.82","209.05","205.70","14.38K","-0.51%"
"03/21/2025","206.95","208.27","211.13","206.48","18.63K","-0.73%"
"03/20/2025","208.48","206.90","208.75","206.25","14.45K","0.80%"
"03/19/2025","206.82","205.05","207.15","204.98","14.51K","0.70%"
"03/18/2025","205.38","205.00","205.53","204.22","14.66K","0.17%"
"03/17/2025","205.02","203.60","205.20","203.15","22.83K","0.91%"
"03/14/2025","203.18","202.13","203.35","201.07","29.05K","0.56%"
"03/13/2025","202.05","201.28","203.62","200.90","38.50K","0.32%"
"03/12/2025","201.40","200.00","202.02","199.90","43.98K","0.93%"
"03/11/2025","199.55","200.27","201.45","199.05","37.52K","-0.51%"
"03/10/2025","200.57","200.80","201.65","199.60","40.27K","0.15%"
"03/07/2025","200.28","196.50","200.95","196.40","51.85K","2.04%"
"03/06/2025","196.28","196.18","196.70","194.22","30.56K","-0.14%"
"03/05/2025","196.55","194.77","197.23","194.32","33.87K","0.98%"
"03/04/2025","194.65","191.73","194.95","189.50","42.47K","1.25%"
"03/03/2025","192.25","192.73","193.25","190.10","36.74K","-2.77%"
"02/28/2025","197.73","199.75","199.75","194.18","0.22K","-0.84%"
"02/27/2025","199.40","198.82","199.73","198.82","0.71K","0.29%"
"02/26/2025","198.82","199.40","199.60","198.35","1.42K","-0.34%"
"02/25/2025","199.50","199.00","199.80","198.80","1.47K","0.30%"
"02/24/2025","198.90","198.02","199.20","197.88","1.38K","0.54%"
"02/21/2025","197.82","197.82","198.45","197.25","1.10K","0.10%"
"02/20/2025","197.63","197.82","197.82","196.88","1.52K","-0.10%"
"02/19/2025","197.82","197.45","198.30","197.00","2.42K","0.19%"
"02/18/2025","197.45","197.85","198.35","196.70","2.45K","-0.15%"
"02/14/2025","197.75","199.68","200.07","197.57","2.04K","-0.90%"
"02/13/2025","199.55","199.15","200.18","198.48","1.89K","0.20%"
"02/12/2025","199.15","199.73","200.02","199.05","2.46K","-0.26%"
"02/11/2025","199.68","201.85","201.85","198.85","4.23K","-1.09%"
"02/10/2025","201.88","200.90","202.30","200.40","3.62K","0.55%"
"02/07/2025","200.77","200.95","201.30","199.65","7.71K","0.07%"
"02/06/2025","200.63","203.68","203.68","199.35","13.01K","-1.46%"
"02/05/2025","203.60","202.48","204.35","202.40","9.06K","0.85%"
"02/04/2025","201.88","203.30","203.65","201.35","9.46K","-0.54%"
"02/03/2025","202.98","204.00","205.52","202.77","9.84K","-0.79%"
"01/31/2025","204.60","205.27","205.68","203.50","9.38K","0.06%"
