"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2025","600.00","554.50","648.50","547.00","0.02K","8.01%"
"05/14/2025","555.50","555.50","564.00","551.50","0.14K","0.36%"
"05/13/2025","553.50","552.50","558.00","547.00","0.20K","0.64%"
"05/12/2025","550.00","547.50","553.00","545.00","0.46K","1.10%"
"05/09/2025","544.00","553.50","553.50","542.00","0.27K","-2.16%"
"05/08/2025","556.00","542.50","563.50","542.50","0.35K","2.77%"
"05/07/2025","541.00","540.00","543.00","539.00","0.25K","0.46%"
"05/06/2025","538.50","541.00","543.00","538.50","0.31K","-0.65%"
"05/05/2025","542.00","548.00","548.00","540.50","0.25K","-1.45%"
"05/02/2025","550.00","552.00","554.50","549.50","0.37K","-0.45%"
"05/01/2025","552.50","559.00","559.00","552.50","0.26K","-0.81%"
"04/30/2025","557.00","562.50","562.50","557.00","0.63K","-1.24%"
"04/29/2025","564.00","570.00","570.00","562.50","0.53K","-0.88%"
"04/28/2025","569.00","570.00","572.00","568.50","0.44K","-0.52%"
"04/25/2025","572.00","578.50","581.00","571.00","0.34K","-0.61%"
"04/24/2025","575.50","568.50","579.00","568.50","0.84K","1.05%"
"04/23/2025","569.50","570.00","572.00","568.00","0.51K","0.26%"
"04/22/2025","568.00","566.50","573.00","564.00","0.74K","0.44%"
"04/21/2025","565.50","570.00","570.00","563.50","0.46K","-1.31%"
"04/17/2025","573.00","572.00","577.00","568.50","0.61K","-0.09%"
"04/16/2025","573.50","573.00","575.50","571.00","0.43K","-0.09%"
"04/15/2025","574.00","581.50","581.50","572.50","0.44K","-0.69%"
"04/14/2025","578.00","580.50","586.00","577.00","0.31K","0.87%"
"04/11/2025","573.00","575.00","576.50","570.50","0.38K","-0.52%"
"04/10/2025","576.00","588.00","590.50","569.50","0.86K","-6.11%"
"04/09/2025","613.50","578.50","623.50","573.50","1.27K","7.07%"
"04/08/2025","573.00","581.50","585.50","570.50","0.86K","0.09%"
"04/07/2025","572.50","585.50","586.00","571.00","1.48K","-3.21%"
"04/04/2025","591.50","598.00","601.00","589.00","1.24K","-2.39%"
"04/03/2025","606.00","630.00","630.00","603.50","1.54K","-8.46%"
"04/02/2025","662.00","671.50","675.00","653.00","0.57K","-1.05%"
"04/01/2025","669.00","668.00","673.00","665.00","0.50K","0.15%"
"03/31/2025","668.00","678.50","679.00","665.50","0.66K","-1.76%"
"03/28/2025","680.00","677.50","683.00","677.50","0.51K","0.22%"
"03/27/2025","678.50","674.50","679.50","670.00","0.33K","0.67%"
"03/26/2025","674.00","684.50","685.50","660.00","0.46K","-1.68%"
"03/25/2025","685.50","685.00","687.00","677.00","0.48K","-0.07%"
"03/24/2025","686.00","679.00","686.50","678.50","0.39K","1.48%"
"03/21/2025","676.00","671.50","677.50","670.00","0.22K","0.90%"
"03/20/2025","670.00","654.50","679.00","654.00","0.50K","2.52%"
"03/19/2025","653.50","655.50","657.50","651.50","0.40K","-0.76%"
"03/18/2025","658.50","666.00","666.00","653.00","0.42K","-0.83%"
"03/17/2025","664.00","661.00","670.00","659.50","0.17K","2.79%"
"03/14/2025","646.00","628.50","646.00","628.00","0.09K","1.25%"
"03/13/2025","638.00","651.00","658.00","638.00","0.17K","-2.15%"
"03/12/2025","652.00","652.50","659.00","645.50","0.09K","0.62%"
"03/11/2025","648.00","642.50","656.00","642.00","0.26K","-0.15%"
"03/10/2025","649.00","641.50","652.00","635.50","0.25K","1.09%"
"03/07/2025","642.00","640.50","645.50","626.00","0.23K","1.58%"
"03/06/2025","632.00","656.50","658.50","626.00","0.63K","-3.29%"
"03/05/2025","653.50","662.00","662.00","652.50","0.34K","-1.36%"
"03/04/2025","662.50","659.50","679.50","654.00","0.65K","0.84%"
"03/03/2025","657.00","641.00","657.50","636.50","0.43K","3.46%"
"02/28/2025","635.00","628.00","640.00","628.00","0.46K","0.71%"
