"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2025","0.8429","0.8412","0.8435","0.8406","","0.20%"
"06/03/2025","0.8412","0.8448","0.8454","0.8408","","-0.43%"
"06/02/2025","0.8448","0.8427","0.8452","0.8421","","0.23%"
"06/01/2025","0.8429","0.8431","0.8439","0.8428","","-0.02%"
"05/30/2025","0.8431","0.8425","0.8439","0.8402","","0.01%"
"05/29/2025","0.8430","0.8382","0.8433","0.8352","","0.54%"
"05/28/2025","0.8385","0.8387","0.8404","0.8378","","-0.04%"
"05/27/2025","0.8388","0.8395","0.8401","0.8371","","-0.10%"
"05/26/2025","0.8396","0.8396","0.8414","0.8387","","0.00%"
"05/23/2025","0.8396","0.8406","0.8421","0.8377","","-0.12%"
"05/22/2025","0.8406","0.8444","0.8451","0.8395","","-0.45%"
"05/21/2025","0.8444","0.8424","0.8465","0.8421","","0.24%"
"05/20/2025","0.8424","0.8415","0.8432","0.8404","","0.11%"
"05/19/2025","0.8415","0.8415","0.8436","0.8401","","0.06%"
"05/16/2025","0.8410","0.8412","0.8435","0.8392","","-0.02%"
"05/15/2025","0.8412","0.8426","0.8444","0.8402","","-0.17%"
"05/14/2025","0.8426","0.8405","0.8438","0.8403","","0.25%"
"05/13/2025","0.8405","0.8415","0.8429","0.8398","","-0.12%"
"05/12/2025","0.8415","0.8432","0.8463","0.8404","","-0.46%"
"05/09/2025","0.8454","0.8476","0.8495","0.8453","","-0.26%"
"05/08/2025","0.8476","0.8502","0.8525","0.8456","","-0.34%"
"05/07/2025","0.8505","0.8505","0.8525","0.8478","","0.00%"
"05/06/2025","0.8505","0.8511","0.8522","0.8461","","-0.07%"
"05/05/2025","0.8511","0.8516","0.8535","0.8503","","0.00%"
"05/02/2025","0.8511","0.8502","0.8543","0.8487","","0.11%"
"05/01/2025","0.8502","0.8498","0.8512","0.8477","","0.05%"
"04/30/2025","0.8498","0.8493","0.8540","0.8480","","0.07%"
"04/29/2025","0.8492","0.8499","0.8514","0.8485","","-0.08%"
"04/28/2025","0.8499","0.8538","0.8558","0.8491","","-0.42%"
"04/25/2025","0.8535","0.8536","0.8549","0.8509","","-0.01%"
"04/24/2025","0.8536","0.8536","0.8568","0.8532","","-0.02%"
"04/23/2025","0.8538","0.8565","0.8585","0.8529","","-0.34%"
"04/22/2025","0.8567","0.8608","0.8614","0.8563","","-0.44%"
"04/21/2025","0.8605","0.8565","0.8626","0.8565","","0.47%"
"04/18/2025","0.8565","0.8567","0.8585","0.8556","","0.00%"
"04/17/2025","0.8565","0.8605","0.8621","0.8555","","-0.49%"
"04/16/2025","0.8607","0.8528","0.8617","0.8526","","0.95%"
"04/15/2025","0.8526","0.8605","0.8616","0.8524","","-0.91%"
"04/14/2025","0.8604","0.8629","0.8697","0.8597","","-0.91%"
"04/11/2025","0.8683","0.8635","0.8742","0.8626","","0.59%"
"04/10/2025","0.8632","0.8546","0.8662","0.8517","","1.03%"
"04/09/2025","0.8544","0.8583","0.8665","0.8531","","-0.43%"
"04/08/2025","0.8581","0.8573","0.8597","0.8528","","0.10%"
"04/07/2025","0.8572","0.8526","0.8594","0.8478","","0.88%"
"04/04/2025","0.8497","0.8437","0.8526","0.8431","","0.77%"
"04/03/2025","0.8432","0.8347","0.8450","0.8322","","1.04%"
"04/02/2025","0.8345","0.8355","0.8390","0.8326","","-0.08%"
"04/01/2025","0.8352","0.8374","0.8381","0.8348","","-0.25%"
"03/31/2025","0.8373","0.8377","0.8381","0.8348","","0.12%"
"03/28/2025","0.8363","0.8342","0.8373","0.8314","","0.29%"
