date;Valor_Real;Valor_Predicho;Modelo;Tipo_Mercado;Periodo;Version
2/01/2014;1,367;1,367;CatBoost;EUR;Training;Trial_11
3/01/2014;1,3587;1,3587;CatBoost;EUR;Training;Trial_11
6/01/2014;1,3627;1,3627;CatBoost;EUR;Training;Trial_11
7/01/2014;1,3615;1,3615;CatBoost;EUR;Training;Trial_11
8/01/2014;1,3574;1,3574;CatBoost;EUR;Training;Trial_11
9/01/2014;1,3606;1,3606;CatBoost;EUR;Training;Trial_11
10/01/2014;1,3667;1,3667;CatBoost;EUR;Training;Trial_11
13/01/2014;1,3671;1,3671;CatBoost;EUR;Training;Trial_11
14/01/2014;1,3679;1,3679;CatBoost;EUR;Training;Trial_11
15/01/2014;1,3603;1,3603;CatBoost;EUR;Training;Trial_11
16/01/2014;1,3619;1,3619;CatBoost;EUR;Training;Trial_11
17/01/2014;1,3539;1,3539;CatBoost;EUR;Training;Trial_11
21/01/2014;1,3559;1,3559;CatBoost;EUR;Training;Trial_11
22/01/2014;1,3546;1,3546;CatBoost;EUR;Training;Trial_11
23/01/2014;1,3694;1,3694;CatBoost;EUR;Training;Trial_11
24/01/2014;1,3675;1,3675;CatBoost;EUR;Training;Trial_11
27/01/2014;1,367;1,367;CatBoost;EUR;Training;Trial_11
28/01/2014;1,3668;1,3668;CatBoost;EUR;Training;Trial_11
29/01/2014;1,3662;1,3662;CatBoost;EUR;Training;Trial_11
30/01/2014;1,3555;1,3555;CatBoost;EUR;Training;Trial_11
31/01/2014;1,3485;1,3485;CatBoost;EUR;Training;Trial_11
3/02/2014;1,3524;1,3524;CatBoost;EUR;Training;Trial_11
4/02/2014;1,3518;1,3518;CatBoost;EUR;Training;Trial_11
5/02/2014;1,3532;1,3532;CatBoost;EUR;Training;Trial_11
6/02/2014;1,3588;1,3588;CatBoost;EUR;Training;Trial_11
7/02/2014;1,3633;1,3633;CatBoost;EUR;Training;Trial_11
10/02/2014;1,3644;1,3644;CatBoost;EUR;Training;Trial_11
11/02/2014;1,3636;1,3636;CatBoost;EUR;Training;Trial_11
12/02/2014;1,3592;1,3592;CatBoost;EUR;Training;Trial_11
13/02/2014;1,3679;1,3679;CatBoost;EUR;Training;Trial_11
14/02/2014;1,369;1,369;CatBoost;EUR;Training;Trial_11
18/02/2014;1,3757;1,3757;CatBoost;EUR;Training;Trial_11
19/02/2014;1,3732;1,3732;CatBoost;EUR;Training;Trial_11
20/02/2014;1,3718;1,3718;CatBoost;EUR;Training;Trial_11
21/02/2014;1,3737;1,3737;CatBoost;EUR;Training;Trial_11
24/02/2014;1,3734;1,3734;CatBoost;EUR;Training;Trial_11
25/02/2014;1,3745;1,3745;CatBoost;EUR;Training;Trial_11
26/02/2014;1,3687;1,3687;CatBoost;EUR;Training;Trial_11
27/02/2014;1,3708;1,3708;CatBoost;EUR;Training;Trial_11
28/02/2014;1,3802;1,3802;CatBoost;EUR;Training;Trial_11
3/03/2014;1,3734;1,3734;CatBoost;EUR;Training;Trial_11
4/03/2014;1,3742;1,3742;CatBoost;EUR;Training;Trial_11
5/03/2014;1,3732;1,3732;CatBoost;EUR;Training;Trial_11
6/03/2014;1,3858;1,3858;CatBoost;EUR;Training;Trial_11
